Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS03030	147	136	160	363	369	332
HC660_RS03035	2417	2262	1902	6538	5423	5121
HC660_RS03040	259	101	118	332	453	299
HC660_RS03045	73	33	37	48	44	48
HC660_RS03050	125	50	96	107	126	127
HC660_RS03055	0	0	0	0	0	0
HC660_RS03060	24	7	17	20	70	29
HC660_RS03065	686	531	342	1073	1480	1223
HC660_RS03070	41	7	21	28	110	55
HC660_RS03075	55	24	19	78	197	88
HC660_RS03080	2636	1994	2361	2293	4193	4244
HC660_RS03085	2566	1114	1765	1262	3951	2388
HC660_RS03090	1374	966	1830	1070	3340	2533
HC660_RS03095	476	332	310	908	2277	1444
HC660_RS03100	16	0	2	4	32	6
HC660_RS03105	129	61	70	114	314	167
HC660_RS03110	91	36	28	88	207	104
HC660_RS03115	2	0	8	1	20	0
HC660_RS03120	9	2	4	1	25	12
HC660_RS03125	27	2	2	5	44	2
HC660_RS03130	28	5	10	16	43	15
HC660_RS03135	13	4	1	21	20	17
HC660_RS03140	44	11	21	17	49	46
HC660_RS03145	29	16	15	12	26	21
HC660_RS03150	400	303	310	324	282	226
HC660_RS03155	1106	752	835	1086	878	1186
HC660_RS03160	171	170	95	157	101	197
HC660_RS03165	25	10	12	5	32	5
HC660_RS03170	273	306	211	237	345	299
HC660_RS03175	1	0	0	1	0	7
HC660_RS03180	266	390	407	410	254	392
HC660_RS03185	145	218	223	255	167	251
HC660_RS03190	223	178	218	204	142	242
HC660_RS03195	210	117	100	135	173	93
HC660_RS03200	81	45	46	67	55	31
HC660_RS03205	254	156	194	250	248	309
HC660_RS03210	386	203	386	304	222	573
HC660_RS03215	265	165	238	289	240	296
HC660_RS03220	49	14	22	19	46	28
HC660_RS03225	169	178	144	178	216	224
HC660_RS03230	66	3	7	8	57	4
HC660_RS03235	15	9	10	13	45	13
HC660_RS03240	58	18	24	19	45	20
HC660_RS03245	119	73	87	102	145	144
HC660_RS03250	222	203	315	178	157	168
HC660_RS03255	754	379	410	421	482	719
HC660_RS03260	49	28	102	75	51	16
HC660_RS03265	68	17	49	48	50	11
HC660_RS03270	186	53	162	119	149	30
HC660_RS03275	193	29	69	60	129	43
HC660_RS03280	166	101	92	123	115	87
HC660_RS03285	122	21	26	56	82	30
HC660_RS03290	70	14	30	15	38	17
HC660_RS03295	91	70	56	80	92	82
HC660_RS03300	45	19	18	10	61	33
HC660_RS03305	84	10	28	12	33	7
HC660_RS03310	8	0	0	0	1	0
HC660_RS03315	3	3	2	1	2	0
HC660_RS03320	56	7	1	7	14	1
HC660_RS03325	4	1	0	0	0	0
HC660_RS03330	2	0	2	0	1	4
HC660_RS03335	6	2	1	3	1	3
HC660_RS03340	319	106	94	132	181	112
HC660_RS03345	47	17	21	19	44	16
HC660_RS03350	67	24	13	34	86	37
HC660_RS03355	114	64	60	97	195	76
HC660_RS03360	617	279	312	397	742	400
HC660_RS03365	1096	1460	891	1663	1319	1137
HC660_RS03370	810	578	571	913	441	638
HC660_RS03375	1121	794	731	1325	709	1044
HC660_RS03380	578	963	728	1062	402	632
HC660_RS03385	3312	3903	3217	4732	2518	3759
HC660_RS03390	103	98	104	117	96	161
HC660_RS03395	496	297	398	443	329	624
HC660_RS03400	1544	2389	2717	2256	1002	1675
HC660_RS03405	12660	15143	19569	15514	9127	10575
HC660_RS20975	48	2	3	10	55	16
HC660_RS20980	85	50	48	146	305	184
HC660_RS03415	768	829	553	1060	629	657
HC660_RS03420	80	54	44	68	88	64
HC660_RS03425	138	81	30	68	136	41
HC660_RS03430	241	384	176	364	260	235
HC660_RS03435	54	41	62	39	59	33
HC660_RS03440	156	83	71	129	139	84
HC660_RS03445	1910	3620	3419	3187	2283	3403
HC660_RS03450	63	18	18	51	91	68
HC660_RS03455	140	158	113	109	257	251
HC660_RS03460	10	8	32	32	8	20
HC660_RS03465	2700	5009	5774	6206	2414	5306
HC660_RS03470	2154	3356	4207	4614	1213	2831
HC660_RS03475	1730	1679	2686	2935	1221	2167
HC660_RS03480	82	39	31	27	102	23
HC660_RS03485	312	238	257	391	275	236
HC660_RS03490	168	71	122	86	147	238
HC660_RS03495	408	127	112	257	248	146
HC660_RS03500	499	218	200	315	434	374
HC660_RS03505	692	341	400	424	912	488
HC660_RS03510	3391	2439	2131	3664	4781	4083
HC660_RS03515	890	674	714	829	1174	1543
HC660_RS03520	1030	468	578	531	318	1076
HC660_RS03525	2	3	0	17	22	16
HC660_RS03530	113	214	164	180	91	139
HC660_RS03535	61	199	111	154	105	95
HC660_RS03540	192	86	103	128	187	207
HC660_RS03545	399	185	191	224	408	366
HC660_RS03550	901	532	647	728	1220	810
HC660_RS03555	223	160	198	153	347	202
HC660_RS03560	70	38	30	34	88	48
HC660_RS03565	174	113	143	81	218	107
HC660_RS03570	462	162	240	162	598	173
HC660_RS03575	522	224	338	223	622	212
HC660_RS03580	331	53	102	98	279	86
HC660_RS03585	177	20	36	65	161	58
HC660_RS03590	476	171	249	297	662	235
HC660_RS03595	735	322	424	524	787	355
HC660_RS03600	122	99	119	152	57	121
HC660_RS03605	46	11	19	26	27	11
HC660_RS03610	9	2	0	0	4	0
HC660_RS03615	2744	1114	2123	2127	1811	3098
HC660_RS03620	3005	1857	2371	2544	2334	2997
HC660_RS03625	595	453	620	763	546	564
HC660_RS03630	63	42	58	27	81	24
HC660_RS03635	133	40	34	30	127	33
HC660_RS03640	1311	598	639	749	1524	768
HC660_RS03645	2165	1412	1699	1552	2314	1675
HC660_RS03650	2040	1998	2041	1981	2557	2141
HC660_RS03655	77	20	23	21	41	19
HC660_RS03660	0	0	0	0	0	0
HC660_RS20985	0	0	0	0	0	0
HC660_RS03670	148	70	76	129	215	143
HC660_RS03675	117	102	119	169	124	185
HC660_RS03680	294	247	365	192	398	497
HC660_RS03685	418	161	229	230	224	438
HC660_RS03690	2913	858	872	1166	2441	1629
HC660_RS03695	4151	1103	777	1284	3001	1297
HC660_RS03700	144	64	61	89	106	129
HC660_RS03705	3131	3234	2961	3410	3445	5751
HC660_RS03710	1024	820	780	798	1078	1171
HC660_RS03715	250	140	145	165	339	172
HC660_RS03720	0	0	0	0	0	0
HC660_RS03725	0	0	0	0	0	0
HC660_RS03730	0	0	0	0	0	0
HC660_RS03735	0	0	0	0	0	0
HC660_RS03740	0	0	0	0	0	0
HC660_RS03750	0	0	0	0	0	0
HC660_RS03755	0	0	0	0	0	0
HC660_RS03760	0	0	0	0	0	0
HC660_RS03765	0	0	0	0	0	0
HC660_RS03770	0	0	0	0	0	0
HC660_RS03775	454	1406	1677	1458	876	1391
HC660_RS03780	100	55	74	115	244	138
HC660_RS03785	59	24	15	35	99	80
HC660_RS03790	0	0	0	0	0	0
HC660_RS03795	0	0	0	0	0	0
HC660_RS03800	0	0	0	0	0	0
HC660_RS03805	0	0	0	0	0	0
HC660_RS03810	0	0	0	0	0	0
HC660_RS03815	195	94	78	163	141	196
HC660_RS03820	29	0	5	11	52	6
HC660_RS03825	141	169	222	206	178	164
HC660_RS03830	7	0	1	5	11	7
HC660_RS03835	169	280	213	246	232	316
HC660_RS03840	7	6	0	2	2	2
HC660_RS03845	217	175	218	277	190	273
HC660_RS03850	11	8	1	13	30	2
HC660_RS03855	30	13	5	10	21	8
HC660_RS03860	152	96	77	133	89	92
HC660_RS03865	47	14	23	22	59	16
HC660_RS03870	10	1	2	5	11	2
HC660_RS03875	12	0	2	2	2	5
HC660_RS03880	21	15	8	16	24	10
HC660_RS03885	101	28	21	48	56	56
HC660_RS03890	7	0	0	4	9	3
HC660_RS03895	37	5	8	25	25	8
HC660_RS03900	192	70	40	127	110	39
HC660_RS03905	43	30	20	42	46	23
HC660_RS03910	44	5	10	5	67	2
HC660_RS03915	48	5	1	5	24	4
HC660_RS03920	30	0	0	2	29	0
HC660_RS03925	26	0	2	0	18	0
HC660_RS03930	46	5	4	17	44	4
HC660_RS03935	18	2	2	4	18	2
HC660_RS03940	9	5	0	2	21	0
HC660_RS03945	17	2	2	6	18	1
HC660_RS03950	37	3	0	4	52	0
HC660_RS03955	37	5	1	2	59	4
HC660_RS03960	25	1	0	4	20	0
HC660_RS03965	8	3	5	2	21	3
HC660_RS03970	45	5	4	3	40	5
HC660_RS03975	58	5	0	5	66	7
HC660_RS03980	56	15	8	12	48	9
HC660_RS03985	39	6	2	6	30	5
HC660_RS03990	13	8	4	6	27	2
HC660_RS03995	81	26	35	28	80	32
HC660_RS04000	30	14	20	12	49	22
HC660_RS04005	154	108	171	245	99	216
HC660_RS04010	0	0	0	0	0	0
HC660_RS20920	85	32	78	62	52	75
HC660_RS04020	707	602	544	864	474	753
HC660_RS04025	22	0	13	26	17	34
HC660_RS04030	1090	1078	1219	1437	862	2088
HC660_RS04035	40	18	8	25	14	24
HC660_RS04040	74	30	30	22	89	20
HC660_RS04045	0	0	0	0	0	0
HC660_RS04050	209	66	57	117	102	124
HC660_RS04055	95	36	51	36	70	51
HC660_RS04060	3237	3252	2785	3408	3570	6159
HC660_RS04065	15	5	1	3	28	3
HC660_RS04070	20	1	4	5	29	13
HC660_RS04075	35	7	8	5	25	11
HC660_RS04080	28	3	17	13	26	26
HC660_RS04085	51	31	29	26	29	40
HC660_RS04090	303	97	59	147	209	82
HC660_RS04095	236	128	93	199	134	125
HC660_RS04100	246	112	86	153	127	130
HC660_RS04105	780	550	486	1094	999	650
HC660_RS21335	390	508	495	785	486	512
HC660_RS04115	673	643	431	862	724	614
HC660_RS04120	37	32	11	36	24	34
HC660_RS04125	72	66	68	90	86	116
HC660_RS04130	119	76	54	104	96	103
HC660_RS04135	20	14	9	26	37	8
HC660_RS04140	11	8	7	10	24	10
HC660_RS04145	497	269	201	294	531	301
HC660_RS04150	362	363	265	314	434	564
HC660_RS04155	38	25	37	18	40	54
HC660_RS04160	903	898	737	1017	776	916
HC660_RS04165	1166	1118	1153	1276	1084	1264
HC660_RS04170	815	474	653	684	645	683
HC660_RS04175	352	166	197	206	362	212
HC660_RS04180	1323	1833	1488	2216	1070	1455
HC660_RS04185	94	62	36	52	38	55
HC660_RS04190	1179	5080	4946	2142	1111	3212
HC660_RS04195	153	98	172	101	127	143
HC660_RS04200	324	243	375	347	378	413
HC660_RS21340	0	0	0	0	0	0
HC660_RS04210	11	8	7	11	17	14
HC660_RS04215	30	7	9	8	16	11
HC660_RS04220	51	11	9	10	36	1
HC660_RS04225	45	11	7	17	50	5
HC660_RS04230	382	115	79	193	248	60
HC660_RS04235	68	36	24	49	67	15
HC660_RS04240	215	116	113	118	239	73
HC660_RS04245	83	30	17	31	49	7
HC660_RS04250	60	26	20	50	46	30
HC660_RS04255	108	61	63	75	122	108
HC660_RS04260	53	32	18	46	48	40
HC660_RS04265	186	112	112	115	182	175
HC660_RS04270	29	11	6	13	31	31
HC660_RS04275	15	13	10	9	26	42
HC660_RS04280	333	752	537	670	528	820
HC660_RS04285	743	810	592	807	663	972
HC660_RS04290	1272	1226	754	1418	1102	872
HC660_RS04295	3744	3194	3633	3596	4673	6856
HC660_RS04300	70	40	24	37	45	31
HC660_RS04305	363	245	403	147	263	323
HC660_RS04310	16481	4147	4673	8076	5124	4625
HC660_RS04315	8806	2218	2817	4413	4517	3534
HC660_RS04320	6103	2409	3327	4318	3515	3312
HC660_RS04325	793	652	595	1043	638	746
HC660_RS04330	468	268	281	312	492	215
HC660_RS04335	1662	3540	3742	2336	1476	2211
HC660_RS04340	486	203	228	333	366	420
HC660_RS04345	158	63	42	147	105	83
HC660_RS04350	281	155	135	171	178	77
HC660_RS04355	158	116	93	60	118	50
HC660_RS04360	426	279	191	167	277	172
HC660_RS04365	369	113	215	222	189	281
HC660_RS04370	230	147	342	157	198	276
HC660_RS04375	158	182	361	122	182	217
HC660_RS04380	306	179	179	217	380	237
HC660_RS04385	456	279	269	369	538	275
HC660_RS04390	12	1	2	2	8	2
HC660_RS04395	30	8	8	10	29	5
HC660_RS04400	167	53	83	87	130	108
HC660_RS04405	416	367	385	324	241	422
HC660_RS04410	131	89	43	115	160	83
HC660_RS04415	640	376	280	488	811	408
HC660_RS04420	315	233	174	234	404	278
HC660_RS04425	28	24	60	61	25	54
HC660_RS04430	11	4	3	15	19	15
HC660_RS04435	30	46	1	0	32	2
HC660_RS04440	7	16	2	2	14	2
HC660_RS04445	50	13	1	2	47	0
HC660_RS04450	61	32	10	32	48	30
HC660_RS04455	852	446	343	666	396	215
HC660_RS04460	46	22	24	35	21	27
HC660_RS04465	28	15	24	21	28	41
HC660_RS04470	42	35	40	61	59	42
HC660_RS04475	68	35	41	59	62	62
HC660_RS04480	108	61	33	92	62	74
HC660_RS04485	17	1	16	9	20	5
HC660_RS04490	4233	1876	2004	1844	2666	980
HC660_RS04495	844	266	244	344	460	201
HC660_RS04500	1556	490	506	644	804	345
HC660_RS04505	241	66	134	125	177	142
HC660_RS04510	605	445	510	493	533	490
HC660_RS04515	10	1	9	14	16	18
HC660_RS04520	103	87	105	106	87	115
HC660_RS04525	66	40	39	51	68	59
HC660_RS04530	101	93	97	149	148	146
HC660_RS04535	16	7	0	4	17	1
HC660_RS04540	19	0	2	1	25	2
HC660_RS04545	45	17	15	12	36	8
HC660_RS04550	178	137	98	140	86	210
HC660_RS04555	496	584	501	857	613	726
HC660_RS21345	13	6	17	5	22	14
HC660_RS04560	125	76	47	72	109	92
HC660_RS04565	274	272	316	367	290	355
HC660_RS04570	223	114	138	158	182	136
HC660_RS04575	138	74	102	133	84	111
HC660_RS04580	1185	630	621	648	1160	690
HC660_RS04585	2335	4546	3237	6152	2620	3423
HC660_RS04590	533	270	296	317	325	238
HC660_RS04595	277	84	87	113	174	84
HC660_RS04600	113	68	52	68	107	42
HC660_RS04605	2552	5350	4564	5774	2329	4222
HC660_RS04610	17	34	28	44	19	41
HC660_RS04615	19	21	22	13	23	21
HC660_RS04620	173	178	175	184	192	145
HC660_RS04625	374	454	331	473	327	518
HC660_RS04630	114	245	158	236	114	185
HC660_RS04635	203	161	209	105	236	221
HC660_RS04640	24	17	7	11	28	17
HC660_RS04645	274	341	386	372	158	279
HC660_RS04650	47	35	35	43	44	82
HC660_RS04655	0	0	0	0	0	0
HC660_RS04660	487	1311	995	838	333	1014
HC660_RS04665	368	364	638	507	233	415
HC660_RS04670	1393	1182	2198	1746	859	1423
HC660_RS04675	698	603	983	837	499	1159
HC660_RS04680	994	833	1752	929	872	2012
HC660_RS04685	776	657	814	848	472	775
HC660_RS04690	361	373	245	337	362	462
HC660_RS04695	327	306	287	319	298	320
HC660_RS04700	1031	1072	808	1123	951	1088
HC660_RS04705	329	384	228	447	273	298
HC660_RS04710	20	13	8	12	14	2
HC660_RS04715	571	345	434	537	310	616
HC660_RS04720	649	575	515	571	622	849
HC660_RS04725	614	482	544	622	434	802
HC660_RS04730	1928	1696	1696	1967	1796	1701
HC660_RS04735	189	172	118	271	121	164
HC660_RS04740	2375	1549	3348	2066	1318	2134
HC660_RS04745	188	191	205	269	179	299
HC660_RS04750	755	681	826	754	996	1184
HC660_RS04755	5	1	0	2	4	0
HC660_RS04760	1	1	0	0	0	0
HC660_RS04765	0	0	0	0	1	0
HC660_RS04770	0	0	0	0	0	2
HC660_RS04775	60	17	20	27	25	28
HC660_RS04780	39	19	26	33	28	22
HC660_RS04785	38	7	5	3	16	8
HC660_RS04790	105	30	49	31	29	68
HC660_RS04795	130	38	141	52	89	68
HC660_RS04800	77	6	37	6	16	48
HC660_RS04805	39	16	33	15	21	26
HC660_RS04810	39	8	19	11	18	16
HC660_RS04815	84	12	26	24	27	56
HC660_RS04820	354	269	468	313	335	397
HC660_RS04825	303	160	269	221	161	181
HC660_RS04830	219	117	286	182	133	269
HC660_RS04835	129	36	100	78	65	119
HC660_RS04840	79	30	72	37	63	57
HC660_RS04845	3	0	1	0	0	0
HC660_RS04850	0	0	0	0	0	0
HC660_RS21000	0	0	0	0	0	0
HC660_RS04860	0	0	0	0	0	0
HC660_RS04865	0	0	0	0	0	0
HC660_RS21350	0	0	0	0	0	0
HC660_RS04875	0	0	0	0	0	0
HC660_RS04880	0	0	0	0	0	0
HC660_RS04885	0	0	0	0	0	0
HC660_RS04890	0	0	0	0	0	0
HC660_RS04895	4763	5184	5379	6651	2810	4703
HC660_RS04900	3	0	1	2	5	0
HC660_RS04905	21	4	3	3	56	2
HC660_RS04910	21	0	5	3	13	0
HC660_RS04915	4	0	0	0	9	0
HC660_RS04920	39	4	8	10	36	11
HC660_RS04925	65	13	41	24	118	20
HC660_RS04930	4	0	0	0	7	0
HC660_RS04935	1958	1259	8403	879	706	1290
HC660_RS04940	28	2	0	2	7	0
HC660_RS04945	14	0	0	0	32	1
HC660_RS04950	19	3	0	3	36	0
HC660_RS04955	22	6	0	5	30	12
HC660_RS04960	58	95	39	122	88	68
HC660_RS04965	9	21	13	20	9	12
HC660_RS04970	50	52	96	52	29	101
HC660_RS04975	21	21	18	19	4	18
HC660_RS04980	11	3	4	8	6	11
HC660_RS04985	170	128	110	112	150	198
HC660_RS04990	129	96	98	139	172	158
HC660_RS04995	42	13	17	25	43	16
HC660_RS05000	447	491	460	514	457	816
HC660_RS05005	17	8	4	7	35	15
HC660_RS05010	50	24	14	20	77	25
HC660_RS05015	86	49	37	63	94	64
HC660_RS05020	68	36	38	29	77	31
HC660_RS05025	38	12	2	10	55	3
HC660_RS05030	103	65	35	45	126	114
HC660_RS05035	601	721	176	648	2171	394
HC660_RS05040	2160	2406	834	1643	2960	1020
HC660_RS05045	1020	1469	540	1069	1445	543
HC660_RS05050	521	775	359	671	743	434
HC660_RS05055	175	41	92	91	147	142
HC660_RS05060	95	45	36	48	84	78
HC660_RS05065	206	129	104	138	175	230
HC660_RS05070	342	349	351	523	496	715
HC660_RS05075	566	589	484	763	531	854
HC660_RS05080	14109	4969	6039	10102	26582	36346
HC660_RS05085	276	155	154	213	234	319
HC660_RS05090	176	68	85	100	132	167
HC660_RS05095	806	743	257	1036	899	697
HC660_RS05100	0	0	0	0	0	0
HC660_RS05105	0	0	0	0	0	0
HC660_RS05110	139	272	190	147	88	129
HC660_RS05115	38	42	14	62	62	32
HC660_RS05120	7	0	4	2	29	0
HC660_RS05125	7	21	7	26	17	12
HC660_RS05130	320	172	111	206	227	119
HC660_RS05135	29	16	32	10	48	29
HC660_RS05140	294	217	188	225	217	284
HC660_RS05145	115	53	59	112	279	191
HC660_RS05150	102	130	88	109	88	77
HC660_RS05155	460	165	217	389	288	370
HC660_RS05160	1432	1936	1507	1904	1431	1675
HC660_RS05165	61	21	56	39	64	45
HC660_RS05170	986	500	555	718	656	507
HC660_RS05175	412	549	394	609	536	486
HC660_RS05180	3668	1004	2062	1638	2017	2568
HC660_RS05185	11925	9037	13511	10512	9559	11700
HC660_RS05190	14943	19048	18938	15467	19928	23054
HC660_RS05195	7377	6916	6384	7285	7650	6979
HC660_RS05200	117	92	51	107	80	96
HC660_RS05205	95	82	58	105	82	81
HC660_RS05210	56	83	32	48	62	65
HC660_RS05215	3	2	4	2	21	7
HC660_RS05220	11	13	9	3	26	21
HC660_RS05225	835	873	1150	1950	838	1577
HC660_RS05230	129	42	78	96	55	101
HC660_RS05235	42	2	7	7	32	12
HC660_RS05240	54	20	44	50	92	66
HC660_RS05245	1710	1228	897	1230	1955	2347
HC660_RS05250	103	97	86	103	116	174
HC660_RS05255	158	48	44	68	88	57
HC660_RS05260	206	382	344	216	161	321
HC660_RS05265	554	360	145	542	361	199
HC660_RS05270	677	396	371	534	614	638
HC660_RS05275	133	87	78	75	109	98
HC660_RS05280	53	5	8	13	36	17
HC660_RS05285	369	277	205	314	322	446
HC660_RS05290	1373	923	788	1093	1253	1903
HC660_RS05295	343	127	186	131	160	425
HC660_RS05300	485	1113	1616	814	469	1667
HC660_RS05305	352	109	90	177	280	357
HC660_RS05310	1008	543	461	816	1297	1121
HC660_RS05315	79	40	32	31	101	57
HC660_RS05320	1362	299	448	783	699	693
HC660_RS05325	959	156	386	604	321	336
HC660_RS05330	211	66	92	147	162	150
HC660_RS05335	1517	546	582	798	649	744
HC660_RS05340	28	12	23	18	29	22
HC660_RS05345	48	9	24	18	39	27
HC660_RS05350	96	46	56	56	87	95
HC660_RS05355	3	4	2	4	17	0
HC660_RS05360	495	396	437	458	527	598
HC660_RS05365	139	132	124	144	120	190
HC660_RS05370	1274	827	683	1068	799	1611
HC660_RS05375	120	147	106	134	161	139
HC660_RS05380	300	184	335	214	282	245
HC660_RS05385	1240	7524	6327	5395	1492	2526
HC660_RS05390	319	72	95	79	134	49
HC660_RS05395	361	80	84	106	213	116
HC660_RS05400	320	446	386	598	270	325
HC660_RS05405	1	0	0	0	0	0
HC660_RS05410	18	31	27	24	23	22
HC660_RS05415	27	5	3	12	18	9
HC660_RS05420	33	6	8	9	54	25
HC660_RS05425	17	3	3	9	41	17
HC660_RS05430	816	645	667	672	738	861
HC660_RS05435	1667	5508	4054	4751	1902	3154
HC660_RS05440	127	99	69	147	187	157
HC660_RS05445	68	11	15	16	34	32
HC660_RS05450	322	269	119	231	378	396
HC660_RS05455	296	158	302	175	315	247
HC660_RS05460	92	64	128	84	115	103
HC660_RS05465	164	110	176	107	75	161
HC660_RS05470	164	131	126	202	150	74
HC660_RS05475	39	23	33	21	23	10
HC660_RS05480	136	122	117	149	203	166
HC660_RS05485	304	118	196	204	254	247
HC660_RS05490	426	236	226	372	289	303
HC660_RS05495	1299	1163	903	1325	1178	1142
HC660_RS05500	1068	1347	873	1529	1093	1415
HC660_RS05505	12	10	8	8	17	9
HC660_RS05510	6708	7772	5966	10812	7753	10199
HC660_RS05515	0	2	2	2	1	3
HC660_RS05520	4	0	0	3	3	1
HC660_RS05525	85	34	36	108	130	165
HC660_RS05530	123	51	97	74	101	153
HC660_RS05535	192	101	229	270	154	270
HC660_RS05540	1390	1618	1141	1795	1133	1719
HC660_RS05545	341	459	412	527	373	712
HC660_RS05550	39	14	18	22	19	31
HC660_RS05555	1681	1551	1322	2451	1125	2018
HC660_RS05560	960	1176	807	1660	946	1437
HC660_RS05565	440	438	295	562	255	414
HC660_RS05570	376	174	108	255	242	241
HC660_RS05575	733	208	197	349	556	343
HC660_RS05580	328	123	101	165	304	183
HC660_RS05585	364	205	249	267	275	201
HC660_RS05590	272	78	105	96	227	95
HC660_RS05595	73	58	43	80	94	43
HC660_RS05600	835	517	637	785	678	538
HC660_RS05605	276	83	84	89	262	94
HC660_RS05610	1549	539	1130	918	1750	1152
HC660_RS05615	1514	968	1731	1279	1991	1402
HC660_RS05620	2028	1002	2008	1325	2415	1672
HC660_RS05625	1669	572	1102	867	516	949
HC660_RS05630	5526	3571	3778	4705	2903	3519
HC660_RS05635	1086	1275	719	1635	1655	1496
HC660_RS05640	87	23	27	50	63	56
HC660_RS21005	20	17	14	28	45	12
HC660_RS05650	489	358	261	381	392	310
HC660_RS05655	47	105	87	115	62	93
HC660_RS05660	5771	4793	4248	5796	5318	7151
HC660_RS05665	37	20	29	21	72	79
HC660_RS05670	291	66	48	94	164	67
HC660_RS05675	673	188	110	170	460	176
HC660_RS05680	341	259	236	230	315	184
HC660_RS05685	435	484	467	408	322	360
HC660_RS05690	73	58	62	36	44	24
HC660_RS05695	140	111	91	160	179	131
HC660_RS05700	106	137	70	150	92	86
HC660_RS05705	35	29	16	18	32	11
HC660_RS05710	694	679	576	598	664	617
HC660_RS05715	1324	1826	1386	1726	1398	1921
HC660_RS05720	324	301	257	302	207	238
HC660_RS05725	341	250	170	251	306	133
HC660_RS05730	356	225	138	256	304	100
HC660_RS05735	25	0	1	7	29	2
HC660_RS21355	184	407	253	644	213	557
HC660_RS21360	102	156	158	359	170	334
HC660_RS05745	83	9	23	27	61	26
HC660_RS05750	17	9	0	2	21	3
HC660_RS05755	51	84	72	130	48	51
HC660_RS05760	32	12	85	12	29	41
HC660_RS05765	350	381	835	291	255	416
HC660_RS05770	170	467	423	469	222	372
HC660_RS05775	77	50	28	82	65	30
HC660_RS05780	26	10	9	14	6	10
HC660_RS05785	28	9	4	23	32	13
HC660_RS05790	482	421	398	495	350	499
HC660_RS05795	256	261	239	254	206	294
HC660_RS05800	54	6	10	23	54	10
HC660_RS05805	40	22	28	29	33	35
HC660_RS05810	10	17	14	18	23	20
HC660_RS05815	142	102	83	203	357	242
HC660_RS05820	68	45	42	88	268	93
HC660_RS05825	161	36	14	117	344	102
HC660_RS05830	110	11	27	110	275	66
HC660_RS05835	159	37	43	154	331	257
HC660_RS05840	628	172	288	208	398	461
HC660_RS05845	23	5	2	6	22	8
HC660_RS05850	104	50	22	36	47	50
HC660_RS05855	31	15	6	18	32	6
HC660_RS05860	0	0	0	0	0	0
HC660_RS05865	660	204	194	203	643	302
HC660_RS05870	1733	431	361	414	1594	446
HC660_RS05875	527	161	148	202	437	222
HC660_RS05880	1681	821	730	980	1750	793
HC660_RS05885	144	69	61	83	151	93
HC660_RS05890	3	4	9	5	7	4
HC660_RS05895	18	10	5	7	9	2
HC660_RS05900	5	4	9	1	8	5
HC660_RS05905	30	14	15	20	23	25
HC660_RS05910	1	5	3	0	14	4
HC660_RS05915	9	5	1	0	5	6
HC660_RS05920	19	6	20	22	21	41
HC660_RS05925	12	1	2	3	20	3
HC660_RS05930	633	780	537	729	490	594
HC660_RS05935	266	284	335	346	207	426
HC660_RS05940	838	1151	941	1375	916	2096
HC660_RS05945	19	1	0	1	20	4
HC660_RS05950	51	24	13	19	56	10
HC660_RS05955	93	59	33	43	60	35
HC660_RS05960	221	63	93	102	250	136
HC660_RS05965	100	29	43	60	97	33
HC660_RS05970	256	227	158	227	263	215
HC660_RS05975	145	54	43	75	107	43
HC660_RS05980	158	251	231	213	178	200
HC660_RS05985	54	11	12	14	32	6
HC660_RS05990	281	138	112	189	245	165
HC660_RS05995	155	108	115	175	166	130
HC660_RS06000	39	11	4	9	43	14
HC660_RS06005	20	4	9	4	23	5
HC660_RS06010	18	3	4	9	45	8
HC660_RS06015	36	0	1	3	28	3
HC660_RS06020	15	4	0	8	22	1
HC660_RS06025	15	2	5	2	20	6
HC660_RS06030	25	2	8	6	20	4
HC660_RS06035	35	18	12	13	47	16
HC660_RS06040	25	13	5	6	26	10
HC660_RS06045	272	335	306	477	333	341
HC660_RS06050	87	64	33	109	71	75
HC660_RS06055	97	34	54	85	120	35
HC660_RS06060	152	65	80	175	104	179
HC660_RS06065	415	617	314	511	370	613
HC660_RS06070	22	38	26	36	38	24
HC660_RS06075	24	5	3	4	13	10
HC660_RS06080	9	0	0	4	17	8
HC660_RS06085	37	16	20	20	26	16
HC660_RS06090	113	37	46	90	76	57
HC660_RS06095	38	24	21	57	32	45
HC660_RS06100	34	11	12	16	30	16
HC660_RS06105	680	998	626	1072	517	940
HC660_RS06110	385	779	675	558	346	601
HC660_RS06115	382	751	525	550	348	531
HC660_RS06120	50	73	36	74	62	64
HC660_RS06125	83	84	59	118	73	103
HC660_RS06130	361	310	241	395	268	352
HC660_RS06135	335	324	288	448	251	422
HC660_RS06140	450	681	408	790	304	466
HC660_RS06145	101	96	70	134	71	67
HC660_RS06150	234	57	84	90	112	118
HC660_RS06155	56	40	58	26	55	63
HC660_RS06160	15	9	4	12	23	15
HC660_RS06165	33	1	2	4	36	4
HC660_RS06170	24	7	0	4	20	1
HC660_RS06175	30	1	6	3	27	0
HC660_RS06180	37	32	5	14	36	12
HC660_RS06185	116	39	18	33	100	26
HC660_RS06190	36	18	14	13	40	10
HC660_RS06195	13	1	5	1	10	1
HC660_RS06200	154	82	72	148	80	208
HC660_RS06205	36	18	34	27	28	28
HC660_RS06210	34	4	9	7	19	20
HC660_RS06215	916	864	1194	938	749	1402
HC660_RS06220	94	120	127	132	115	180
HC660_RS06225	38	28	19	12	35	24
HC660_RS06230	1658	830	674	1301	1755	1848
