Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS00005	1510	1195	1387	1989	2452	3117	2109	938	2005	1790	1477	2511
HC660_RS00010	1431	1062	1145	1779	1497	1982	1446	1368	1360	1590	1342	2467
HC660_RS00015	170	139	208	205	192	259	268	135	150	180	184	282
HC660_RS00020	2204	2444	2456	3010	2911	2654	2946	1612	2429	2258	2137	2968
HC660_RS00025	526	511	538	603	617	634	599	283	514	564	396	558
HC660_RS00030	7182	6468	5272	7015	7499	7698	6247	5484	5905	7543	5670	8706
HC660_RS00035	10763	8654	6731	9408	11305	11033	7781	7411	8767	10522	6962	12735
HC660_RS00040	1	0	3	4	1	2	7	1	1	0	2	1
HC660_RS00045	1	5	3	0	1	0	4	3	1	5	3	0
HC660_RS00050	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00055	0	0	0	0	0	0	3	2	0	0	0	0
HC660_RS00060	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00065	10	16	20	21	23	17	82	3	11	26	21	28
HC660_RS00070	5110	4324	2516	6847	3073	4573	4063	4935	3464	5902	3355	7255
HC660_RS00075	1369	620	949	1870	1086	1880	1029	1062	1068	1835	1663	3262
HC660_RS00080	1909	1098	1219	1215	2908	3175	1336	2155	1453	2173	1133	2143
HC660_RS00085	4627	3113	2076	2190	5043	4633	2402	3806	3018	4077	2193	4331
HC660_RS00090	4352	2646	1171	1794	2111	2238	1416	2581	1840	2466	1451	2796
HC660_RS00095	12	37	65	11	24	61	71	18	28	26	33	22
HC660_RS00100	453	347	293	581	477	484	424	301	392	478	327	622
HC660_RS00105	271	255	237	404	299	351	381	168	251	225	232	359
HC660_RS00110	71	70	95	89	109	146	88	102	190	173	111	160
HC660_RS00115	30	48	40	54	45	79	65	67	86	85	32	54
HC660_RS00120	5	6	8	6	21	21	19	3	5	5	7	11
HC660_RS00125	1658	21525	21481	2016	2388	3056	20177	5883	13927	5477	13069	1693
HC660_RS00130	659	505	567	724	750	911	1159	564	499	661	642	837
HC660_RS00135	222	155	229	322	388	588	189	266	225	263	211	347
HC660_RS00140	610	341	472	687	582	866	656	543	485	583	552	1012
HC660_RS00145	321	208	277	292	256	363	262	215	245	326	253	369
HC660_RS00150	43	15	29	20	21	26	48	6	14	31	28	32
HC660_RS00155	3	5	7	35	1	9	19	8	11	0	5	1
HC660_RS00160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00165	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00170	0	0	1	0	0	0	0	0	0	0	0	0
HC660_RS00175	0	0	3	0	0	0	3	0	0	0	1	0
HC660_RS00180	1	10	8	7	1	5	46	0	3	1	1	4
HC660_RS00185	278	357	218	428	290	207	342	117	320	178	126	183
HC660_RS00190	597	705	373	686	546	446	665	230	445	417	275	296
HC660_RS00195	250	190	228	299	447	374	418	211	323	273	236	372
HC660_RS00200	172	123	170	158	275	289	219	232	221	185	163	317
HC660_RS00205	294	240	210	386	264	232	398	221	342	279	223	326
HC660_RS00210	483	429	290	477	375	488	453	496	443	557	357	509
HC660_RS00215	1098	971	711	1311	1056	1100	1088	1026	844	983	785	1030
HC660_RS00220	889	930	799	1275	1028	1112	985	808	855	837	762	1113
HC660_RS00225	584	501	439	651	578	597	391	636	566	532	414	695
HC660_RS00230	111	118	119	137	153	146	198	62	134	116	144	197
HC660_RS00235	30	30	37	50	67	51	57	33	59	48	47	91
HC660_RS00240	268	154	219	306	287	307	234	147	235	282	257	374
HC660_RS00245	6652	6563	3908	5739	5679	5634	4872	3988	8252	5271	2920	6983
HC660_RS00250	2786	1886	1400	2661	1808	2218	1744	2788	1978	2511	2013	3514
HC660_RS00255	460	304	303	356	388	373	304	339	328	403	339	753
HC660_RS00260	623	617	696	921	1419	1590	1477	325	770	756	551	1018
HC660_RS00265	122	72	108	145	192	258	227	106	147	104	136	195
HC660_RS00270	509	317	402	513	487	691	484	563	374	540	525	986
HC660_RS00275	45	25	44	41	47	49	68	40	43	44	46	81
HC660_RS00280	2030	2810	4449	2033	3966	3722	1824	2620	4142	3793	1932	2839
HC660_RS00285	34	16	35	19	57	46	36	26	50	53	34	29
HC660_RS00290	409	341	348	573	490	627	508	398	366	556	466	650
HC660_RS00295	1869	1468	1081	1654	1606	1986	1476	1461	1486	1828	1287	2238
HC660_RS00300	1583	911	595	933	937	1220	920	1270	1160	1239	701	1373
HC660_RS00305	1893	1992	1355	2668	1318	1099	1537	1535	1870	1314	948	1610
HC660_RS00310	744	438	907	1002	1208	1539	1392	885	953	1434	1472	2388
HC660_RS00315	983	516	1041	1009	1157	1543	1430	951	1183	1871	1752	3033
HC660_RS00320	5531	5424	3793	5327	6180	7884	4109	8417	9279	9640	4484	7535
HC660_RS00325	402	335	330	454	474	483	357	205	452	531	303	501
HC660_RS00330	203	163	193	187	242	224	178	115	232	245	159	239
HC660_RS00335	2736	2037	2070	2516	3305	3530	2183	2588	3344	3911	2311	3991
HC660_RS00340	492	462	424	492	627	577	422	485	628	718	443	693
HC660_RS00345	116	131	210	192	193	231	392	175	178	187	234	270
HC660_RS00350	647	534	711	781	661	701	977	619	598	705	817	988
HC660_RS00355	200	143	193	240	227	236	216	228	240	261	256	295
HC660_RS00360	172	175	293	192	178	230	232	173	206	288	245	244
HC660_RS00365	314	255	308	385	416	365	616	281	406	390	421	461
HC660_RS00370	514	529	454	700	668	693	864	614	562	533	423	740
HC660_RS00375	903	1090	1026	1765	1565	1272	1424	1028	1351	1137	726	1298
HC660_RS00380	0	0	0	0	0	2	0	2	0	0	0	1
HC660_RS00385	0	0	5	0	0	1	7	0	0	0	0	0
HC660_RS00390	29	14	86	15	42	68	128	32	16	66	80	49
HC660_RS00395	19	23	34	17	23	52	68	29	30	39	64	53
HC660_RS00400	18	10	31	6	11	13	40	7	11	16	33	33
HC660_RS00405	1489	1667	1803	2742	2571	1994	2954	947	2236	1443	1212	1661
HC660_RS00410	916	815	908	1271	1167	1065	1420	436	736	728	839	961
HC660_RS00415	19721	16624	14364	21265	18689	18756	21483	12964	15746	19621	16564	22787
HC660_RS00420	246	153	247	234	365	477	459	223	325	318	285	443
HC660_RS00425	270	132	336	164	401	664	462	361	402	620	371	678
HC660_RS00430	62	55	80	155	112	170	178	58	83	115	65	156
HC660_RS00435	7884	4076	3115	6472	8909	7180	4492	4605	2601	3077	1589	3633
HC660_RS00440	312	352	369	374	343	271	435	311	264	347	313	385
HC660_RS00445	788	849	617	899	701	670	793	682	671	611	589	655
HC660_RS00450	297	351	433	318	395	368	612	293	284	388	414	383
HC660_RS00455	361	375	620	524	545	500	722	366	399	522	635	559
HC660_RS00460	207	185	294	270	269	256	337	158	250	272	290	327
