Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS12350	36	26	48	30	24	36	14	11	16	26	35	25
HC660_RS12355	267	301	253	169	122	148	125	217	221	370	188	223
HC660_RS12360	579	467	570	291	324	425	271	833	575	695	403	498
HC660_RS12365	82	21	42	65	82	82	55	49	30	34	68	97
HC660_RS12370	1763	1257	1286	1664	1317	1150	1186	943	1065	1581	1477	1894
HC660_RS12375	321	180	215	295	328	287	152	197	211	296	318	487
HC660_RS12380	60	29	14	27	38	32	18	23	12	41	45	84
HC660_RS12385	394	208	192	199	215	186	200	189	250	354	273	318
HC660_RS12390	47	56	54	84	51	36	38	36	61	110	51	60
HC660_RS12395	139	282	238	283	171	159	108	147	285	397	342	320
HC660_RS12400	228	349	370	595	325	191	215	686	548	501	693	573
HC660_RS12405	83	24	20	15	26	29	28	14	13	6	27	37
HC660_RS12410	47	24	12	16	25	22	29	18	19	18	13	28
HC660_RS12415	542	506	646	478	333	269	730	696	729	835	963	903
HC660_RS12420	638	928	643	768	439	374	749	659	772	1006	1138	1047
HC660_RS12425	58	26	55	43	52	27	154	27	61	39	41	47
HC660_RS12430	69	49	48	43	62	46	178	48	66	14	40	32
HC660_RS12435	43	31	23	41	35	45	100	24	40	24	34	24
HC660_RS12440	25	14	18	28	28	30	93	23	27	13	12	4
HC660_RS12445	24	20	54	67	46	66	127	58	105	32	34	36
HC660_RS12450	4519	4493	3838	5899	3630	2757	3290	3062	4081	5443	4932	6568
HC660_RS12455	109	70	102	60	62	74	60	60	72	106	75	72
HC660_RS12460	14415	25428	24777	12633	8015	8168	12618	16687	19838	28619	18227	19416
HC660_RS12465	64	92	102	54	38	30	72	66	90	215	144	92
HC660_RS12470	586	425	510	486	297	238	480	420	520	908	858	770
HC660_RS12475	16	11	10	18	8	13	10	15	15	14	28	9
HC660_RS12480	1536	1328	1215	1611	1039	910	1216	1317	1085	1695	1939	1939
HC660_RS12485	6	8	3	11	9	1	10	12	6	8	27	7
HC660_RS12490	407	451	393	423	318	295	505	474	588	591	788	702
HC660_RS12495	299	189	334	214	174	145	298	226	306	424	486	382
HC660_RS12500	263	223	345	234	193	245	413	361	448	344	441	334
HC660_RS12505	7	4	5	16	12	15	4	1	4	4	11	14
HC660_RS12510	1708	2876	2380	4384	2403	2261	2436	1899	2369	2742	2783	3438
HC660_RS12515	2569	3071	2652	4830	2908	2667	3103	2318	2548	3074	3259	4230
HC660_RS12520	19	0	4	7	20	15	0	2	4	6	7	5
HC660_RS12525	610	640	579	823	481	445	668	534	722	694	979	1101
HC660_RS12530	437	627	547	896	551	451	377	627	484	692	649	710
HC660_RS12535	220	194	166	364	221	150	193	286	260	311	336	321
HC660_RS12540	148	150	196	119	128	181	110	77	165	240	118	174
HC660_RS12545	5412	6401	4654	8889	4944	3864	5748	4452	6915	8479	7467	9405
HC660_RS12550	3494	1676	2006	2745	2257	2047	2140	1986	1878	2913	2966	3911
HC660_RS12555	495	258	350	506	346	344	364	413	264	465	631	597
HC660_RS12560	816	613	728	682	555	530	590	806	570	997	1020	1098
HC660_RS12565	547	252	443	270	251	285	223	427	254	387	510	536
HC660_RS12570	2135	2635	2107	4267	2804	1846	1387	2256	1808	3733	2807	3214
HC660_RS12575	581	424	423	934	665	502	379	588	522	941	868	1053
HC660_RS12580	1193	739	681	1449	1073	839	1105	893	796	1087	1378	1572
HC660_RS12585	337	151	140	394	233	208	196	112	161	312	289	325
