Condition,Dose,n,mu_max_mean,mu_max_sd,lag_mean,lag_sd,K_mean,K_sd,AUC_mean,AUC_sd,OD_max_mean,OD_max_sd
1g,0,3,0.8972387414453623,0.1798667211259567,3.2948271921440595,0.18654286564973951,0.10998562500066623,0.0010819612246116901,0.4825111083333333,0.02545801296083674,0.107922221,0.0013359658747726336
1g,6.5,3,1.764004927730813,0.344508343298645,3.1460745393893466,0.11806296662021397,0.12679051265465563,0.0052377064798188,0.6657499959999998,0.008903793949772285,0.13850555466666667,8.234966752065998e-4
1g,13,3,1.6053963342121929,0.08715306975447445,3.0589159183348826,0.0869755423066913,0.13907392779751296,0.0014997621223587568,0.7175486084166666,0.006405745618258814,0.142383333,0.0023676630179721462
1g,19.5,3,1.1765074390552501,0.05376142108445528,3.1062366342160415,0.11140347646207784,0.13658187587630033,0.0018724781226680232,0.6606666650833332,0.007657614039340953,0.13856666433333334,0.0015882389461300726
SMG,0,3,0.9366145210632987,0.07727950326725543,3.398598666632323,0.24907320557129708,0.1431438394738303,4.792665739901363e-4,0.6214916640833333,0.009345465718145618,0.14006666766666667,2.7537692355085724e-4
SMG,6.5,3,1.2416217653260306,0.06982686804101736,3.0536327422147034,0.05667816088180345,0.13291868525118034,0.002086860725896917,0.6567388789166664,0.0045576526562712974,0.13827222066666667,0.0030754093127179673
SMG,13,3,1.4729354098482994,0.089995356883445,3.1210104950817072,0.08942268589938082,0.13588517693218982,0.002076124366254898,0.6871097216666665,0.006074452013560918,0.13791111366666667,0.001803185605985236
SMG,19.5,3,1.1938339200564172,0.22934843595555898,3.3100147810005374,0.11924459320903825,0.13324390453577456,0.005369932279817629,0.6272374954166664,0.02407349802621337,0.131983335,0.004365299367360281
