"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1639.61184831573,0.298913689761502,0.182316593131591,0.0509112567890578,0.255316566572409
"HC660_RS00010",1598.96633610656,0.171010454643389,0.228670331049127,0.30772137951399,0.644284958119174
"HC660_RS00015",118.866439981849,0.117914538023521,0.265618026663802,0.466399961295923,0.774360823891701
"HC660_RS00020",1203.01709910114,0.0895155256011922,0.25411853515287,0.572851969423955,0.832275443498959
"HC660_RS00025",296.432753080674,0.0648396909691469,0.260364669449358,0.678090101018815,0.881038493362878
"HC660_RS00030",4278.19493518411,0.432037672861517,0.263121427277732,0.0267471375522243,0.174688989810928
"HC660_RS00035",6081.05245740267,0.425849900223341,0.248533668962968,0.0234458267206982,0.159327207087821
"HC660_RS00040",32.5731926623268,-1.09875042657955,0.637800352265786,0.00419626708401375,0.0551705222617959
"HC660_RS00045",1.40237787378136,0.0984518305175362,0.337093723747891,0.077128093822491,NA
"HC660_RS00055",24.5681878146366,-1.27246612967038,1.07988627125354,0.00595992648200737,0.0704488492961223
"HC660_RS00065",25.4772898643106,-0.00183164458122572,0.292886576347393,0.982940919000157,0.993297009356872
"HC660_RS00070",2836.25940280255,0.362184258680407,0.260513830532391,0.0562009856925604,0.268373696970022
"HC660_RS00075",1727.10776974179,0.186280032082359,0.277640157006364,0.280741207914089,0.62279655075679
"HC660_RS00080",2051.85490096225,0.141264607606794,0.193059994077552,0.354530485464686,0.689547415819786
"HC660_RS00085",3622.07438206789,0.148216233247017,0.182669182153249,0.328330187022323,0.664779516184522
"HC660_RS00090",978.246472659268,0.300945967789656,0.28817742811043,0.112162069192002,0.384209131850603
"HC660_RS00095",8.9832439801683,-0.0324734755242388,0.292641201737872,0.785290778577823,NA
"HC660_RS00100",211.532531829433,0.178074246706568,0.270812368422052,0.301544855777185,0.640162629472303
"HC660_RS00105",97.7358789281593,0.0711511180409774,0.256129584835504,0.653343526746408,0.872424112684046
"HC660_RS00110",468.179740896906,-0.562304774556807,0.621945679240814,0.0259098425294448,0.170706168995476
"HC660_RS00115",153.414768979378,-0.727628513616641,0.969622264512338,0.0145909557574456,0.122149223136521
"HC660_RS00120",6.66674564563378,0.0329395408770872,0.292338302661551,0.787784646208392,NA
"HC660_RS00125",13349.789117405,-0.0793823845821745,0.321240212595062,0.338236527496239,0.67330826675835
