Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS00005	2314	1707	1611	1424	949	2031	1494	1480	1426	1809	1631	2384
HC660_RS00010	2214	1803	1501	1482	1305	2932	1117	1569	1198	1332	1164	2474
HC660_RS00015	150	55	122	88	122	213	54	146	125	162	94	150
HC660_RS00020	1347	545	1293	1095	943	1741	602	1182	1875	1791	1030	1423
HC660_RS00025	361	142	368	287	249	435	121	264	481	402	236	337
HC660_RS00030	5752	2843	4521	4828	4038	7409	2021	3608	3904	4291	4299	5892
HC660_RS00035	8099	4877	5573	6877	6277	10861	2797	5341	5135	6404	5940	7497
HC660_RS00040	43	23	25	45	58	83	39	22	39	4	4	29
HC660_RS00045	0	2	2	0	1	0	1	0	0	5	0	6
HC660_RS00050	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00055	25	28	22	19	39	59	57	8	26	0	10	12
HC660_RS00060	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00065	27	18	28	46	16	26	38	21	15	61	6	7
HC660_RS00070	4151	2479	2781	3740	2328	4463	1530	2815	1894	3401	2488	3208
HC660_RS00075	1805	1936	1102	1467	1136	2760	2221	1488	930	1691	1895	2779
HC660_RS00080	3273	1548	2210	2328	2008	3626	1338	1954	1645	1749	1818	2208
HC660_RS00085	5019	3594	3437	4080	4152	7040	2528	3107	2608	2697	3079	3867
HC660_RS00090	1159	1126	748	898	972	1656	943	777	506	1338	809	1116
HC660_RS00095	9	11	5	5	6	18	20	4	6	13	5	9
HC660_RS00100	245	259	195	230	144	334	266	141	107	246	190	248
HC660_RS00105	153	66	122	71	51	92	83	96	125	184	90	64
HC660_RS00110	1085	186	773	927	413	584	304	558	512	323	156	119
HC660_RS00115	407	67	252	251	73	146	94	222	255	115	50	22
HC660_RS00120	5	5	7	6	2	7	7	3	13	15	5	6
HC660_RS00125	6908	41042	1765	5615	10301	28847	33093	4027	7762	6098	7665	8038
HC660_RS00130	1227	636	827	949	640	1263	628	697	866	646	563	1083
HC660_RS00135	679	516	588	483	299	580	452	454	492	331	248	603
HC660_RS00140	617	465	459	478	387	795	394	384	358	481	337	737
HC660_RS00145	228	293	184	218	191	360	381	186	153	227	154	316
HC660_RS00150	44	34	33	35	21	73	29	27	33	37	20	43
HC660_RS00155	120	46	54	94	82	165	144	35	87	10	11	73
HC660_RS00160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00165	0	0	0	0	0	1	0	1	0	0	0	1
HC660_RS00170	22	9	7	15	11	25	13	10	10	0	1	13
HC660_RS00175	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00180	2	4	3	0	0	0	11	2	1	8	8	3
HC660_RS00185	319	212	397	182	215	228	146	204	299	329	191	250
HC660_RS00190	990	874	955	609	599	813	460	663	647	691	754	931
HC660_RS00195	643	407	600	517	566	978	290	469	510	427	471	985
HC660_RS00200	390	252	376	239	234	478	163	241	374	273	222	469
HC660_RS00205	518	282	406	365	239	426	157	275	353	231	200	360
HC660_RS00210	1206	700	869	890	567	1000	360	622	608	468	414	664
HC660_RS00215	1980	948	1428	1238	854	1339	526	919	1230	1014	721	1269
HC660_RS00220	1824	926	1292	1194	765	1470	671	867	1175	883	756	1406
HC660_RS00225	1135	1022	816	921	607	1260	558	650	672	521	484	868
HC660_RS00230	177	138	184	161	108	325	117	127	135	119	85	214
HC660_RS00235	66	37	40	43	28	110	20	33	35	51	33	62
HC660_RS00240	391	304	290	295	217	543	286	249	235	246	243	427
HC660_RS00245	2396	1299	1484	1495	977	1069	2833	1458	8145	3561	1037	559
HC660_RS00250	2888	1909	1944	2573	1852	3480	1280	2124	1345	2500	1785	2174
HC660_RS00255	643	362	434	435	430	671	283	373	347	625	324	423
HC660_RS00260	413	300	469	377	218	345	428	331	633	876	411	418
HC660_RS00265	73	50	73	60	42	121	69	76	49	142	73	92
HC660_RS00270	352	331	240	371	266	674	407	327	198	352	309	430
HC660_RS00275	7	10	23	13	5	27	14	8	9	36	10	21
HC660_RS00280	3792	2232	1471	1916	1561	1550	4663	1793	7066	3978	2000	2642
HC660_RS00285	80	57	41	61	50	31	75	38	94	133	60	45
HC660_RS00290	537	357	428	482	403	751	431	385	552	600	358	484
HC660_RS00295	1451	1163	1244	1381	1055	2052	975	1032	1132	1223	1099	1301
HC660_RS00300	836	817	598	730	556	930	572	549	609	676	589	686
HC660_RS00305	1624	1416	2257	1171	991	924	1024	821	1856	2631	970	823
HC660_RS00310	1732	987	1206	1491	1009	2235	733	1288	960	1345	1126	1778
HC660_RS00315	1958	905	1298	1508	1506	2463	756	1371	979	1910	1079	1642
HC660_RS00320	25703	10877	12945	19580	11428	15229	13811	10927	15339	13196	4840	3347
HC660_RS00325	446	156	417	322	224	366	158	221	345	432	183	153
HC660_RS00330	176	83	193	152	110	181	101	134	153	205	93	75
HC660_RS00335	4053	2070	3386	3404	3230	5324	1585	2636	2366	3060	1519	2092
HC660_RS00340	477	238	421	323	282	509	214	303	266	458	192	215
HC660_RS00345	107	141	136	113	70	185	173	109	139	154	84	152
HC660_RS00350	913	435	780	734	696	1314	362	671	563	608	521	862
HC660_RS00355	352	180	317	297	268	432	122	234	221	260	231	323
HC660_RS00360	413	219	274	334	282	514	185	254	248	272	212	372
HC660_RS00365	477	152	405	285	210	385	188	270	432	356	250	418
HC660_RS00370	494	329	586	358	314	428	404	433	641	469	304	461
HC660_RS00375	1099	1174	959	844	689	965	1329	873	1394	862	663	1011
HC660_RS00380	0	1	0	0	0	1	0	0	0	0	0	0
HC660_RS00385	1	0	0	0	1	0	6	0	0	0	0	0
HC660_RS00390	65	43	62	66	106	213	69	79	62	67	101	163
HC660_RS00395	27	20	29	30	59	84	26	45	48	22	60	76
HC660_RS00400	8	3	8	11	8	11	10	4	7	12	8	16
HC660_RS00405	797	417	1261	670	657	812	462	644	1287	1027	512	764
HC660_RS00410	405	223	578	341	308	414	199	334	634	544	260	466
HC660_RS00415	20329	12848	14650	16005	13673	27768	12498	11428	10981	12154	12906	18009
HC660_RS00420	309	211	290	256	208	467	314	272	285	188	213	388
HC660_RS00425	773	713	598	759	663	1381	872	598	552	360	437	952
HC660_RS00430	88	64	122	72	44	78	34	75	64	84	45	61
HC660_RS00435	1459	1468	1211	1347	919	1929	903	874	749	1324	895	1045
HC660_RS00440	692	263	396	381	348	602	271	392	547	429	381	572
HC660_RS00445	1115	598	782	622	478	768	482	647	995	783	502	782
HC660_RS00450	666	218	484	387	322	514	211	405	520	434	350	516
HC660_RS00455	1086	372	792	741	482	990	304	629	798	606	568	845
HC660_RS00460	829	270	517	554	400	741	173	474	501	344	346	577
HC660_RS00465	1036	423	675	785	628	1039	316	567	600	466	487	786
HC660_RS00470	368	150	262	281	240	392	90	191	223	176	175	291
HC660_RS00475	4555	2221	2863	2979	2621	4433	1601	2356	2642	2322	2204	3238
HC660_RS00480	3075	1227	2292	2438	2129	3734	939	1826	1431	2547	1833	2430
HC660_RS00485	17	4	5	10	11	28	9	7	12	1	3	8
HC660_RS00490	5460	5082	2709	4506	4646	15509	10328	2727	3610	65	258	5606
HC660_RS00495	0	2	0	0	0	0	0	0	0	0	0	1
HC660_RS00500	0	1	1	0	1	0	5	0	3	0	0	3
HC660_RS00505	6	41	16	6	5	4	32	4	35	164	19	46
HC660_RS00510	4	31	10	9	8	7	26	5	10	81	11	16
HC660_RS00515	6	34	23	16	9	3	32	11	40	96	16	30
HC660_RS00520	6	40	12	7	8	10	22	13	43	104	22	30
HC660_RS00525	19	51	17	17	14	17	37	9	40	111	38	41
HC660_RS00530	5	14	5	4	7	5	3	1	12	24	3	17
HC660_RS00535	4	8	9	2	0	0	0	0	12	7	3	0
HC660_RS00540	49	41	26	39	37	32	50	15	90	60	33	56
HC660_RS00545	23	7	19	43	37	105	32	29	38	5	7	47
HC660_RS00550	10	4	4	4	9	17	7	5	18	1	3	4
HC660_RS00555	0	0	0	0	0	0	1	0	0	0	0	0
HC660_RS00560	1835	426	1180	666	622	859	523	797	2095	997	392	792
HC660_RS00565	2751	417	1467	1136	931	1233	480	1273	1676	1145	590	1098
HC660_RS00570	9679	1329	5026	4869	3609	5891	1250	4246	4572	3740	2176	3784
HC660_RS00575	58187	16070	34062	35008	35443	54216	14405	31246	26969	19895	16543	26232
HC660_RS00580	10785	2394	7853	6729	7082	10263	2003	5538	5513	2816	3377	5771
HC660_RS00585	6166	2043	4160	4006	3299	5799	1784	2924	2885	1910	2088	3732
HC660_RS00590	9281	3176	4374	4876	3770	6019	4586	5666	4963	2995	2446	3530
HC660_RS00595	6580	3195	3217	4101	3368	5673	4254	3941	3451	2117	1946	2683
HC660_RS00600	149	58	172	108	84	168	90	117	143	229	64	129
HC660_RS00605	4504	2400	3168	3713	2896	6312	2008	2922	2267	3999	2361	3950
HC660_RS00610	189	94	148	155	172	268	98	133	108	125	71	173
HC660_RS00615	732	278	553	559	581	1033	259	493	355	348	204	472
HC660_RS00620	188	69	147	151	192	301	70	174	91	100	59	162
HC660_RS00625	401	102	288	310	378	527	103	297	190	137	93	275
HC660_RS00630	288	106	220	253	249	400	104	209	150	67	51	188
HC660_RS00635	1020	862	995	621	508	906	482	749	1188	663	414	1043
HC660_RS00640	245	235	185	140	110	157	219	130	211	205	196	232
HC660_RS00645	405	465	220	200	133	292	702	259	343	269	335	365
HC660_RS00650	514	425	412	435	306	709	604	314	473	716	419	642
HC660_RS00655	12360	12184	7324	7939	5407	10749	17141	7313	8636	11730	9631	9987
HC660_RS00660	13415	10645	7553	12321	8484	17459	15339	9932	9325	11581	11675	12614
HC660_RS00665	11831	5038	5885	8587	6073	10516	9928	8928	10486	12224	5542	4855
HC660_RS00670	9165	4008	4399	6899	4561	7609	8047	6409	7331	9274	4272	3517
HC660_RS00675	534	118	330	389	276	539	269	333	239	467	288	312
HC660_RS00680	29133	11483	21280	22801	24627	42684	9923	19650	16626	20361	18163	25637
HC660_RS00685	65068	20329	43272	47917	50586	76037	17110	42179	34635	41551	33844	43289
HC660_RS00690	3161	630	1929	2408	2134	3322	810	2367	2734	3713	1883	2157
HC660_RS00695	8423	1565	5077	6082	5020	8755	1928	5802	6234	8216	4495	5439
HC660_RS00700	11376	2844	6311	9109	7026	12661	4081	7817	7775	11120	6094	7429
HC660_RS00705	78449	16882	43144	62140	52615	83461	22800	56620	53613	72105	37316	44188
HC660_RS00710	87315	36364	47644	65548	54603	78372	51513	60480	48955	81044	44517	39733
HC660_RS00715	400	27	197	304	295	419	121	394	329	360	211	195
HC660_RS00720	11021	3413	5623	7901	5188	9684	5992	8181	10662	8442	5349	6665
HC660_RS00725	20633	4253	9780	14851	10753	19747	6858	15948	18726	14575	9895	11624
HC660_RS00730	18079	2911	8916	13774	10295	18842	4654	14419	15370	13013	8431	9796
HC660_RS00735	10998	1556	5356	8691	6928	11606	2896	8694	10390	7199	4611	5649
HC660_RS00740	36652	5434	17366	26523	22047	36199	10369	28360	32152	22580	14047	17909
HC660_RS00745	10062	1441	5203	7647	6835	10945	2982	9156	9523	6025	4121	5185
HC660_RS00750	11553	1472	5814	8476	7401	11928	3240	9859	9566	6007	3807	5675
HC660_RS00755	23291	2380	12038	16781	14993	24451	4866	19326	19210	12819	8871	11070
HC660_RS00760	15280	1420	8342	10935	10621	15765	2844	13150	12319	7627	5565	6990
HC660_RS00765	7191	738	3769	5095	4788	7565	1353	6193	5757	3282	2596	3108
HC660_RS00770	14935	1552	7961	10297	9728	15131	2922	12624	11845	7141	4995	6500
HC660_RS00775	15483	1531	8237	11190	10214	14902	3793	13671	12264	7389	5265	6476
HC660_RS00780	11492	1028	6356	7558	7123	10531	1994	9338	8209	5266	4026	4749
HC660_RS00785	27229	2342	14020	19285	16901	25015	5817	24014	24175	12054	8957	10522
HC660_RS00790	8930	612	4802	6493	5911	8424	1695	8541	8010	3435	2940	3441
HC660_RS00795	15116	1307	7613	10399	9026	13280	4066	13031	12667	6935	4848	5637
HC660_RS00800	27272	2059	14220	18824	16775	24342	4683	23207	23658	10309	8308	9759
HC660_RS00805	16848	1475	8622	11311	10188	15073	3172	14565	14430	6068	4963	6094
HC660_RS00810	24057	2296	12200	15879	14700	21810	5404	20091	21213	8148	6812	8599
HC660_RS00815	9361	872	5056	6366	5945	8276	1946	8166	8306	2514	2316	3380
HC660_RS00820	24433	2573	12661	15068	13454	20040	5675	20744	20785	6969	5424	8566
HC660_RS00825	54365	7357	27056	33235	29772	41326	18383	43414	47067	16696	14255	19285
HC660_RS00830	22245	2201	11147	14122	11244	16915	5195	16905	19637	9231	6797	8109
HC660_RS00835	25206	2099	13162	15563	12062	17785	4644	17966	22319	12166	7638	8936
HC660_RS20940	9986	730	5147	6014	4503	6666	1594	7512	8796	4751	3166	3481
HC660_RS00845	6067	442	3181	3792	2681	4059	1098	4396	5829	3019	2031	2081
HC660_RS00850	2469	188	1233	1564	1214	1682	441	1726	2172	1067	899	818
HC660_RS00855	17561	1891	8643	10979	7578	12350	3384	12404	15942	8508	6017	5849
HC660_RS00860	18767	2731	9311	12919	9411	14461	4337	14298	15914	8940	7168	6567
HC660_RS00865	42907	4734	22512	29462	21568	30014	9482	32032	32908	24579	16332	13635
HC660_RS00870	14574	2793	7627	9970	7206	10048	5579	10694	10996	8486	5939	4488
HC660_RS00875	914	145	464	623	513	742	490	1053	1809	540	455	562
HC660_RS00880	1091	240	631	795	704	882	840	1258	1932	608	576	621
HC660_RS00885	984	265	551	651	632	919	756	1077	1593	458	462	551
HC660_RS00890	1533	316	721	1116	805	1166	1176	1830	3109	754	638	749
HC660_RS00895	6010	2005	3325	4065	3120	5757	4036	5012	5418	4504	3946	4795
HC660_RS00900	7401	3641	3835	5674	4511	8168	6171	5898	5326	4751	5298	5981
HC660_RS00905	58	61	160	61	62	68	61	78	108	160	62	76
HC660_RS00910	2	1	3	4	1	0	0	0	2	0	2	0
HC660_RS00915	2	6	12	4	3	6	4	3	3	6	0	3
HC660_RS00920	5859	3216	4035	3351	2607	3870	2274	2859	3678	4370	3568	3412
HC660_RS00925	338	235	325	228	144	209	196	161	282	388	260	231
HC660_RS00930	568	455	474	419	217	498	228	254	273	393	337	380
HC660_RS00935	359	297	258	261	202	432	172	195	151	248	294	349
HC660_RS00940	24	14	26	30	27	80	22	16	15	2	3	34
HC660_RS00945	126	113	69	144	108	238	243	77	130	7	32	111
HC660_RS00950	1	1	1	1	0	1	4	3	1	0	0	4
HC660_RS00955	1	6	2	1	1	0	11	0	7	2	0	2
HC660_RS00960	6	22	3	1	3	6	60	4	19	27	4	4
HC660_RS00965	1	3	5	1	2	0	3	4	6	14	0	7
HC660_RS00970	0	1	3	2	0	0	2	0	1	8	2	3
HC660_RS00975	0	0	2	0	1	0	0	1	2	0	0	1
HC660_RS00980	3	4	6	2	4	4	7	2	8	8	3	14
HC660_RS00985	3	4	7	9	16	14	11	4	8	0	1	6
HC660_RS00990	19	9	9	6	7	24	22	10	14	2	2	11
HC660_RS00995	0	0	0	0	1	0	0	0	0	0	0	0
HC660_RS01000	7	8	8	17	14	18	12	5	18	1	0	10
HC660_RS01005	20	18	3	8	11	34	22	16	9	0	2	9
HC660_RS01010	37	36	11	24	33	41	60	13	11	0	0	40
HC660_RS01015	531	370	285	219	209	374	494	355	357	288	245	454
HC660_RS01020	210	158	112	129	106	153	198	100	153	197	142	178
HC660_RS01025	263	116	105	73	69	96	77	61	65	607	86	102
HC660_RS01030	333	133	147	81	95	141	123	103	77	784	152	149
HC660_RS01035	363	234	155	124	117	117	115	115	123	788	172	196
HC660_RS01040	1778	1257	787	757	562	787	648	525	400	2462	649	606
HC660_RS01045	219	99	117	118	104	150	38	122	114	235	89	125
HC660_RS01050	211	121	243	145	182	207	59	88	83	87	102	125
HC660_RS01055	319	111	332	168	202	242	51	123	110	110	114	138
HC660_RS01060	118	90	209	107	99	137	26	50	60	62	64	55
HC660_RS01065	98	95	291	89	98	116	48	51	63	67	68	88
HC660_RS01070	53	43	211	61	64	58	28	31	40	34	28	64
HC660_RS01075	111	58	353	109	73	131	44	45	88	53	48	119
HC660_RS01080	7	8	8	1	11	3	1	5	12	9	2	7
HC660_RS01085	20	20	24	19	18	38	25	13	11	43	14	25
HC660_RS01090	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01095	0	3	0	1	0	2	4	0	1	14	1	1
HC660_RS01100	1	3	0	3	1	1	4	3	3	13	1	4
HC660_RS01105	1	0	1	1	0	1	2	0	0	6	1	1
HC660_RS01110	0	0	0	0	0	0	0	0	0	3	0	0
HC660_RS01115	22592	23002	11261	11571	22435	28330	23352	21901	11486	7199	17070	26729
HC660_RS01120	20947	20707	10605	10509	20626	25997	20095	18544	9933	6672	16207	25167
HC660_RS01125	451	331	455	314	311	542	298	307	386	412	334	629
HC660_RS01130	1785	1212	1670	1548	1190	2679	981	1155	1102	1219	1119	2021
HC660_RS01135	2009	2056	1664	1675	1338	2593	1304	1210	1095	1717	1472	2001
HC660_RS01140	6672	5333	4877	5666	4085	7202	3633	4216	6905	6366	4102	5268
HC660_RS21260	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01150	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01155	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01165	61	33	35	28	28	35	32	27	54	49	31	20
HC660_RS01170	131	39	77	84	51	95	35	72	43	85	49	89
HC660_RS01175	27	22	16	18	19	22	18	23	18	18	11	21
HC660_RS01180	21	16	18	6	10	16	6	5	9	17	15	14
HC660_RS01185	25	25	27	16	13	17	23	21	13	19	21	21
HC660_RS01190	0	0	0	1	0	0	1	0	0	0	0	0
HC660_RS01195	13	4	7	9	5	3	28	2	9	45	4	12
HC660_RS01200	23	21	16	16	17	17	23	17	25	29	14	30
HC660_RS21310	10	0	1	3	0	3	0	3	1	1	2	1
HC660_RS01205	27	10	22	13	18	16	14	32	23	17	12	19
HC660_RS01210	8	20	31	18	18	24	16	24	36	8	12	25
HC660_RS01215	69	39	57	33	43	57	28	40	73	72	41	72
HC660_RS01220	101	56	51	56	46	54	44	43	63	70	44	58
HC660_RS01225	62	24	79	50	29	71	54	57	108	99	57	84
HC660_RS01230	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01235	1	2	2	0	0	0	1	3	1	1	0	0
HC660_RS01240	382	464	297	450	299	640	467	318	262	259	303	436
HC660_RS01245	5	4	3	3	2	10	6	4	7	4	0	3
HC660_RS01250	3	0	3	0	2	4	8	4	5	1	3	1
HC660_RS01255	294	117	239	131	186	192	117	194	111	224	151	74
HC660_RS01260	1350	509	978	1121	696	915	701	673	710	57	32	87
HC660_RS01265	1849	584	1434	753	514	602	563	852	2370	935	171	99
HC660_RS01270	1178	1022	798	810	800	1343	1267	799	963	669	495	988
HC660_RS01275	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01280	4605	1495	2077	1649	1663	2682	1226	1944	892	1481	1944	2135
HC660_RS01285	3931	1349	1465	1109	1223	1894	1449	1664	672	1504	1522	1792
HC660_RS01290	3	4	6	0	0	1	2	1	4	0	2	2
HC660_RS01295	38	38	40	35	23	33	35	29	36	57	24	20
HC660_RS01300	87	51	66	37	24	71	48	34	56	81	35	47
HC660_RS01305	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01310	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01315	163	151	181	189	125	224	96	70	103	117	130	141
HC660_RS01320	414	388	404	309	246	401	253	215	197	303	242	330
HC660_RS01325	254	107	678	332	334	338	171	264	726	266	143	274
HC660_RS01330	142	90	342	179	139	179	71	135	355	136	90	129
HC660_RS01335	221	86	248	124	113	137	118	181	408	328	93	136
HC660_RS01340	220	221	176	217	155	295	360	201	244	280	312	343
HC660_RS01345	218	239	141	192	149	378	447	209	141	230	284	363
HC660_RS01350	276	437	239	249	183	441	608	282	216	336	264	527
HC660_RS01355	7	2	7	6	10	24	4	10	13	23	15	30
HC660_RS01360	15107	10179	11495	8394	16608	16556	6665	11763	6977	3769	13511	14285
HC660_RS01365	146	72	116	114	109	148	72	85	50	58	58	94
HC660_RS01370	1805	2210	1203	1639	1267	2293	2442	1365	1615	1400	1461	1768
HC660_RS01375	372	208	258	213	198	238	162	145	152	117	236	134
HC660_RS01380	405	217	154	124	182	268	456	260	183	331	198	290
HC660_RS01385	454	230	191	202	223	350	338	283	249	288	275	285
HC660_RS01390	126	123	95	72	89	148	79	83	97	59	77	123
HC660_RS01395	84	59	39	51	28	69	43	24	32	36	23	50
HC660_RS01400	201	186	559	256	199	218	177	166	233	134	68	157
HC660_RS01405	49	34	72	40	45	67	52	27	52	48	24	62
HC660_RS01410	83	86	70	73	29	76	88	60	60	98	63	65
HC660_RS01415	21	18	15	10	14	14	11	12	20	6	5	13
HC660_RS01420	11	7	5	5	8	11	10	4	3	3	8	8
HC660_RS01425	200	105	159	136	84	195	115	107	111	66	77	152
HC660_RS01430	295	166	215	229	203	378	106	174	186	125	150	243
HC660_RS01435	27	20	29	21	11	23	8	19	21	13	12	19
HC660_RS01440	47	48	74	35	58	69	35	29	46	27	29	42
HC660_RS01445	29	26	36	15	27	21	25	6	17	11	16	27
HC660_RS01450	22	17	14	16	15	22	15	15	18	6	16	15
HC660_RS01455	62	79	73	66	50	93	115	39	66	53	43	80
HC660_RS01460	235	268	160	181	154	272	178	147	204	43	87	258
HC660_RS01465	202	235	163	151	138	242	192	149	228	197	89	212
HC660_RS01470	143	99	72	118	71	130	141	77	101	34	21	42
HC660_RS01475	20	11	19	14	7	15	4	5	12	17	14	7
HC660_RS01480	28	9	23	26	17	16	10	13	23	16	21	20
HC660_RS01485	119	65	96	84	58	98	41	69	101	55	55	94
HC660_RS01490	246	75	214	197	118	165	90	137	158	108	70	97
HC660_RS01495	442	124	415	419	166	189	154	229	230	120	114	65
HC660_RS20945	10	6	8	7	2	8	2	7	5	4	0	0
HC660_RS01500	1140	465	637	763	290	343	604	429	598	537	109	63
HC660_RS01505	27	13	16	28	11	16	16	15	19	10	9	23
HC660_RS01510	488	538	293	435	238	513	480	192	193	270	262	320
HC660_RS21265	1	5	1	5	4	3	6	8	3	1	5	4
HC660_RS01515	193	113	98	123	101	179	101	112	99	61	108	140
HC660_RS01520	32	13	36	32	23	28	10	26	22	11	8	29
HC660_RS01525	253	183	177	216	242	264	134	156	163	101	154	179
HC660_RS01530	289	120	158	162	163	209	161	138	150	144	119	130
HC660_RS01535	125	93	85	94	84	127	84	77	112	26	36	106
HC660_RS01540	82	157	63	80	87	162	173	70	52	74	51	146
HC660_RS01545	22	24	17	28	19	22	32	24	21	36	40	45
HC660_RS01550	15	12	16	15	28	34	14	14	10	10	11	14
HC660_RS01555	144	126	111	55	39	57	68	45	36	135	51	38
HC660_RS01560	14	35	32	24	7	24	13	17	10	17	11	13
HC660_RS01565	466	367	366	372	307	591	495	346	388	461	392	632
HC660_RS01570	53	34	76	36	38	49	31	24	61	93	49	89
HC660_RS01575	157	79	140	82	74	70	126	120	184	155	183	135
HC660_RS01580	104	35	67	66	42	93	47	47	58	12	11	43
HC660_RS01585	235	98	122	109	60	165	89	130	174	85	62	85
HC660_RS01590	564	235	364	334	274	314	152	259	260	353	255	186
HC660_RS01595	2152	3399	2445	1715	1762	3240	1269	1672	1239	2000	1699	2152
HC660_RS01600	4	1	8	3	6	5	2	4	2	1	2	1
HC660_RS01605	506	280	406	344	315	436	144	281	205	299	195	191
HC660_RS01610	183	104	181	167	114	194	148	139	140	141	124	181
HC660_RS01615	65	35	67	45	35	60	49	49	55	70	56	70
HC660_RS01620	191	150	375	209	146	171	219	144	366	330	164	186
HC660_RS01625	1026	295	795	1024	428	628	400	501	592	78	99	79
HC660_RS01630	3828	1317	3251	3721	2178	2938	1670	2084	2042	1114	484	280
HC660_RS01635	409	640	650	329	394	720	218	343	230	309	563	1796
HC660_RS01640	62	98	63	55	61	157	79	68	40	27	48	238
HC660_RS01645	80	189	87	82	101	175	161	92	46	110	99	268
HC660_RS01650	102	138	86	89	60	120	95	50	36	73	78	115
HC660_RS01655	4020	2097	3016	2235	2816	3739	1887	2586	2912	2275	2422	3825
HC660_RS01660	12361	8658	8336	6531	9488	13744	6210	8007	6112	4843	7449	12142
HC660_RS01665	11781	9088	7550	6109	10174	12669	7190	7270	5350	4482	7587	11608
HC660_RS01670	21287	17804	13349	10678	16870	21830	13760	12121	9478	8833	14071	20218
HC660_RS01675	3291	2061	2861	2074	3131	4396	1315	1864	1262	938	1958	3649
HC660_RS01680	3495	2690	3202	2384	3724	4897	1498	2048	1495	827	1902	4166
HC660_RS01685	2284	1860	1974	1643	2431	3314	1039	1207	989	470	933	2726
HC660_RS01690	1898	1556	1798	1410	2128	2569	792	1127	873	173	487	2207
HC660_RS01695	3517	1601	2647	2098	2759	3992	777	1914	1343	1331	1817	3507
HC660_RS01700	3333	2619	2305	2249	2856	3984	1163	1835	1098	1404	2475	3540
HC660_RS01705	258	211	127	167	203	327	335	178	217	78	121	269
HC660_RS01710	1230	840	870	1330	688	1560	874	821	736	1236	1178	922
HC660_RS01715	1234	714	881	1172	880	1716	872	988	810	1415	1011	960
HC660_RS01720	2433	1369	1607	2114	1748	3116	1660	1672	1379	2784	1387	1411
HC660_RS01725	504	389	665	594	519	638	368	364	424	296	209	278
HC660_RS01730	161	136	204	118	111	147	106	64	71	146	89	71
HC660_RS01735	79	65	95	80	52	87	105	54	107	51	34	66
HC660_RS01740	49669	14880	13040	16992	19877	21741	58225	39588	35942	34696	19719	10795
HC660_RS01745	51229	21182	16042	16692	15566	19300	102406	40175	40906	39881	20725	14897
HC660_RS01750	688	417	322	384	261	487	872	524	621	780	400	516
HC660_RS01755	108	87	70	93	50	85	147	81	113	176	63	94
HC660_RS01760	218	115	118	136	114	167	235	178	192	209	166	202
HC660_RS01765	119	69	82	87	54	130	142	83	114	135	99	114
HC660_RS01770	23	18	18	15	3	12	22	24	22	16	12	26
HC660_RS01775	1	4	3	0	0	0	5	5	3	3	2	4
HC660_RS01780	4860	1837	2904	4057	2000	2953	2691	1922	2984	2033	848	668
HC660_RS01785	24	15	40	21	14	20	12	16	21	35	8	10
HC660_RS01790	548	164	401	546	218	375	177	357	385	168	91	36
HC660_RS01795	86	91	60	88	45	71	74	36	79	47	42	56
HC660_RS01800	0	0	0	0	0	0	0	1	0	0	0	1
HC660_RS01805	11	7	14	7	3	8	5	15	12	8	3	12
HC660_RS01810	64	83	93	67	44	127	39	31	36	51	29	79
HC660_RS01815	31	39	48	45	37	90	35	31	20	41	14	39
HC660_RS01820	6050	2264	7180	3980	3638	4671	606	2383	3797	3010	2065	2485
HC660_RS01825	19802	13432	20449	16474	20245	23530	3576	9211	9281	10436	8615	8746
HC660_RS01830	2493	2754	3874	2048	2491	2890	1062	1207	1641	1540	1498	1759
HC660_RS01835	708	366	870	544	455	724	204	397	560	483	469	630
HC660_RS01840	153	96	134	132	119	158	92	100	134	124	134	185
HC660_RS01845	95	73	50	56	39	90	91	70	73	64	66	129
HC660_RS01850	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01855	93	112	71	54	64	104	66	52	44	20	29	108
HC660_RS01860	1043	831	672	643	647	948	2133	1172	1245	802	843	1014
HC660_RS01865	651	389	422	317	481	459	1079	812	893	685	506	442
HC660_RS01870	4235	1713	1977	1817	2340	2565	6147	4862	4766	2706	2654	2647
HC660_RS01875	55	32	31	20	58	62	71	52	42	24	39	59
HC660_RS01880	149	112	80	96	110	154	184	148	123	127	105	160
HC660_RS01885	38	50	16	17	26	57	52	28	43	3	12	23
HC660_RS01890	16	15	25	6	7	7	9	7	9	14	11	12
