Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS08730	1	1	15	1	5	2	3	3	11	23	4	3
HC660_RS08735	22457	7507	19054	13564	15360	19916	6316	12502	10061	6989	9321	11565
HC660_RS08740	28365	13121	20779	18387	22086	27451	10598	17053	12239	10501	14008	15469
HC660_RS08745	886	374	692	704	705	1134	234	610	541	272	812	1014
HC660_RS08750	3910	2219	2902	3609	3267	6831	1538	2932	2431	2863	3365	4996
HC660_RS08755	831	404	610	727	773	1634	352	817	474	542	525	1250
HC660_RS08760	907	727	883	739	873	1734	777	819	907	1178	1028	1370
HC660_RS08765	688	262	567	583	471	881	172	431	371	479	441	750
HC660_RS08770	4830	1624	3494	4032	4051	6959	772	3335	2407	3229	2823	4428
HC660_RS08775	4074	3002	2726	3149	3323	5384	2922	3176	2198	3219	2302	3498
HC660_RS08780	244	139	107	118	68	114	139	124	249	190	132	139
HC660_RS08785	950	597	294	466	243	516	426	420	267	462	484	702
HC660_RS08790	459	235	164	266	136	316	169	168	125	232	245	405
HC660_RS08795	2782	820	1560	1506	1346	2361	358	1377	1226	2215	1600	3152
HC660_RS08800	1978	875	1145	1163	1200	2043	481	917	871	1947	1148	2255
HC660_RS08805	1864	652	1082	1122	1239	1887	275	947	874	1796	1070	2156
HC660_RS08810	2814	761	1670	1956	1690	2805	473	1436	1394	2412	1498	3047
HC660_RS08815	899	300	557	693	528	930	148	420	397	574	382	945
HC660_RS08820	1156	339	725	829	613	1177	189	491	560	856	429	1211
HC660_RS08825	2082	617	1407	1422	1129	2151	334	968	917	2297	1055	2500
HC660_RS08830	535	202	362	400	321	583	99	241	236	600	289	559
HC660_RS08835	2111	1290	1287	1791	1729	2752	848	1046	907	1966	1031	2218
HC660_RS08840	340	161	231	311	263	467	110	158	146	245	132	413
HC660_RS08845	343	138	289	353	260	523	83	208	138	228	122	403
HC660_RS08850	1243	613	884	897	915	1693	470	629	482	933	525	1375
HC660_RS08855	837	350	598	599	556	844	282	348	295	787	275	862
HC660_RS08860	371	179	203	231	175	265	178	163	102	429	151	274
HC660_RS08865	438	190	272	242	248	314	242	246	155	708	327	462
HC660_RS08870	360	152	258	213	165	313	172	212	140	677	228	442
HC660_RS08875	169	55	123	86	87	148	78	74	69	269	100	183
HC660_RS08880	282	118	220	181	156	305	148	144	108	593	202	362
HC660_RS08885	208	110	208	155	139	252	114	119	111	745	168	356
HC660_RS08890	283	135	253	192	199	327	179	190	113	768	191	436
HC660_RS08895	209	68	153	111	95	134	93	84	70	474	119	207
HC660_RS08900	133	62	99	83	72	89	98	52	44	260	100	141
HC660_RS08905	147	63	149	130	117	158	85	75	41	347	98	186
HC660_RS08910	1411	336	1119	1078	1156	1568	504	674	363	2171	583	995
HC660_RS08915	495	100	309	345	381	433	177	283	109	647	217	300
HC660_RS08920	550	110	352	342	364	464	220	276	170	814	220	304
HC660_RS08925	436	56	281	319	291	379	109	259	131	628	158	286
HC660_RS08930	906	91	634	649	516	650	164	506	434	1496	430	464
HC660_RS08935	438	69	327	359	286	366	78	283	207	725	229	257
HC660_RS08940	17074	12373	6870	12522	7176	12645	20462	11942	19030	10708	8677	9147
HC660_RS08945	4671	4899	3526	4266	3324	6161	4898	3483	2494	6769	4043	4260
HC660_RS08950	1132	866	930	1181	682	1663	686	946	753	1097	839	1426
HC660_RS08955	1868	2297	1403	1724	1332	2763	2060	1380	1020	1767	1355	2229
HC660_RS08960	790	438	538	410	272	540	406	536	611	845	447	768
HC660_RS08965	474	427	441	289	207	418	506	359	561	718	382	562
HC660_RS08970	418	320	493	269	250	458	227	284	466	585	333	512
HC660_RS08975	2004	921	1661	1658	1250	2319	884	1451	1572	1871	1473	2017
HC660_RS08980	3408	2495	2735	2926	2626	5425	1767	2260	2175	3195	2329	4054
HC660_RS08985	3778	1747	2529	2650	2724	4021	1359	2219	2089	2640	2148	2974
HC660_RS08990	621	210	473	391	290	490	477	526	906	896	461	638
HC660_RS08995	3862	1257	2680	3095	2450	5212	1264	2928	2808	2795	2898	4550
HC660_RS09000	1171	285	839	823	714	1408	241	955	850	861	795	1402
HC660_RS09005	1374	312	997	786	734	1285	247	1019	928	1066	714	1586
HC660_RS09010	16588	5495	10874	11657	12165	20095	3609	12023	9550	11964	9090	14598
HC660_RS09015	2890	1678	1700	2022	2105	3087	1754	1993	2332	2031	1332	1748
HC660_RS09020	3883	2117	2334	2721	2803	4055	2586	2673	2693	2681	1869	2413
HC660_RS09025	278	151	261	231	157	292	98	192	122	253	123	139
HC660_RS09030	542	486	584	614	422	982	389	485	380	637	491	605
