Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS00005	1494	1480	1426	652	1521	783
HC660_RS00010	1117	1569	1198	1077	1509	830
HC660_RS00015	54	146	125	113	135	57
HC660_RS00020	602	1182	1875	969	2004	729
HC660_RS00025	121	264	481	196	399	144
HC660_RS00030	2021	3608	3904	3425	4870	2535
HC660_RS00035	2797	5341	5135	4578	7374	4410
HC660_RS00040	39	22	39	8	3	4
HC660_RS00045	1	0	0	0	6	1
HC660_RS00050	0	0	0	0	0	0
HC660_RS00055	57	8	26	3	1	4
HC660_RS00060	0	0	0	0	0	0
HC660_RS00065	38	21	15	3	34	14
HC660_RS00070	1530	2815	1894	2162	3694	2469
HC660_RS00075	2221	1488	930	1090	2310	1558
HC660_RS00080	1338	1954	1645	1273	1557	1167
HC660_RS00085	2528	3107	2608	2804	2569	2194
HC660_RS00090	943	777	506	1106	1855	550
HC660_RS00095	20	4	6	10	21	10
HC660_RS00100	266	141	107	139	333	146
HC660_RS00105	83	96	125	57	163	53
HC660_RS00110	304	558	512	135	267	485
HC660_RS00115	94	222	255	27	111	96
HC660_RS00120	7	3	13	2	8	1
HC660_RS00125	33093	4027	7762	17144	3298	17807
HC660_RS00130	628	697	866	311	557	399
HC660_RS00135	452	454	492	175	270	134
HC660_RS00140	394	384	358	264	565	232
HC660_RS00145	381	186	153	173	239	103
HC660_RS00150	29	27	33	12	23	14
HC660_RS00155	144	35	87	42	4	31
HC660_RS00160	0	0	0	0	0	0
HC660_RS00165	0	1	0	0	0	0
HC660_RS00170	13	10	10	1	0	0
HC660_RS00175	0	0	0	0	0	0
HC660_RS00180	11	2	1	1	4	5
HC660_RS00185	146	204	299	75	129	150
HC660_RS00190	460	663	647	180	487	430
HC660_RS00195	290	469	510	186	316	339
HC660_RS00200	163	241	374	134	246	149
HC660_RS00205	157	275	353	95	195	130
HC660_RS00210	360	622	608	253	360	355
HC660_RS00215	526	919	1230	397	787	538
HC660_RS00220	671	867	1175	416	776	505
HC660_RS00225	558	650	672	385	340	315
HC660_RS00230	117	127	135	86	132	69
HC660_RS00235	20	33	35	28	58	24
HC660_RS00240	286	249	235	145	274	172
HC660_RS00245	2833	1458	8145	192	1907	595
HC660_RS00250	1280	2124	1345	1690	2393	1663
HC660_RS00255	283	373	347	400	529	282
HC660_RS00260	428	331	633	199	956	294
HC660_RS00265	69	76	49	60	113	36
HC660_RS00270	407	327	198	225	432	272
HC660_RS00275	14	8	9	11	47	9
HC660_RS00280	4663	1793	7066	830	2595	778
HC660_RS00285	75	38	94	16	43	31
HC660_RS00290	431	385	552	253	487	309
HC660_RS00295	975	1032	1132	776	1183	685
HC660_RS00300	572	549	609	468	658	361
HC660_RS00305	1024	821	1856	2436	2182	608
HC660_RS00310	733	1288	960	762	2146	767
HC660_RS00315	756	1371	979	1098	2696	929
HC660_RS00320	13811	10927	15339	4677	9361	13072
HC660_RS00325	158	221	345	137	351	119
HC660_RS00330	101	134	153	56	196	47
HC660_RS00335	1585	2636	2366	2309	2904	2129
HC660_RS00340	214	303	266	298	498	199
HC660_RS00345	173	109	139	81	167	39
HC660_RS00350	362	671	563	578	910	351
HC660_RS00355	122	234	221	227	336	111
HC660_RS00360	185	254	248	218	379	137
HC660_RS00365	188	270	432	185	517	111
HC660_RS00370	404	433	641	221	546	187
HC660_RS00375	1329	873	1394	532	893	518
HC660_RS00380	0	0	0	0	0	0
HC660_RS00385	6	0	0	0	1	0
HC660_RS00390	69	79	62	29	82	21
HC660_RS00395	26	45	48	20	67	12
HC660_RS00400	10	4	7	4	18	4
HC660_RS00405	462	644	1287	422	887	403
HC660_RS00410	199	334	634	282	567	193
HC660_RS00415	12498	11428	10981	10421	12952	10349
HC660_RS00420	314	272	285	144	234	123
HC660_RS00425	872	598	552	301	538	245
HC660_RS00430	34	75	64	30	72	29
HC660_RS00435	903	874	749	892	2649	487
HC660_RS00440	271	392	547	210	301	220
HC660_RS00445	482	647	995	359	517	374
HC660_RS00450	211	405	520	192	288	242
HC660_RS00455	304	629	798	344	422	357
HC660_RS00460	173	474	501	233	217	305
HC660_RS00465	316	567	600	366	360	379
HC660_RS00470	90	191	223	123	130	144
HC660_RS00475	1601	2356	2642	1904	2355	1600
HC660_RS00480	939	1826	1431	2603	3506	1377
HC660_RS00485	9	7	12	4	0	1
HC660_RS00490	10328	2727	3610	541	28	289
HC660_RS00495	0	0	0	0	0	0
HC660_RS00500	5	0	3	0	0	0
HC660_RS00505	32	4	35	18	94	19
HC660_RS00510	26	5	10	29	99	26
HC660_RS00515	32	11	40	28	132	21
HC660_RS00520	22	13	43	30	72	28
HC660_RS00525	37	9	40	28	77	23
HC660_RS00530	3	1	12	9	7	11
HC660_RS00535	0	0	12	2	5	2
HC660_RS00540	50	15	90	19	64	14
HC660_RS00545	32	29	38	6	3	4
HC660_RS00550	7	5	18	0	0	1
HC660_RS00555	1	0	0	0	0	0
HC660_RS00560	523	797	2095	257	432	338
HC660_RS00565	480	1273	1676	321	467	887
HC660_RS00570	1250	4246	4572	1302	1759	3191
HC660_RS00575	14405	31246	26969	15683	9147	25977
HC660_RS00580	2003	5538	5513	2221	1342	3547
HC660_RS00585	1784	2924	2885	1300	985	1715
HC660_RS00590	4586	5666	4963	1161	1721	2906
HC660_RS00595	4254	3941	3451	1112	1253	2746
HC660_RS00600	90	117	143	71	183	62
HC660_RS00605	2008	2922	2267	3330	4761	2632
HC660_RS00610	98	133	108	95	149	54
HC660_RS00615	259	493	355	386	398	218
HC660_RS00620	70	174	91	86	102	49
HC660_RS00625	103	297	190	189	177	76
HC660_RS00630	104	209	150	107	137	41
HC660_RS00635	482	749	1188	265	662	202
HC660_RS00640	219	130	211	65	139	78
HC660_RS00645	702	259	343	81	254	104
HC660_RS00650	604	314	473	319	583	261
HC660_RS00655	17141	7313	8636	6952	17200	4532
HC660_RS00660	15339	9932	9325	8655	18464	9559
HC660_RS00665	9928	8928	10486	9711	23962	5446
HC660_RS00670	8047	6409	7331	7721	16932	4793
HC660_RS00675	269	333	239	470	849	272
HC660_RS00680	9923	19650	16626	18296	20888	16023
HC660_RS00685	17110	42179	34635	48913	42824	35433
HC660_RS00690	810	2367	2734	2484	7049	1511
HC660_RS00695	1928	5802	6234	6409	15511	3535
HC660_RS00700	4081	7817	7775	9465	19136	5871
HC660_RS00705	22800	56620	53613	66210	114466	44420
HC660_RS00710	51513	60480	48955	86581	113281	59291
HC660_RS00715	121	394	329	391	770	274
HC660_RS00720	5992	8181	10662	7446	13187	4245
HC660_RS00725	6858	15948	18726	14210	20017	10772
HC660_RS00730	4654	14419	15370	14247	18674	10520
HC660_RS00735	2896	8694	10390	7812	9693	6131
HC660_RS00740	10369	28360	32152	24641	32926	19349
HC660_RS00745	2982	9156	9523	7027	8109	5708
HC660_RS00750	3240	9859	9566	7320	8802	5651
HC660_RS00755	4866	19326	19210	15864	18376	13119
HC660_RS00760	2844	13150	12319	10004	10407	7965
HC660_RS00765	1353	6193	5757	4633	4202	3416
HC660_RS00770	2922	12624	11845	9999	9025	7115
HC660_RS00775	3793	13671	12264	10798	10525	7501
HC660_RS00780	1994	9338	8209	8196	7607	5534
HC660_RS00785	5817	24014	24175	17221	15176	13273
HC660_RS00790	1695	8541	8010	5163	4430	3753
HC660_RS00795	4066	13031	12667	9518	8812	7770
HC660_RS00800	4683	23207	23658	15400	12949	12867
HC660_RS00805	3172	14565	14430	9113	7918	7790
HC660_RS00810	5404	20091	21213	12402	9668	10264
HC660_RS00815	1946	8166	8306	4033	3151	3074
HC660_RS00820	5675	20744	20785	10473	8544	8506
HC660_RS00825	18383	43414	47067	20054	21162	19818
HC660_RS00830	5195	16905	19637	9768	12695	8122
HC660_RS00835	4644	17966	22319	12416	17207	8350
HC660_RS20940	1594	7512	8796	5070	6441	3305
HC660_RS00845	1098	4396	5829	3153	4316	2230
HC660_RS00850	441	1726	2172	1092	1264	795
HC660_RS00855	3384	12404	15942	8561	11306	6133
HC660_RS00860	4337	14298	15914	10522	11225	8624
HC660_RS00865	9482	32032	32908	23976	31567	22362
HC660_RS00870	5579	10694	10996	8354	9466	7890
HC660_RS00875	490	1053	1809	349	790	509
HC660_RS00880	840	1258	1932	389	887	625
HC660_RS00885	756	1077	1593	351	718	568
HC660_RS00890	1176	1830	3109	515	1422	794
HC660_RS00895	4036	5012	5418	3266	7692	2197
HC660_RS00900	6171	5898	5326	4480	7501	3972
HC660_RS00905	61	78	108	62	126	49
HC660_RS00910	0	0	2	1	1	0
HC660_RS00915	4	3	3	2	3	3
HC660_RS00920	2274	2859	3678	2553	2763	1523
HC660_RS00925	196	161	282	165	230	112
HC660_RS00930	228	254	273	282	163	152
HC660_RS00935	172	195	151	124	176	118
HC660_RS00940	22	16	15	3	0	2
HC660_RS00945	243	77	130	17	0	14
HC660_RS00950	4	3	1	0	0	0
HC660_RS00955	11	0	7	0	0	0
HC660_RS00960	60	4	19	13	26	31
HC660_RS00965	3	4	6	0	17	2
HC660_RS00970	2	0	1	2	5	4
HC660_RS00975	0	1	2	0	0	0
HC660_RS00980	7	2	8	3	6	0
HC660_RS00985	11	4	8	2	0	4
HC660_RS00990	22	10	14	3	0	1
HC660_RS00995	0	0	0	0	0	0
HC660_RS01000	12	5	18	2	0	2
HC660_RS01005	22	16	9	0	0	1
HC660_RS01010	60	13	11	0	0	0
HC660_RS01015	494	355	357	106	121	174
HC660_RS01020	198	100	153	87	129	93
HC660_RS01025	77	61	65	230	873	81
HC660_RS01030	123	103	77	317	965	172
HC660_RS01035	115	115	123	260	896	132
HC660_RS01040	648	525	400	1584	3516	790
HC660_RS01045	38	122	114	120	292	110
HC660_RS01050	59	88	83	92	65	66
HC660_RS01055	51	123	110	124	54	100
HC660_RS01060	26	50	60	48	40	37
HC660_RS01065	48	51	63	58	54	37
HC660_RS01070	28	31	40	27	15	9
HC660_RS01075	44	45	88	70	47	48
HC660_RS01080	1	5	12	8	3	2
HC660_RS01085	25	13	11	21	30	15
HC660_RS01090	0	0	0	0	0	1
HC660_RS01095	4	0	1	1	9	4
HC660_RS01100	4	3	3	5	0	5
HC660_RS01105	2	0	0	1	2	4
HC660_RS01110	0	0	0	0	0	0
HC660_RS01115	23352	21901	11486	8812	6831	11801
HC660_RS01120	20095	18544	9933	7686	6512	11258
HC660_RS01125	298	307	386	206	363	186
HC660_RS01130	981	1155	1102	833	1257	825
HC660_RS01135	1304	1210	1095	1437	1928	873
HC660_RS01140	3633	4216	6905	5439	6981	3110
HC660_RS21260	0	0	0	0	0	0
HC660_RS01150	0	0	0	0	0	0
HC660_RS01155	0	0	0	0	0	0
HC660_RS01160	0	0	0	0	0	0
HC660_RS01165	32	27	54	11	24	10
HC660_RS01170	35	72	43	33	89	51
HC660_RS01175	18	23	18	14	16	17
HC660_RS01180	6	5	9	18	16	4
HC660_RS01185	23	21	13	10	15	13
HC660_RS01190	1	0	0	0	0	0
HC660_RS01195	28	2	9	4	32	15
HC660_RS01200	23	17	25	7	6	12
HC660_RS21310	0	3	1	0	4	2
HC660_RS01205	14	32	23	12	27	4
HC660_RS01210	16	24	36	5	29	7
HC660_RS01215	28	40	73	33	74	25
HC660_RS01220	44	43	63	36	59	26
HC660_RS01225	54	57	108	40	70	47
HC660_RS01230	0	0	0	0	0	0
HC660_RS01235	1	3	1	0	1	0
HC660_RS01240	467	318	262	187	294	187
HC660_RS01245	6	4	7	0	1	1
HC660_RS01250	8	4	5	1	0	1
HC660_RS01255	117	194	111	183	185	108
HC660_RS01260	701	673	710	29	19	84
HC660_RS01265	563	852	2370	174	519	236
HC660_RS01270	1267	799	963	380	624	576
HC660_RS01275	0	0	0	0	0	0
HC660_RS01280	1226	1944	892	2152	374	1510
HC660_RS01285	1449	1664	672	1446	286	1310
HC660_RS01290	2	1	4	3	2	1
HC660_RS01295	35	29	36	10	13	7
HC660_RS01300	48	34	56	22	51	11
HC660_RS01305	0	0	0	0	0	0
HC660_RS01310	0	0	0	0	0	0
HC660_RS01315	96	70	103	94	153	102
HC660_RS01320	253	215	197	332	324	151
HC660_RS01325	171	264	726	152	233	141
HC660_RS01330	71	135	355	83	121	53
HC660_RS01335	118	181	408	73	255	59
HC660_RS01340	360	201	244	193	284	178
HC660_RS01345	447	209	141	131	224	159
HC660_RS01350	608	282	216	207	507	195
HC660_RS01355	4	10	13	12	27	3
HC660_RS01360	6665	11763	6977	3677	3306	6648
HC660_RS01365	72	85	50	50	87	29
HC660_RS01370	2442	1365	1615	984	1463	1036
HC660_RS01375	162	145	152	133	64	105
HC660_RS01380	456	260	183	122	206	160
HC660_RS01385	338	283	249	207	221	146
HC660_RS01390	79	83	97	28	55	36
HC660_RS01395	43	24	32	23	29	22
HC660_RS01400	177	166	233	82	163	56
HC660_RS01405	52	27	52	33	115	14
HC660_RS01410	88	60	60	34	124	69
HC660_RS01415	11	12	20	3	6	9
HC660_RS01420	10	4	3	1	1	3
HC660_RS01425	115	107	111	19	50	60
HC660_RS01430	106	174	186	95	114	77
HC660_RS01435	8	19	21	5	0	4
HC660_RS01440	35	29	46	28	14	27
HC660_RS01445	25	6	17	13	15	18
HC660_RS01450	15	15	18	4	13	4
