Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS00005	1494	1480	1426	2221	2126	2239	1381	2634	1520	2284	2182	1666
HC660_RS00010	1117	1569	1198	2018	1470	1524	1871	3360	1270	1594	2489	1084
HC660_RS00015	54	146	125	111	43	73	110	279	70	67	196	49
HC660_RS00020	602	1182	1875	1317	847	858	1124	2433	717	569	1663	459
HC660_RS00025	121	264	481	345	169	190	261	613	139	177	395	132
HC660_RS00030	2021	3608	3904	4460	3240	3271	4672	8414	3177	2599	5493	2283
HC660_RS00035	2797	5341	5135	6028	5188	5407	6787	12256	5087	4468	7442	4155
HC660_RS00040	39	22	39	15	19	36	23	32	47	24	22	40
HC660_RS00045	1	0	0	1	3	6	0	1	2	3	1	1
HC660_RS00050	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00055	57	8	26	7	30	53	35	39	54	32	46	43
HC660_RS00060	0	0	0	0	0	0	0	0	1	0	0	0
HC660_RS00065	38	21	15	15	38	53	24	24	57	51	11	37
HC660_RS00070	1530	2815	1894	3909	2035	1962	2719	5508	1617	1867	2990	1825
HC660_RS00075	2221	1488	930	1711	1779	2028	1626	3449	1769	3186	2492	1880
HC660_RS00080	1338	1954	1645	1896	1234	1446	1803	3100	1543	1183	2236	1326
HC660_RS00085	2528	3107	2608	2916	2533	2611	3267	5498	3109	2707	3771	2749
HC660_RS00090	943	777	506	919	1144	1168	973	1846	1358	944	774	1171
HC660_RS00095	20	4	6	6	18	12	8	5	21	14	3	36
HC660_RS00100	266	141	107	301	337	390	187	332	313	306	178	256
HC660_RS00105	83	96	125	126	132	133	35	149	105	80	93	95
HC660_RS00110	304	558	512	606	251	498	459	640	436	244	543	304
HC660_RS00115	94	222	255	231	152	189	111	150	149	143	166	166
HC660_RS00120	7	3	13	14	16	11	3	11	20	12	3	4
HC660_RS00125	33093	4027	7762	4297	28501	27277	13969	3423	60231	29504	2882	38819
HC660_RS00130	628	697	866	934	641	788	653	1256	582	705	1100	612
HC660_RS00135	452	454	492	665	760	705	325	692	365	572	690	559
HC660_RS00140	394	384	358	572	541	733	557	1192	523	623	754	469
HC660_RS00145	381	186	153	240	326	400	229	411	360	359	249	333
HC660_RS00150	29	27	33	29	25	38	28	52	22	31	61	31
HC660_RS00155	144	35	87	49	69	96	104	115	168	83	87	65
HC660_RS00160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00165	0	1	0	0	0	0	0	0	0	0	0	0
HC660_RS00170	13	10	10	9	15	18	14	16	25	9	18	23
HC660_RS00175	0	0	0	0	0	0	0	0	2	0	0	0
HC660_RS00180	11	2	1	1	8	4	0	2	10	7	3	4
HC660_RS00185	146	204	299	135	316	287	69	165	218	171	199	264
HC660_RS00190	460	663	647	530	584	716	271	588	543	633	816	658
HC660_RS00195	290	469	510	469	256	275	370	777	376	423	875	244
HC660_RS00200	163	241	374	296	206	211	226	435	212	259	490	189
HC660_RS00205	157	275	353	380	308	329	226	418	232	256	404	231
HC660_RS00210	360	622	608	746	523	641	528	926	491	454	766	535
HC660_RS00215	526	919	1230	1247	843	871	796	1385	614	855	1264	669
HC660_RS00220	671	867	1175	1137	1116	1136	914	1501	874	984	1385	877
HC660_RS00225	558	650	672	901	1121	1058	692	1131	753	773	799	705
HC660_RS00230	117	127	135	126	105	124	165	345	148	152	225	85
HC660_RS00235	20	33	35	48	28	27	58	105	42	26	58	21
HC660_RS00240	286	249	235	276	245	315	348	689	302	348	513	241
HC660_RS00245	2833	1458	8145	2814	6248	5425	308	1094	2516	2391	916	2911
HC660_RS00250	1280	2124	1345	2446	1936	1831	2101	3677	1680	1681	2376	1816
HC660_RS00255	283	373	347	431	372	412	425	611	392	334	480	349
HC660_RS00260	428	331	633	480	744	761	213	575	503	550	343	445
HC660_RS00265	69	76	49	91	89	110	71	152	73	68	88	60
HC660_RS00270	407	327	198	373	490	576	365	782	451	560	441	335
HC660_RS00275	14	8	9	19	20	17	19	33	20	15	14	15
HC660_RS00280	4663	1793	7066	2828	5950	4509	803	1285	2914	3733	770	4193
HC660_RS00285	75	38	94	70	85	72	23	43	78	99	35	90
