"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1799.24981703161,-0.0163815367805653,0.205648873269353,0.893791688231444,0.967037059260632
"HC660_RS00010",1504.08032631782,0.13289518276088,0.202551902884129,0.331565876048288,0.649886239129479
"HC660_RS00015",191.578424433865,0.135199144557137,0.216747746083892,0.326487633151395,0.646125190942373
"HC660_RS00020",2342.33391348578,0.0103596276905211,0.171687515609993,0.907121081052411,0.96846323163448
"HC660_RS00025",517.512434518121,0.112557093605452,0.208416312954486,0.405770695644433,0.709559198914265
"HC660_RS00030",6457.67099786867,0.14385611958226,0.185613147193352,0.292127768728497,0.61048569192646
"HC660_RS00035",9147.88494096422,0.0880328197685655,0.194497277418473,0.509089402037045,0.781506390573889
"HC660_RS00040",19.5815332112272,0.0167056915153795,0.257554056557701,NA,NA
"HC660_RS00065",20.6720166659649,0.0278593109921732,0.246592683031808,0.735800547554016,NA
"HC660_RS00070",4473.96936811894,-0.0877792048437344,0.215309204096653,0.508252509567946,0.781236291454167
"HC660_RS00075",1798.75689614723,0.512153704668676,0.531103179075616,0.0217903233401979,0.169964522053544
"HC660_RS00080",1749.25140130171,-0.0151415249766074,0.207258378865625,0.899341403048471,0.96846323163448
"HC660_RS00085",3065.98749303263,-0.00421436771878952,0.208202864268294,0.969526568478533,0.988711546512031
"HC660_RS00090",2345.44804946145,0.10921560829065,0.228733552298303,0.401136418538892,0.707361643577434
"HC660_RS00095",35.1556921649612,0.136912087290009,0.261012330216929,0.267097836786841,0.587086334323552
"HC660_RS00100",433.374023329737,-0.00782803393189564,0.176800886783595,0.950613202232495,0.981950030092932
"HC660_RS00105",287.495564545994,-0.065407338937591,0.194291612797506,0.617882387094371,0.84357022290904
"HC660_RS00110",94.0104620387528,-0.185813071298494,0.279967426387303,0.171061259247011,0.480469051370726
"HC660_RS00115",48.0533019528355,-0.337747062156209,0.484898691965044,0.0371594658194876,0.222033578374826
"HC660_RS00120",8.58691595443295,0.0650101089133778,0.256522136054238,0.418320908670076,NA
"HC660_RS00125",6593.46570541897,-0.00781298394536894,0.238182583073779,0.937531719361808,0.977852020989584
"HC660_RS00130",700.671616202713,-0.0345163599505047,0.184100591371295,0.789667175841467,0.926414418487184
"HC660_RS00135",298.254717975049,0.064396640200359,0.213708349055321,0.612882753354179,0.842462160383507
"HC660_RS00140",647.655749158395,0.183443495407594,0.204016099100418,0.198197107308629,0.513684371276077
"HC660_RS00145",302.68715385501,0.306095697850668,0.219436173464351,0.0508580964639089,0.254378624601111
"HC660_RS00150",22.9443736618674,0.0839674786467673,0.253646044845922,0.398297109908327,NA
"HC660_RS00155",102.032164119219,-0.00777503009146448,0.256523598956581,NA,NA
"HC660_RS00180",5.88547813280278,-0.046029756188601,0.259369121343642,0.386429339780404,NA
"HC660_RS00185",186.531633251957,-0.397810214644993,0.535706317938424,0.0299586208645213,0.199017036847728
"HC660_RS00190",362.272697692129,-0.340904832858988,0.42145996277465,0.0468608946192646,0.241456770713606
"HC660_RS00195",267.647634434062,-0.365653187993733,0.274542910134065,0.0371412744277501,0.222033578374826
"HC660_RS00200",201.867678307396,-0.211440410118759,0.239965703660799,0.156248330831525,0.456012259689265
"HC660_RS00205",270.846985913767,-0.435888021658579,0.280007027605466,0.0178827986437479,0.153600466922191
"HC660_RS00210",412.650157707508,-0.255717287077215,0.290108688718452,0.103505504926719,0.365167380126207
"HC660_RS00215",885.351159437882,-0.272096940160243,0.21006821689268,0.0703653232307746,0.300858274021252
"HC660_RS00220",863.322495742282,-0.105110040980375,0.164622780264055,0.410474805201362,0.713170880235393
"HC660_RS00225",494.101827827034,-0.0982344192611891,0.216083041821946,0.453948679232735,0.741843651339565
"HC660_RS00230",133.239250940565,0.141528699870509,0.233762700322977,0.299672401213343,0.620412159183434
"HC660_RS00235",45.7605491883959,0.0181063481749281,0.215922207164944,0.881463047517446,0.963535641027421
"HC660_RS00240",235.51348154037,0.339301520056357,0.255975002884531,0.04423989186643,0.238202104340517
"HC660_RS00245",5978.92368510723,-0.580373075111595,0.374383148043546,0.0101598323667449,0.114220137572465
"HC660_RS00250",2183.66296694267,-0.0379153818136402,0.212825761598355,0.757193457557907,0.914551563109741
"HC660_RS00255",357.289048886058,0.2240872255281,0.234655187010383,0.135985240510791,0.422447151898971
"HC660_RS00260",854.00398604475,-0.091431246004888,0.226341822332731,0.471527364008397,0.758121433163361
"HC660_RS00265",173.891100440823,-0.00564569208758305,0.199682047759885,0.962906627213938,0.98687658846426
"HC660_RS00270",595.352366916068,0.197469918520991,0.260683611534048,0.171110786403897,0.480469051370726
"HC660_RS00275",52.3940275298323,0.162065391860555,0.25881364644293,0.229602680803277,0.546869525419186
"HC660_RS00280",2588.46268486598,-0.113645054521408,0.239505110468154,0.364033016795559,0.674325601073159
"HC660_RS00285",42.8266468218298,0.118117036522279,0.251525337138408,0.325352079054195,0.646125190942373
"HC660_RS00290",493.557216863931,0.150199490998393,0.201948063766025,0.28195531956897,0.598905370644704
"HC660_RS00295",1587.71672983959,0.0283984306782261,0.180919840946993,0.834680571803197,0.947396883181121
