"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1799.24981703161,0.0635975294106143,0.185364391871444,0.508080948586049,0.832095560638077
"HC660_RS00010",1504.08032631782,0.0876522190618798,0.176256860001711,0.407489346511663,0.770954958021608
"HC660_RS00015",191.578424433865,0.0761235643362869,0.181177953517114,0.45475363656906,0.798935770331984
"HC660_RS00020",2342.33391348578,0.0538746648825107,0.157768960535708,0.620159066300853,0.895223344766789
"HC660_RS00025",517.512434518121,0.162975482595977,0.217522715285969,0.160497832515689,0.536434357423243
"HC660_RS00030",6457.67099786867,0.123984115984144,0.17323965370591,0.27287989490944,0.650678575326548
"HC660_RS00035",9147.88494096422,0.127295872353482,0.191544692821021,0.233849692448303,0.622067216559013
"HC660_RS00040",19.5815332112272,-0.0199803243813565,0.207573914382828,NA,NA
"HC660_RS00065",20.6720166659649,-0.0652985951378504,0.214307130050956,0.231535068012042,NA
"HC660_RS00070",4473.96936811894,0.287985276718411,0.332126042378563,0.042889154673547,0.318164336933759
"HC660_RS00075",1798.75689614723,0.673950490739572,0.613323718810191,0.00824600670726847,0.177327676947895
"HC660_RS00080",1749.25140130171,0.0907602502452566,0.196162926879265,0.354734085854908,0.721062837060196
"HC660_RS00085",3065.98749303263,0.0055797232794965,0.178193365584418,0.956449212700171,0.992711877244139
"HC660_RS00090",2345.44804946145,0.0887236309998012,0.198317748358322,0.353551680364656,0.721062837060196
"HC660_RS00095",35.1556921649612,0.0066988612902824,0.188654461879322,0.932178379054282,NA
"HC660_RS00100",433.374023329737,0.394690181860027,0.258825631122437,0.0151340970429311,0.221933409473298
"HC660_RS00105",287.495564545994,0.115905438540199,0.189533428146881,0.287976076775451,0.668056363885381
"HC660_RS00110",94.0104620387528,-0.105922644979633,0.214785777722395,0.243199159211594,0.632992521540052
"HC660_RS00115",48.0533019528355,-0.0202072254483992,0.192668236878824,0.778701369962791,NA
"HC660_RS00120",8.58691595443295,-0.00496316012974478,0.200323389244102,0.919422113742265,NA
"HC660_RS00125",6593.46570541897,-1.73875970241988,0.69193576059373,0.000356861040148079,0.0432177501779331
"HC660_RS00130",700.671616202713,0.0918450460911769,0.175416116192441,0.422401838839146,0.784460557844129
"HC660_RS00135",298.254717975049,0.340385829044832,0.384067018634659,0.031090289272111,0.286524317375801
"HC660_RS00140",647.655749158395,0.410904176991543,0.263767609230394,0.0133621444924499,0.212922087435353
"HC660_RS00145",302.68715385501,0.353318086626488,0.238284972948745,0.0206080529714462,0.246982591744342
"HC660_RS00150",22.9443736618674,0.0563325736098088,0.205260145289866,0.400796627393599,NA
"HC660_RS00155",102.032164119219,-0.0278836847404869,0.209007175046407,NA,NA
"HC660_RS00180",5.88547813280278,-0.0492720276182456,0.213254238065126,0.134081224846802,NA
"HC660_RS00185",186.531633251957,0.00487182408474492,0.190250689711526,0.951540146712908,0.991168663215596
"HC660_RS00190",362.272697692129,0.0252071107358426,0.188721392697121,0.775504821796923,0.937204093988823
"HC660_RS00195",267.647634434062,-0.0208877531609488,0.165381599610004,0.834167854255673,0.954023401843225
"HC660_RS00200",201.867678307396,0.0357980801421287,0.170515442822457,0.72087062241043,0.919979646237604
