timepoint,pathway,dose,1g,SMG,rewrite,max_abs,dose_f
10 h,Carbon metabolism,6.5,-5.084200110521805,-2.268278768516078,2.815921342005727,4.607706738845485,6.5 Gy
10 h,Carbon metabolism,13,-2.411042701860513,-2.0961844368486173,0.3148582650118956,4.607706738845485,13 Gy
10 h,Carbon metabolism,19.5,-1.17743939065297,1.13966554205434,2.31710493270731,4.607706738845485,19.5 Gy
3 h,Carbon metabolism,13,0,-1.9698718876932042,-1.9698718876932042,4.607706738845485,13 Gy
3 h,Carbon metabolism,19.5,0,-4.607706738845485,-4.607706738845485,4.607706738845485,19.5 Gy
10 h,Inositol phosphate metabolism,6.5,0,-1.5890266310551984,-1.5890266310551984,4.493029212174912,6.5 Gy
10 h,Inositol phosphate metabolism,19.5,1.7093861580021013,0,-1.7093861580021013,4.493029212174912,19.5 Gy
3 h,Inositol phosphate metabolism,6.5,0,-2.5988287551011617,-2.5988287551011617,4.493029212174912,6.5 Gy
