timepoint,condition,dose,contrast,path,pathway,k,n_sig,up_n,down_n,signed_sum,mean_lfc,score_norm
10 h,SMG,19.5,SMG_19.5,ko04978,Mineral absorption,1,1,0,1,-1.27789240981267,-1.27789240981267,-1.27789240981267
3 h,1g,6.5,1g_6.5,ko00250,"Alanine, aspartate and glutamate metabolism",1,1,1,0,1.3123158525067,1.3123158525067,1.3123158525067
3 h,1g,6.5,1g_6.5,ko00910,Nitrogen metabolism,1,1,1,0,1.3123158525067,1.3123158525067,1.3123158525067
3 h,1g,6.5,1g_6.5,ko01100,Metabolic pathways,1,1,1,0,1.3123158525067,1.3123158525067,1.3123158525067
3 h,1g,6.5,1g_6.5,ko01110,Biosynthesis of secondary metabolites,1,1,1,0,1.3123158525067,1.3123158525067,1.3123158525067
3 h,1g,6.5,1g_6.5,ko01120,Microbial metabolism in diverse environments,1,1,1,0,1.3123158525067,1.3123158525067,1.3123158525067
3 h,1g,6.5,1g_6.5,ko01230,Biosynthesis of amino acids,1,1,1,0,1.3123158525067,1.3123158525067,1.3123158525067
3 h,SMG,0,SMG_0,ko00380,Tryptophan metabolism,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko00630,Glyoxylate and dicarboxylate metabolism,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko01100,Metabolic pathways,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko01110,Biosynthesis of secondary metabolites,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko01200,Carbon metabolism,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko02040,Flagellar assembly,2,2,2,0,3.08566771970468,1.54283385985234,2.18189656909161
3 h,SMG,0,SMG_0,ko04011,MAPK signaling pathway,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko04016,MAPK signaling pathway,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko04068,FoxO signaling pathway,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko04146,Peroxisome,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko04211,Longevity regulating pathway,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko04212,Longevity regulating pathway,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko04213,Longevity regulating pathway,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko05014,Amyotrophic lateral sclerosis,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko05022,Pathways of neurodegeneration,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,0,SMG_0,ko05208,Chemical carcinogenesis,1,1,0,1,-2.04927575606618,-2.04927575606618,-2.04927575606618
3 h,SMG,6.5,SMG_6.5,ko00010,Glycolysis / Gluconeogenesis,1,1,0,1,-1.23283871967947,-1.23283871967947,-1.23283871967947
3 h,SMG,6.5,SMG_6.5,ko00500,Starch and sucrose metabolism,3,3,0,3,-3.7215488597965,-1.2405162865988333,-2.1486372360058543
3 h,SMG,6.5,SMG_6.5,ko00521,Streptomycin biosynthesis,1,1,0,1,-2.04303737980639,-2.04303737980639,-2.04303737980639
3 h,SMG,6.5,SMG_6.5,ko00562,Inositol phosphate metabolism,2,2,0,2,-3.67529887174925,-1.837649435874625,-2.5988287551011617
3 h,SMG,6.5,SMG_6.5,ko01100,Metabolic pathways,2,2,0,2,-3.67529887174925,-1.837649435874625,-2.5988287551011617
3 h,SMG,6.5,SMG_6.5,ko01110,Biosynthesis of secondary metabolites,1,1,0,1,-2.04303737980639,-2.04303737980639,-2.04303737980639
3 h,SMG,6.5,SMG_6.5,ko01120,Microbial metabolism in diverse environments,2,2,0,2,-3.67529887174925,-1.837649435874625,-2.5988287551011617
3 h,SMG,6.5,SMG_6.5,ko02020,Two-component system,1,1,0,1,-1.78669165244154,-1.78669165244154,-1.78669165244154
3 h,SMG,6.5,SMG_6.5,ko02060,Phosphotransferase system (PTS),2,2,0,2,-2.48871014011703,-1.244355070058515,-1.7597838164844748
3 h,SMG,13,SMG_13,ko00030,Pentose phosphate pathway,1,1,0,1,-1.52449973979025,-1.52449973979025,-1.52449973979025
3 h,SMG,13,SMG_13,ko00053,Ascorbate and aldarate metabolism,1,1,0,1,-1.52449973979025,-1.52449973979025,-1.52449973979025
3 h,SMG,13,SMG_13,ko00380,Tryptophan metabolism,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,1,0,1.03465440592958,1.03465440592958,1.03465440592958
3 h,SMG,13,SMG_13,ko00521,Streptomycin biosynthesis,1,1,0,1,-1.07037384418486,-1.07037384418486,-1.07037384418486
3 h,SMG,13,SMG_13,ko00552,Teichoic acid biosynthesis,1,1,0,1,-1.20577855994356,-1.20577855994356,-1.20577855994356
3 h,SMG,13,SMG_13,ko00562,Inositol phosphate metabolism,1,1,0,1,-1.07037384418486,-1.07037384418486,-1.07037384418486
3 h,SMG,13,SMG_13,ko00630,Glyoxylate and dicarboxylate metabolism,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko00760,Nicotinate and nicotinamide metabolism,1,1,0,1,-1.17177363633038,-1.17177363633038,-1.17177363633038
3 h,SMG,13,SMG_13,ko00930,Caprolactam degradation,1,1,0,1,-1.52449973979025,-1.52449973979025,-1.52449973979025
3 h,SMG,13,SMG_13,ko00999,Biosynthesis of various plant secondary metabolites,1,1,1,0,1.03465440592958,1.03465440592958,1.03465440592958
3 h,SMG,13,SMG_13,ko01100,Metabolic pathways,5,5,1,4,-3.9933126142988797,-0.798662522859776,-1.7858636921959388
3 h,SMG,13,SMG_13,ko01110,Biosynthesis of secondary metabolites,4,4,1,3,-2.8215389779685003,-0.7053847444921251,-1.4107694889842501
3 h,SMG,13,SMG_13,ko01120,Microbial metabolism in diverse environments,2,2,0,2,-2.59487358397511,-1.297436791987555,-1.8348527075506402
3 h,SMG,13,SMG_13,ko01200,Carbon metabolism,2,2,0,2,-2.78581953971322,-1.39290976985661,-1.9698718876932042
3 h,SMG,13,SMG_13,ko01220,Degradation of aromatic compounds,1,1,0,1,-1.52449973979025,-1.52449973979025,-1.52449973979025
3 h,SMG,13,SMG_13,ko01230,Biosynthesis of amino acids,1,1,1,0,1.03465440592958,1.03465440592958,1.03465440592958
3 h,SMG,13,SMG_13,ko01240,Biosynthesis of cofactors,2,2,0,2,-2.69627337612063,-1.348136688060315,-1.9065531881876439
3 h,SMG,13,SMG_13,ko02010,ABC transporters,2,2,2,0,2.15266215007263,1.076331075036315,1.5221620039199701
3 h,SMG,13,SMG_13,ko02020,Two-component system,1,1,1,0,1.02227134711005,1.02227134711005,1.02227134711005
3 h,SMG,13,SMG_13,ko02024,Quorum sensing,1,1,0,1,-1.17479500314876,-1.17479500314876,-1.17479500314876
3 h,SMG,13,SMG_13,ko03010,Ribosome,1,1,0,1,-1.56324795363163,-1.56324795363163,-1.56324795363163
3 h,SMG,13,SMG_13,ko04011,MAPK signaling pathway,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04016,MAPK signaling pathway,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04068,FoxO signaling pathway,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04146,Peroxisome,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04211,Longevity regulating pathway,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04212,Longevity regulating pathway,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04213,Longevity regulating pathway,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko04621,NOD-like receptor signaling pathway,1,1,0,1,-1.16021792641267,-1.16021792641267,-1.16021792641267
3 h,SMG,13,SMG_13,ko04978,Mineral absorption,1,1,0,1,-1.0144586439994,-1.0144586439994,-1.0144586439994
3 h,SMG,13,SMG_13,ko05012,Parkinson disease,1,1,0,1,-1.16021792641267,-1.16021792641267,-1.16021792641267
3 h,SMG,13,SMG_13,ko05014,Amyotrophic lateral sclerosis,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko05022,Pathways of neurodegeneration,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko05132,Salmonella infection,1,1,0,1,-1.16021792641267,-1.16021792641267,-1.16021792641267
3 h,SMG,13,SMG_13,ko05208,Chemical carcinogenesis,1,1,0,1,-1.26131979992297,-1.26131979992297,-1.26131979992297
3 h,SMG,13,SMG_13,ko05418,Fluid shear stress and atherosclerosis,1,1,0,1,-1.16021792641267,-1.16021792641267,-1.16021792641267
3 h,SMG,19.5,SMG_19.5,ko00010,Glycolysis / Gluconeogenesis,1,1,0,1,-3.22112108033284,-3.22112108033284,-3.22112108033284
3 h,SMG,19.5,SMG_19.5,ko00020,Citrate cycle (TCA cycle),4,4,0,4,-6.59795885241166,-1.649489713102915,-3.29897942620583
3 h,SMG,19.5,SMG_19.5,ko00051,Fructose and mannose metabolism,1,1,0,1,-2.14271179988087,-2.14271179988087,-2.14271179988087
3 h,SMG,19.5,SMG_19.5,ko00061,Fatty acid biosynthesis,2,2,2,0,2.34779785962694,1.17389892981347,1.6601437873974714
3 h,SMG,19.5,SMG_19.5,ko00190,Oxidative phosphorylation,2,2,0,2,-2.25161323923047,-1.125806619615235,-1.5921309900692733
3 h,SMG,19.5,SMG_19.5,ko00220,Arginine biosynthesis,1,1,0,1,-2.04664624392478,-2.04664624392478,-2.04664624392478
3 h,SMG,19.5,SMG_19.5,ko00230,Purine metabolism,3,3,0,3,-4.70383161442659,-1.56794387147553,-2.715758448811864
3 h,SMG,19.5,SMG_19.5,ko00250,"Alanine, aspartate and glutamate metabolism",3,3,0,3,-4.62103775096628,-1.5403459169887599,-2.6679573894558044
3 h,SMG,19.5,SMG_19.5,ko00260,"Glycine, serine and threonine metabolism",4,4,0,4,-6.229423025269501,-1.557355756317375,-3.1147115126347504
3 h,SMG,19.5,SMG_19.5,ko00261,Monobactam biosynthesis,1,1,0,1,-1.64833986746544,-1.64833986746544,-1.64833986746544
3 h,SMG,19.5,SMG_19.5,ko00270,Cysteine and methionine metabolism,1,1,0,1,-1.40137331791358,-1.40137331791358,-1.40137331791358
3 h,SMG,19.5,SMG_19.5,ko00330,Arginine and proline metabolism,1,1,0,1,-1.33376727447883,-1.33376727447883,-1.33376727447883
3 h,SMG,19.5,SMG_19.5,ko00333,Prodigiosin biosynthesis,1,1,1,0,1.20729769303873,1.20729769303873,1.20729769303873
3 h,SMG,19.5,SMG_19.5,ko00430,Taurine and hypotaurine metabolism,2,2,0,2,-3.28727047648745,-1.643635238243725,-2.324451245518609
3 h,SMG,19.5,SMG_19.5,ko00450,Selenocompound metabolism,1,1,0,1,-1.64833986746544,-1.64833986746544,-1.64833986746544
3 h,SMG,19.5,SMG_19.5,ko00500,Starch and sucrose metabolism,2,2,0,2,-2.25096877217613,-1.125484386088065,-1.5916752830448981
3 h,SMG,19.5,SMG_19.5,ko00520,Amino sugar and nucleotide sugar metabolism,1,1,0,1,-1.07824093061456,-1.07824093061456,-1.07824093061456
3 h,SMG,19.5,SMG_19.5,ko00521,Streptomycin biosynthesis,1,1,0,1,-2.33263456044301,-2.33263456044301,-2.33263456044301
3 h,SMG,19.5,SMG_19.5,ko00562,Inositol phosphate metabolism,6,6,0,6,-11.00562896924763,-1.834271494874605,-4.493029212174912
3 h,SMG,19.5,SMG_19.5,ko00620,Pyruvate metabolism,1,1,0,1,-3.22112108033284,-3.22112108033284,-3.22112108033284
3 h,SMG,19.5,SMG_19.5,ko00630,Glyoxylate and dicarboxylate metabolism,2,2,0,2,-2.32955156658149,-1.164775783290745,-1.6472417098535166
3 h,SMG,19.5,SMG_19.5,ko00640,Propanoate metabolism,1,1,0,1,-1.12522453284835,-1.12522453284835,-1.12522453284835
3 h,SMG,19.5,SMG_19.5,ko00650,Butanoate metabolism,2,2,0,2,-2.25161323923047,-1.125806619615235,-1.5921309900692733
3 h,SMG,19.5,SMG_19.5,ko00660,C5-Branched dibasic acid metabolism,1,1,0,1,-1.12522453284835,-1.12522453284835,-1.12522453284835
3 h,SMG,19.5,SMG_19.5,ko00670,One carbon pool by folate,2,2,0,2,-2.50169096631318,-1.25084548315659,-1.7689626467131763
3 h,SMG,19.5,SMG_19.5,ko00680,Methane metabolism,2,2,0,2,-4.49256964449033,-2.246284822245165,-3.176726460571949
3 h,SMG,19.5,SMG_19.5,ko00710,Carbon fixation by Calvin cycle,1,1,0,1,-3.22112108033284,-3.22112108033284,-3.22112108033284
3 h,SMG,19.5,SMG_19.5,ko00720,Other carbon fixation pathways,3,3,0,3,-3.37683777207882,-1.12561259069294,-1.949618196719403
3 h,SMG,19.5,SMG_19.5,ko00780,Biotin metabolism,2,2,2,0,2.34779785962694,1.17389892981347,1.6601437873974714
3 h,SMG,19.5,SMG_19.5,ko00785,Lipoic acid metabolism,1,1,0,1,-1.1003176483996,-1.1003176483996,-1.1003176483996
3 h,SMG,19.5,SMG_19.5,ko00860,Porphyrin metabolism,3,3,0,3,-3.84908092705685,-1.2830269756856167,-2.222267909368927
3 h,SMG,19.5,SMG_19.5,ko00910,Nitrogen metabolism,1,1,0,1,-2.04664624392478,-2.04664624392478,-2.04664624392478
3 h,SMG,19.5,SMG_19.5,ko00920,Sulfur metabolism,4,4,0,4,-5.978290169495899,-1.494572542373975,-2.9891450847479497
3 h,SMG,19.5,SMG_19.5,ko01100,Metabolic pathways,29,29,2,27,-41.4940169257943,-1.4308281698549759,-7.705245505359686
3 h,SMG,19.5,SMG_19.5,ko01110,Biosynthesis of secondary metabolites,11,11,1,10,-14.267986860462292,-1.297089714587481,-4.30195990271585
3 h,SMG,19.5,SMG_19.5,ko01120,Microbial metabolism in diverse environments,17,17,0,17,-30.02376611349318,-1.7661038890290106,-7.281832880280742
3 h,SMG,19.5,SMG_19.5,ko01200,Carbon metabolism,7,7,0,7,-12.190846145301592,-1.7415494493287986,-4.607706738845485
3 h,SMG,19.5,SMG_19.5,ko01212,Fatty acid metabolism,2,2,2,0,2.34779785962694,1.17389892981347,1.6601437873974714
3 h,SMG,19.5,SMG_19.5,ko01230,Biosynthesis of amino acids,1,1,0,1,-1.40137331791358,-1.40137331791358,-1.40137331791358
3 h,SMG,19.5,SMG_19.5,ko01240,Biosynthesis of cofactors,5,5,2,3,-1.5012830674299098,-0.300256613485982,-0.6713941984485358
3 h,SMG,19.5,SMG_19.5,ko01320,Sulfur cycle,3,3,0,3,-4.57691685158232,-1.52563895052744,-2.642484176319587
3 h,SMG,19.5,SMG_19.5,ko01501,beta-Lactam resistance,1,1,0,1,-1.12093286490194,-1.12093286490194,-1.12093286490194
3 h,SMG,19.5,SMG_19.5,ko02010,ABC transporters,4,4,1,3,-3.13661691433068,-0.7841542285826699,-1.56830845716534
3 h,SMG,19.5,SMG_19.5,ko02020,Two-component system,2,2,1,1,-1.1544882244221601,-0.5772441122110801,-0.8163464522889261
3 h,SMG,19.5,SMG_19.5,ko02024,Quorum sensing,1,1,0,1,-1.12093286490194,-1.12093286490194,-1.12093286490194
3 h,SMG,19.5,SMG_19.5,ko02060,Phosphotransferase system (PTS),2,2,0,2,-2.25096877217613,-1.125484386088065,-1.5916752830448981
3 h,SMG,19.5,SMG_19.5,ko05134,Legionellosis,1,1,0,1,-1.00523645859673,-1.00523645859673,-1.00523645859673
3 h,SMG,19.5,SMG_19.5,ko05152,Tuberculosis,1,1,1,0,1.73695028639243,1.73695028639243,1.73695028639243
