biocide,group,n_pairs_ctrl1,n_pairs_ctrl2,mean_net_kill_ctrl1,mean_net_kill_ctrl2,sd_net_kill_ctrl1,sd_net_kill_ctrl2,sign_agrees,pairing_range
DDAC,1g+13,3,3,0.4814846945708016,0.4780615468030248,0.08940940162895461,0.1612065622479585,TRUE,0.003423147767776802
DDAC,1g+19.5,3,3,0.5946933655242289,0.40099012744623863,0.05059997113961348,0.02889806165003443,TRUE,0.19370323807799028
DDAC,1g+6.5,3,3,0.6935414605800267,0.46119257957170356,0.2194396621508751,0.17294794523978144,TRUE,0.23234888100832318
DDAC,Ctrl,3,3,0.6128434265140579,0.6041638109071206,0.05660053691538811,0.10873820090468474,TRUE,0.008679615606937308
DDAC,SMG,3,3,0.5676704910256014,0.5514072022877815,0.041803769767392696,0.09681180241992446,TRUE,0.016263288737819903
DDAC,SMG+13,3,3,1.0631052269480274,0.44579299831725133,0.20905403709755485,0.06101397770086251,TRUE,0.6173122286307762
DDAC,SMG+19.5,3,3,0.6288746698780325,0.5632987094521796,0.0786024946727427,0.1039794923388034,TRUE,0.0655759604258529
DDAC,SMG+6.5,3,3,0.6769425560861634,0.49639154806637115,0.1554133127182404,0.2146689529362855,TRUE,0.18055100801979224
Gentamicin,1g+13,3,3,0.07356417692722858,0.07014102915945175,0.029339096280973934,0.14937973545720107,TRUE,0.0034231477677768296
Gentamicin,1g+19.5,3,3,0.20515882109845202,0.011455583020461773,0.01092204658226602,0.022386487878113367,TRUE,0.19370323807799025
Gentamicin,1g+6.5,3,3,0.24157558509064767,0.009226704082324446,0.12997877886096423,0.08062637159468536,TRUE,0.2323488810083232
Gentamicin,Ctrl,3,3,0.21723543556447428,0.208555819957537,0.05076338970465473,0.07727692462851846,TRUE,0.00867961560693728
Gentamicin,SMG,3,3,0.16995629076831084,0.153693002030491,0.03282342838148499,0.10348764077702233,TRUE,0.016263288737819848
Gentamicin,SMG+13,3,3,0.7032739709994029,0.08596174236862686,0.23145778596186536,0.10441252078286463,TRUE,0.6173122286307761
Gentamicin,SMG+19.5,3,3,0.2437058826337588,0.17812992220790588,0.01822369320699938,0.038835612697445517,TRUE,0.06557596042585292
Gentamicin,SMG+6.5,3,3,0.3104120950001557,0.12986108698036347,0.16265538302114646,0.20979446032997132,TRUE,0.18055100801979224
H2O2,1g+13,3,3,0.17250292508706222,0.1690797773192854,0.08218591565068212,0.15681550781459255,TRUE,0.0034231477677768296
H2O2,1g+19.5,3,3,0.12690449484618516,-0.06679874323180511,0.07707951353903582,0.05913309334207799,FALSE,0.19370323807799028
H2O2,1g+6.5,3,3,0.34468640066287803,0.11233751965455482,0.06123391079210181,0.02788635988239614,TRUE,0.2323488810083232
H2O2,Ctrl,3,3,0.44038037376649963,0.4317007581595623,0.15516383203323159,0.11630754263058807,TRUE,0.008679615606937308
H2O2,SMG,3,3,0.4079780845894224,0.3917147958516025,0.048234023511809526,0.10630099929610667,TRUE,0.016263288737819903
H2O2,SMG+13,3,3,0.8611588172117298,0.2438465885809538,0.2379573836309685,0.14363857308823325,TRUE,0.6173122286307761
H2O2,SMG+19.5,3,3,0.07345988382473768,0.007883923398884737,0.10367302103798652,0.1311435692292269,TRUE,0.06557596042585295
H2O2,SMG+6.5,3,3,0.49433578457410693,0.3137847765543147,0.17182564644557868,0.1800669590143645,TRUE,0.18055100801979224
NaHCO3,1g+13,3,3,-0.030317769379210706,-0.03374091714698753,0.05173501819151387,0.12233191873877676,TRUE,0.0034231477677768227
NaHCO3,1g+19.5,3,3,0.028026154810965376,-0.16567708326702488,0.02720126647139174,0.017796347845576967,FALSE,0.19370323807799025
NaHCO3,1g+6.5,3,3,0.11834425402756106,-0.11400462698076218,0.17964752920256574,0.10423755620431979,FALSE,0.23234888100832324
NaHCO3,Ctrl,3,3,0.12743197076763482,0.1187523551606975,0.038899722985810944,0.11700756510777521,TRUE,0.008679615606937321
NaHCO3,SMG,3,3,0.09444890543379102,0.07818561669597114,0.04612606744331518,0.11325281227643975,TRUE,0.016263288737819875
NaHCO3,SMG+13,3,3,0.5360385090120114,-0.08127371961876462,0.17192014116294974,0.09677490297000257,FALSE,0.6173122286307761
NaHCO3,SMG+19.5,3,3,-0.035382810553678506,-0.10095877097953145,0.011754744926553266,0.03664728742231624,TRUE,0.06557596042585294
NaHCO3,SMG+6.5,3,3,0.24941672144561614,0.06886571342582391,0.18424999393134955,0.2307968638510896,TRUE,0.18055100801979224
