biocide,group,rep,auc_base,auc_biocide,net_kill
H2O2,Ctrl,Ctrl-1,0.028743268773767632,-0.31631754490285036,0.345060813676618
H2O2,Ctrl,Ctrl-2,0.028743268773767632,-0.3819707722486433,0.41071404102241094
H2O2,Ctrl,Ctrl-3,0.028743268773767632,-0.5236035744162963,0.552346843190064
H2O2,1g+6.5,SR（6.5 Gy）-1,-0.06394746440097329,-0.386601079418147,0.3226536150171737
H2O2,1g+6.5,SR（6.5 Gy）-2,-0.06394746440097329,-0.13919760376605506,0.07525013936508176
H2O2,1g+6.5,SR（6.5 Gy）-3,-0.06394746440097329,-0.3515795904948674,0.2876321260938941
H2O2,1g+13,SR（13 Gy）-1,-0.0944309257287275,-0.13059518129081701,0.03616425556208952
H2O2,1g+13,SR（13 Gy）-2,-0.0944309257287275,-0.3329540450301944,0.23852311930146688
H2O2,1g+13,SR（13 Gy）-3,-0.0944309257287275,-0.3321176044746925,0.23768667874596502
H2O2,1g+19.5,SR（19.5 Gy）-1,-0.11457378687489453,-0.2189286481019107,0.10435486122701618
H2O2,1g+19.5,SR（19.5 Gy）-2,-0.11457378687489453,-0.07053721980842072,-0.04403656706647381
H2O2,1g+19.5,SR（19.5 Gy）-3,-0.11457378687489453,-0.14441412013592234,0.029840333261027807
H2O2,SMG,SMG-1,-0.015598116270926646,-0.45670540260645204,0.4411072863355254
H2O2,SMG,SMG-2,-0.015598116270926646,-0.35862750230970986,0.3430293860387832
H2O2,SMG,SMG-3,-0.015598116270926646,-0.43100076455815545,0.4154026482872288
H2O2,SMG+6.5,SMG+SR（6.5 Gy）-1,0.056055261202595116,-0.305296416240436,0.36135167744303115
H2O2,SMG+6.5,SMG+SR（6.5 Gy）-2,0.056055261202595116,-0.4652613775171175,0.5213166387197126
H2O2,SMG+6.5,SMG+SR（6.5 Gy）-3,0.056055261202595116,-0.27345726432729356,0.3295125255298887
H2O2,SMG+13,SMG+SR（13 Gy）-1,0.18163407204975865,-0.28151557515718123,0.46314964720693985
H2O2,SMG+13,SMG+SR（13 Gy）-2,0.18163407204975865,-0.4722533842892698,0.65388745633902845
H2O2,SMG+13,SMG+SR（13 Gy）-3,0.18163407204975865,-0.3588369330932986,0.5404710051430572
H2O2,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.09623340825755525,-0.028585832707260814,-0.06764757555029444
H2O2,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.09623340825755525,-0.16865993516976585,0.0724265269122106
H2O2,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.09623340825755525,-0.21347016773107277,0.11723675947351753
Gentamicin,Ctrl,Ctrl-1,0.028743268773767632,-0.1762992173104191,0.2050424860841867
Gentamicin,Ctrl,Ctrl-2,0.028743268773767632,-0.22481654757906436,0.253559816352832
Gentamicin,Ctrl,Ctrl-3,0.028743268773767632,-0.1513413120722305,0.18008458084599813
Gentamicin,1g+6.5,SR（6.5 Gy）-1,-0.06394746440097329,-0.18237755145701812,0.11843008705604482
Gentamicin,1g+6.5,SR（6.5 Gy）-2,-0.06394746440097329,-0.1424109610641053,0.07846349666313202
Gentamicin,1g+6.5,SR（6.5 Gy）-3,-0.06394746440097329,-0.2432573144412549,0.1793098500402816
Gentamicin,1g+13,SR（13 Gy）-1,-0.0944309257287275,-0.1466435420948354,0.05221261636610791
Gentamicin,1g+13,SR（13 Gy）-2,-0.0944309257287275,-0.14772781140811111,0.05329688567938362
Gentamicin,1g+13,SR（13 Gy）-3,-0.0944309257287275,-0.20447923281325645,0.11004830708452895
Gentamicin,1g+19.5,SR（19.5 Gy）-1,-0.11457378687489453,-0.22253684902652826,0.10796306215163373
Gentamicin,1g+19.5,SR（19.5 Gy）-2,-0.11457378687489453,-0.21233529124757183,0.0977615043726773
Gentamicin,1g+19.5,SR（19.5 Gy）-3,-0.11457378687489453,-0.23377082652895428,0.11919703965405976
Gentamicin,SMG,SMG-1,-0.015598116270926646,-0.1766772091962689,0.16107909292534225
Gentamicin,SMG,SMG-2,-0.015598116270926646,-0.16735509631278586,0.15175698004185922
Gentamicin,SMG,SMG-3,-0.015598116270926646,-0.188235982501928,0.17263786623100136
Gentamicin,SMG+6.5,SMG+SR（6.5 Gy）-1,0.056055261202595116,-0.16532978678745383,0.22138504799004893
Gentamicin,SMG+6.5,SMG+SR（6.5 Gy）-2,0.056055261202595116,-0.1683926807143093,0.22444794191690443
Gentamicin,SMG+6.5,SMG+SR（6.5 Gy）-3,0.056055261202595116,-0.15852152186123036,0.2145767830638255
Gentamicin,SMG+13,SMG+SR（13 Gy）-1,0.18163407204975865,-0.13921873543710866,0.3208528074868673
Gentamicin,SMG+13,SMG+SR（13 Gy）-2,0.18163407204975865,-0.2689461116574266,0.4505801837071852
Gentamicin,SMG+13,SMG+SR（13 Gy）-3,0.18163407204975865,-0.2307865068082336,0.4124205788579922
Gentamicin,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.09623340825755525,-0.3101114616224226,0.21387805336486734
Gentamicin,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.09623340825755525,-0.31006546191576667,0.21383205365821142
Gentamicin,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.09623340825755525,-0.3012770084969736,0.20504360023941834
DDAC,Ctrl,Ctrl-1,0.028743268773767632,-0.5861009348642889,0.6148442036380566
DDAC,Ctrl,Ctrl-2,0.028743268773767632,-0.5596263847150516,0.5883696534888192
DDAC,Ctrl,Ctrl-3,0.028743268773767632,-0.5935537302311241,0.6222969990048918
DDAC,1g+6.5,SR（6.5 Gy）-1,-0.06394746440097329,-0.5483220868953453,0.484374622494372
DDAC,1g+6.5,SR（6.5 Gy）-2,-0.06394746440097329,-0.6942566985454929,0.6303092341445196
DDAC,1g+6.5,SR（6.5 Gy）-3,-0.06394746440097329,-0.6813646679896774,0.6174172035887041
DDAC,1g+13,SR（13 Gy）-1,-0.0944309257287275,-0.6254501007761196,0.5310191750473922
DDAC,1g+13,SR（13 Gy）-2,-0.0944309257287275,-0.5202489648747273,0.4258180391459998
DDAC,1g+13,SR（13 Gy）-3,-0.0944309257287275,-0.5769130735960752,0.4824821478673478
DDAC,1g+19.5,SR（19.5 Gy）-1,-0.11457378687489453,-0.6273825480050451,0.5128087611301506
DDAC,1g+19.5,SR（19.5 Gy）-2,-0.11457378687489453,-0.6340734410657175,0.519499654190823
DDAC,1g+19.5,SR（19.5 Gy）-3,-0.11457378687489453,-0.5757906110096224,0.46121682413472787
DDAC,SMG,SMG-1,-0.015598116270926646,-0.5568167840793955,0.5412186678084688
DDAC,SMG,SMG-2,-0.015598116270926646,-0.6060447246591856,0.5904466083882589
DDAC,SMG,SMG-3,-0.015598116270926646,-0.5625493800442732,0.5469512637733466
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-1,0.056055261202595116,-0.5264466739745286,0.5825019351771237
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-2,0.056055261202595116,-0.4978319493145874,0.5538872105171825
