endpoint,Dose,p_nominal,p_holm,p_bh,sig_nominal,sig_holm,sig_bh,estimate_SMG_minus_1g,conf_low,conf_high,mean_1g,mean_SMG,n_1g,n_SMG,star_holm
t50,0,0.0468985897056966,0.123123511331493,0.0625314529409288,TRUE,FALSE,FALSE,-0.235019320978598,-0.464773416234261,-0.00526522572293547,2.86968373898549,2.63466441800689,3,3,NA
t50,6.5,0.0109804421636852,0.0439217686547408,0.0439217686547408,TRUE,TRUE,TRUE,-0.418223789080057,-0.626638363387439,-0.209809214772675,2.79432601630681,2.37610222722675,3,3,*
t50,13,0.041041170443831,0.123123511331493,0.0625314529409288,TRUE,FALSE,FALSE,-0.251388006242777,-0.478276483316602,-0.0244995291689528,2.29309748511787,2.04170947887509,3,3,NA
t50,19.5,0.358755362264858,0.358755362264858,0.358755362264858,FALSE,FALSE,FALSE,-0.0509537575116368,-0.197916378553245,0.0960088635299717,2.69926246155732,2.64830870404568,3,3,NA
relative germination fraction at 3 h,0,1,1,1,FALSE,FALSE,FALSE,0,-0.135734576131113,0.135734576131113,1,1,3,3,NA
relative germination fraction at 3 h,6.5,0.479840042488959,0.959680084977918,0.639786723318612,FALSE,FALSE,FALSE,-0.0273866919979208,-0.125101287646891,0.070327903651049,1.01068789267521,0.983301200677288,3,3,NA
relative germination fraction at 3 h,13,8.50963110759188e-4,0.003403852443036752,0.003403852443036752,TRUE,TRUE,TRUE,-0.209095280828411,-0.268029276492863,-0.150161285163958,1.16831153199589,0.959216251167482,3,3,**
relative germination fraction at 3 h,19.5,0.0101866049246692,0.030559814774007602,0.0203732098493384,TRUE,TRUE,TRUE,-0.146510301749208,-0.234899730674007,-0.0581208728244096,1.0863663971232,0.939856095373987,3,3,*
