timepoint,groups,Df,SumOfSqs,MeanSqs,F,permutations,p_value
3 h,8,7,0.0011637917927842837,1.6625597039775483e-4,0.355419049447142,999,0.919
10 h,8,7,0.0026659016545610937,3.808430935087277e-4,0.389012933245957,999,0.905
