time_min,rep,relative_OD,group,treatment,time_h
500,Ctrl-3,-0.6248071492715981,1g+0,DDAC,8.333333333333334
520,Ctrl-1,-0.6297519009888877,1g+0,DDAC,8.666666666666666
520,Ctrl-2,-0.5850680341216321,1g+0,DDAC,8.666666666666666
520,Ctrl-3,-0.6228530327717654,1g+0,DDAC,8.666666666666666
540,Ctrl-1,-0.6013204354750381,1g+0,DDAC,9
540,Ctrl-2,-0.5994795688851824,1g+0,DDAC,9
540,Ctrl-3,-0.6264527291270792,1g+0,DDAC,9
560,Ctrl-1,-0.5889681649894096,1g+0,DDAC,9.333333333333334
560,Ctrl-2,-0.5849679672751886,1g+0,DDAC,9.333333333333334
560,Ctrl-3,-0.6336521524890715,1g+0,DDAC,9.333333333333334
580,Ctrl-1,-0.6085614063014506,1g+0,DDAC,9.666666666666666
580,Ctrl-2,-0.5869695726397024,1g+0,DDAC,9.666666666666666
580,Ctrl-3,-0.6297438888380413,1g+0,DDAC,9.666666666666666
600,Ctrl-1,-0.6424236158025997,1g+0,DDAC,10
600,Ctrl-2,-0.6024819918450446,1g+0,DDAC,10
600,Ctrl-3,-0.613390925614224,1g+0,DDAC,10
620,Ctrl-1,-0.623788739209789,1g+0,DDAC,10.333333333333334
620,Ctrl-2,-0.6061849423823744,1g+0,DDAC,10.333333333333334
620,Ctrl-3,-0.6261441924827276,1g+0,DDAC,10.333333333333334
640,Ctrl-1,-0.6191034182129855,1g+0,DDAC,10.666666666666666
640,Ctrl-2,-0.6048838944215138,1g+0,DDAC,10.666666666666666
640,Ctrl-3,-0.6361205375979766,1g+0,DDAC,10.666666666666666
660,Ctrl-1,-0.6218720097713281,1g+0,DDAC,11
660,Ctrl-2,-0.582265804507023,1g+0,DDAC,11
660,Ctrl-3,-0.6367376415380437,1g+0,DDAC,11
680,Ctrl-1,-0.6134597007619701,1g+0,DDAC,11.333333333333334
680,Ctrl-2,-0.5948758974251297,1g+0,DDAC,11.333333333333334
680,Ctrl-3,-0.625629954525021,1g+0,DDAC,11.333333333333334
700,Ctrl-1,-0.6119689182509402,1g+0,DDAC,11.666666666666666
700,Ctrl-2,-0.5836669193143271,1g+0,DDAC,11.666666666666666
700,Ctrl-3,-0.64887380446648,1g+0,DDAC,11.666666666666666
720,Ctrl-1,-0.6498775600927271,1g+0,DDAC,12
720,Ctrl-2,-0.6171937569741072,1g+0,DDAC,12
720,Ctrl-3,-0.64352566227332475,1g+0,DDAC,12
740,Ctrl-1,-0.6252795217208178,1g+0,DDAC,12.333333333333334
740,Ctrl-2,-0.5648518766097937,1g+0,DDAC,12.333333333333334
740,Ctrl-3,-0.6390002946822265,1g+0,DDAC,12.333333333333334
760,Ctrl-1,-0.6389096012537601,1g+0,DDAC,12.666666666666666
760,Ctrl-2,-0.6240992641641868,1g+0,DDAC,12.666666666666666
760,Ctrl-3,-0.6302581574471138,1g+0,DDAC,12.666666666666666
780,Ctrl-1,-0.6088808506295329,1g+0,DDAC,13
780,Ctrl-2,-0.6007806168460431,1g+0,DDAC,13
780,Ctrl-3,-0.645582644755518,1g+0,DDAC,13
800,Ctrl-1,-0.6429560335943979,1g+0,DDAC,13.333333333333334
800,Ctrl-2,-0.6207966406649948,1g+0,DDAC,13.333333333333334
800,Ctrl-3,-0.6593643875394356,1g+0,DDAC,13.333333333333334
820,Ctrl-1,-0.6461505720801726,1g+0,DDAC,13.666666666666666
820,Ctrl-2,-0.6269015236049792,1g+0,DDAC,13.666666666666666
820,Ctrl-3,-0.6361205375979766,1g+0,DDAC,13.666666666666666
840,Ctrl-1,-0.6485997193104318,1g+0,DDAC,14
840,Ctrl-2,-0.5723578743570822,1g+0,DDAC,14
840,Ctrl-3,-0.6442456015443874,1g+0,DDAC,14
860,Ctrl-1,-0.6335853598658095,1g+0,DDAC,14.333333333333334
860,Ctrl-2,-0.6039831734987918,1g+0,DDAC,14.333333333333334
860,Ctrl-3,-0.6320065726335903,1g+0,DDAC,14.333333333333334
880,Ctrl-1,-0.6158023771278621,1g+0,DDAC,14.666666666666666
880,Ctrl-2,-0.6022818283259747,1g+0,DDAC,14.666666666666666
880,Ctrl-3,-0.6589529849127235,1g+0,DDAC,14.666666666666666
900,Ctrl-1,-0.6274092246229948,1g+0,DDAC,15
900,Ctrl-2,-0.6004803864805308,1g+0,DDAC,15
900,Ctrl-3,-0.6561760631594677,1g+0,DDAC,15
920,Ctrl-1,-0.6358215336323527,1g+0,DDAC,15.333333333333334
920,Ctrl-2,-0.6268014269323525,1g+0,DDAC,15.333333333333334
