Time,Dose_f,1g,SMG,diff
0,0,0.02153167852482617,0.020299181268323464,-0.001232497256502707
0.05,0,0.022989216263753793,0.021818708725228675,-0.001170507538525118
0.1,0,0.0245429438782212,0.023449260283594363,-0.001093683594626839
0.15000000000000002,0,0.026198864425585593,0.02519852687587642,-0.0010003375497091745
0.2,0,0.027963307658998685,0.02707466730333878,-8.886403556599039e-4
0.25,0,0.02984294105676867,0.02908632657817503,-7.566144785936396e-4
0.30000000000000004,0,0.03184478019791341,0.031242653290892222,-6.021269070211888e-4
0.35000000000000003,0,0.03397619828479368,0.03355331563938735,-4.2288264540633197e-4
0.4,0,0.03624493458739143,0.03602851570151896,-2.164188858724686e-4
0.45,0,0.03865910155556422,0.0386790014737441,1.9899918179876186e-5
0.5,0,0.04122719031558815,0.041516076134816476,2.888858192283267e-4
0.55,0,0.0439580742357029,0.044551603926098436,5.935296903955348e-4
0.6000000000000001,0,0.046861010212494746,0.0477980119694647,9.370017569699518e-4
0.65,0,0.04994563729620802,0.051268287271121704,0.0013226499749136866
0.7000000000000001,0,0.053221972239010616,0.05497596808636631,0.0017539958473556938
0.75,0,0.05670040151654855,0.05893512874823405,0.002234727231685496
0.8,0,0.06039166934068555,0.06316035699452428,0.002768687653838732
0.8500000000000001,0,0.06430686115119555,0.06766672276578692,0.0033598616145913696
0.9,0,0.06845738204763796,0.07246973739508891,0.004012355347450952
0.9500000000000001,0,0.07285492960120346,0.07758530207299234,0.004730372471788882
1,0,0.07751146047170417,0.08302964445309108,0.005518183981386912
1.05,0,0.08243915024908756,0.08881924227027833,0.006380092021190775
1.1,0,0.08765034594407625,0.09497073288186073,0.007320386937784473
1.1500000000000001,0,0.09315751057120965,0.10150080771744263,0.008343297146232984
1.2000000000000002,0,0.09897315930227499,0.10842609074422656,0.00945293144195157
1.25,0,0.10510978672158165,0.1157630002271702,0.010653213505588552
1.3,0,0.11157978478949948,0.12352759329516724,0.011947808505667762
1.35,0,0.11839535121982404,0.1317353931212303,0.013340041901406266
1.4000000000000001,0,0.12556838810232254,0.14040119889141967,0.014832810789097123
1.4500000000000002,0,0.13311039075634157,0.14953887917691036,0.016428488420568793
1.5,0,0.14103232698615567,0.1591611498363966,0.018128822850240922
1.55,0,0.14934450712453443,0.16927933815879898,0.01993483103426455
1.6,0,0.15805644549750938,0.17990313560152008,0.02184669010401069
1.6500000000000001,0,0.16717671421894312,0.1910403421748381,0.023863627955894973
1.7000000000000002,0,0.17671279052512118,0.20269660625039218,0.025983815725271003
1.75,0,0.18667089918230145,0.2148751643070719,0.02820426512477045
1.8,0,0.19705585183711724,0.22757658584095822,0.030520734003840977
1.85,0,0.20787088552200067,0.2407985293216621,0.03292764379966143
1.9000000000000001,0,0.21911750286432716,0.2545355156352322,0.03541801277090503
1.9500000000000002,0,0.23079531686572669,0.26877872587045365,0.037983409004726965
2,0,0.24290190340214377,0.2835158305366844,0.04061392713454062
2.0500000000000003,0,0.255432664829592,0.2987308573051702,0.0432981924755782
2.1,0,0.2683807082482259,0.3144041041050812,0.046023395856855276
2.15,0,0.2817367420614889,0.3305121038522094,0.048775361790720506
2.2,0,0.2954889944517782,0.34702764622663484,0.05153865177485667
2.25,0,0.3096231572655086,0.36391986074575094,0.05429670348024235
2.3000000000000003,0,0.32412235854802696,0.3811543639190668,0.05703200537103986
