SampleID,Condition,Dose,A_fit,K_fit,r_fit,t0_fit,mu_max,lag_time,max_slope_fit,AUC_4_10,ODmax_4_10,fit_ok,hit_bound,Dose_f,inv_lag,AUCd_4_10,dOD_10,qc_status
Ctrl-1,1g,0,0.0264116759087719,0.109557005483728,1.04602051419829,5.2988254689003504,1.04602051419829,3.38681707819218,0.0217429300987955,0.5062083155,0.109399993,TRUE,FALSE,0,0.295262477102478,0.3019749895,0.07033334,passed current checks
Ctrl-2,1g,0,0.0247465167761927,0.109183640474079,0.94834696040824,5.52644116659964,0.94834696040824,3.41750837776142,0.0200189224011263,0.48572710575,0.107566672,TRUE,FALSE,0,0.292610840841605,0.28479376875,0.068666669,passed current checks
Ctrl-3,1g,0,0.0249402001117033,0.111216229044192,0.697348749729558,5.94816154929111,0.697348749729558,3.08015612047858,0.0150411202269255,0.45559790375,0.106799998,TRUE,FALSE,0,0.324658868214974,0.26043957225,0.067816666,passed current checks
Ctrl+SR6.5-1,1g,6.5,0.0236082090478306,0.132836730314031,1.42259009142704,4.4341888919034,1.42259009142704,3.02830253570522,0.0388468530136312,0.675499999,0.139383331,TRUE,FALSE,6.5,0.330217997775815,0.464574999,0.091166668,passed current checks
Ctrl+SR6.5-2,1g,6.5,0.0253047345743489,0.12364088038711,2.11152561112637,4.21160878273453,2.11152561112637,3.2644263334849,0.0519098225957754,0.663699995,0.138383334,TRUE,FALSE,6.5,0.306332536820478,0.4623083265,0.074266666,passed current checks
Ctrl+SR6.5-3,1g,6.5,0.0250323586362761,0.123893927262826,1.75789908063903,4.28321648854045,1.75789908063903,3.14549474897793,0.0434471651497861,0.658049994,0.137749999,TRUE,FALSE,6.5,0.317915011724287,0.450608331,0.070799999,passed current checks
Ctrl+SR13-1,1g,13,0.023558730565995,0.140802001893952,1.57158476135505,4.34039736473362,1.57158476135505,3.0677965803664,0.0460644346476084,0.72487499775,0.144966666,TRUE,FALSE,13,0.325966853995438,0.53622499225,0.102866662,passed current checks
Ctrl+SR13-2,1g,13,0.0239063144826456,0.138111878701191,1.70438890839204,4.314551529036,1.70438890839204,3.14111042639068,0.0486626742326861,0.7130041695,0.140316669,TRUE,FALSE,13,0.318358753515412,0.523070838,0.103283337,passed current checks
Ctrl+SR13-3,1g,13,0.0243708799547843,0.138307902797395,1.54021533288949,4.26636047941265,1.54021533288949,2.96784074824757,0.0438718873914922,0.714766658,0.141866664,TRUE,FALSE,13,0.336945302941364,0.5281333265,0.101533333,passed current checks
Ctrl+SR19.5-1,1g,19.5,0.0211630016331161,0.137290358230284,1.1760796122089,4.93413562383223,1.1760796122089,3.23357047565862,0.0341437541284106,0.65194581725,0.138166662,TRUE,FALSE,19.5,0.309255668780907,0.44890415975,0.100633333,passed current checks
Ctrl+SR19.5-2,1g,19.5,0.0242825727452381,0.137996734438001,1.12296120813187,4.83939613972264,1.12296120813187,3.05839071805973,0.0319241480990519,0.666291669,0.140316666,TRUE,FALSE,19.5,0.326969341783253,0.4613250005,0.095349998,passed current checks
Ctrl+SR19.5-3,1g,19.5,0.0225540997781366,0.134458534960616,1.23048149682498,4.652128696488,1.23048149682498,3.02674870892978,0.0344240842261729,0.663762509,0.137216665,TRUE,FALSE,19.5,0.330387520130003,0.461545846,0.093716669,passed current checks
SMG-1,SMG,0,0.0255359958774084,0.143451567207696,0.879613300184643,5.41092481174504,0.879613300184643,3.13719839176007,0.0259300262102479,0.631558323,0.139883331,TRUE,FALSE,0,0.318755741628112,0.4281500135,0.102900002,passed current checks
SMG-2,SMG,0,0.0226940642722945,0.142591636329018,1.02457324481772,5.58520540430247,1.02457324481772,3.63317317028116,0.0307109611119809,0.6198250115,0.13993334,TRUE,FALSE,0,0.275241490876311,0.430075017,0.105433341,passed current checks
SMG-3,SMG,0,0.0239529623228269,0.143388314884777,0.905657018187531,5.63376596211461,0.905657018187531,3.42542443785574,0.0270418663168582,0.61309165775,0.140383332,TRUE,FALSE,0,0.291934625370392,0.41435833175,0.10425,passed current checks
SMG+SR6.5-1,SMG,6.5,0.0225323176139932,0.131029308120239,1.31905330553133,4.59302323022162,1.31905330553133,3.07678427944293,0.0357783284918664,0.65587499325,0.135449997,TRUE,FALSE,6.5,0.325014661145193,0.45246666175,0.088166659,passed current checks
SMG+SR6.5-2,SMG,6.5,0.0221323909414287,0.135158626005261,1.22237543118063,4.73122889486851,1.22237543118063,3.09507035553309,0.0345401232052188,0.66166665025,0.141549996,TRUE,FALSE,6.5,0.323094432477856,0.45880832975,0.0936,passed current checks
SMG+SR6.5-3,SMG,6.5,0.0225896845724879,0.132568121628041,1.18343655926613,4.67903701323371,1.18343655926613,2.98904359166809,0.0325381257856224,0.65267499325,0.137816669,TRUE,FALSE,6.5,0.334555174366638,0.45146665625,0.089599999,passed current checks
SMG+SR13-1,SMG,13,0.021455767010795702,0.137608325034272,1.48185588288704,4.51828343669265,1.48185588288704,3.16862452377361,0.0430303378548665,0.692254163,0.13906667,TRUE,FALSE,13,0.315594350954865,0.5177208315,0.106033335,passed current checks
SMG+SR13-2,SMG,13,0.0230245758043169,0.136466988778224,1.37881200847762,4.46837961010355,1.37881200847762,3.01785554467404,0.0391039403197752,0.68866666675,0.138833334,TRUE,FALSE,13,0.331361122226283,0.50753333525,0.102166664,passed current checks
SMG+SR13-3,SMG,13,0.0232751974091402,0.133580216984074,1.55813833818024,4.4601344921846096,1.55813833818024,3.17655141679747,0.0429676199733563,0.68040833525,0.135833337,TRUE,FALSE,13,0.314806804231797,0.48845834075,0.097099999,passed current checks
SMG+SR19.5-1,SMG,19.5,0.0197516595121837,0.12714682784445,1.37575350793081,4.62607287902904,1.37575350793081,3.17232408720652,0.036937319891984,0.63152499225,0.127316669,TRUE,FALSE,19.5,0.315226304914066,0.47000833475,0.096916668,passed current checks
SMG+SR19.5-2,SMG,19.5,0.0215811471155053,0.13531498978542,1.26954641756555,4.9547030396867,1.26954641756555,3.37933724578753,0.0360975981293886,0.64887916975,0.135966671,TRUE,FALSE,19.5,0.295916011711035,0.44033749025,0.094699996,passed current checks
SMG+SR19.5-3,SMG,19.5,0.0234196240966846,0.137269895977453,0.936201834672893,5.51467448683296,0.936201834672893,3.37838301000756,0.0266467083531957,0.60130832425,0.132666665,TRUE,FALSE,19.5,0.295999594195734,0.40101665575,0.095133327,passed current checks
