timepoint,condition,dose_Gy,contrast,source_file,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00215,994.942786986306,1.19592275564473e-6,0.00144267133877551,0.775748222337189,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00220,942.648011289252,3.17807117221867e-6,0.00144266542174493,0.505568500172259,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00225,550.048306776938,2.64458008420277e-7,0.00144268032673835,0.937743599400197,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00230,133.29651663534,4.8361257198401e-7,0.00144268093316292,0.881492077845935,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00235,48.9549643288687,-3.22714004770184e-6,0.00144268677594442,0.231045833548259,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00240,251.992570732183,2.96883852371436e-6,0.00144267546732929,0.448002339176624,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00245,5553.65274035207,9.434420860515e-7,0.00144268460868238,0.736276831740826,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00250,2267.67539224813,-1.2684803926358501e-9,0.00144268261817735,0.996446747741442,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00255,383.141938422902,2.66368019961343e-6,0.00144268125598955,0.420370735498917,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00260,869.380791736652,-1.09892078446212e-6,0.00144268383865727,0.699405538783989,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00265,147.08770145503,-4.61511327446866e-6,0.00144268489166737,0.145071351533435,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00270,523.766975249694,-9.67325603289861e-7,0.00144267914188092,0.774268263958823,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00275,46.473975052937,-1.89248653382591e-6,0.00144268372978182,0.518250811675617,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00280,3036.24035684707,9.58863336814758e-7,0.00144268702360672,0.69717189443039,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00285,36.0520150950028,-1.15728515513965e-6,0.00144268954387281,0.567719639408339,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00290,470.13164915037,-1.1264490893546e-6,0.00144265850993829,0.825491049057597,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00295,1609.19897834781,1.81277431435766e-6,0.00144267681615859,0.624806448172625,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00300,1069.64381278437,-9.04438673092287e-8,0.00144268454429482,0.970417690929,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00305,1599.69024961467,1.82985774913541e-6,0.00144268378334215,0.534444124419921,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00310,1161.37942366991,-6.38129203810626e-6,0.00144268286076818,0.0875966301129901,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00315,1332.70401558289,-4.44390522612412e-6,0.00144268016212181,0.221708071291548,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00320,6508.83484390023,-3.0914543348323e-6,0.00144268786126293,0.22147784064283,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00325,398.467252918733,2.3283886189337e-6,0.00144268070506323,0.484869697453907,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00330,197.014990515779,2.40682198531288e-6,0.00144268059757584,0.472685174050381,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00335,2861.69189028732,-1.5635318032321e-6,0.00144268054946488,0.631391583467453,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00340,537.537193079895,-5.43523647092075e-7,0.00144267910176608,0.870640370114941,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00345,202.430417455827,-5.84011389025733e-6,0.00144268363015153,0.0991402428288966,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00350,714.842526652487,-8.36966552630886e-7,0.00144265462516401,0.875601295864077,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00355,226.154312465502,-3.78804455807168e-6,0.00144267451444385,0.351558627848545,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00360,216.896123694439,3.04743029327614e-6,0.0014426757708214,0.433696088828228,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00365,376.168200778376,-7.37402573019443e-6,0.00144267579627045,0.105317622089951,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00370,597.824673830126,-5.53677408799524e-6,0.00144266934835333,0.241336858465821,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00375,1202.69611153136,-2.73235287659892e-6,0.00144267319579697,0.502203062347549,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00385,0.919292277998787,-1.95722407093057e-9,0.00144269487187333,0.983913013371657,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00390,49.4193086959937,-3.52562276717913e-7,0.00144269169830251,0.818522736626367,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00395,36.4706860081368,-2.28666398580593e-6,0.00144268955183242,0.288055157713563,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00400,18.2642165244099,8.36296953127464e-7,0.0014426911944538,0.625384377351156,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00405,1857.95174849679,-1.01919378229602e-6,0.00144267853782607,0.766207653037748,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00410,918.767074403021,3.8292344910591e-6,0.0014426778512703,0.312127789812075,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00415,17981.980072401,5.18181139966976e-6,0.00144266336309223,0.313306162646761,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00420,306.338429518889,-5.04246695748622e-6,0.00144268379138864,0.134320396044382,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00425,394.775669674005,-3.45243452851623e-6,0.00144268916269364,0.151208664806426,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00430,103.059738473196,-3.78492293140717e-6,0.00144268557872769,0.198399847900334,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00435,4792.59580090077,3.88491029913159e-6,0.00144268719362006,0.161560845907737,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00440,336.157148565474,4.70948970815756e-6,0.00144266811621886,0.318700584953424,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00445,710.587754567043,4.07134086709776e-6,0.00144267333956304,0.335198934148572,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00450,370.985924230823,3.23223687019564e-6,0.00144267411731701,0.721814459754659,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00455,501.309353277436,1.30240923423289e-6,0.00144267298984741,0.796149671331741,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00460,254.871457972721,1.06248024092031e-6,0.00144267134230096,0.799646843881433,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00465,386.839973173584,-3.10298914482174e-6,0.0014426657099672,0.510877373737901,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00470,164.393479200272,5.52002085280339e-6,0.00144268221049126,0.127996263389319,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00475,2688.58149318753,1.67604736661043e-6,0.00144264906935353,0.773821525093073,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00480,3679.35553228562,1.7356039239255e-6,0.00144266584004905,0.709919046686552,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00490,103.393345314017,-2.21942357166867e-6,0.00144269315865878,0.120815011794041,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00505,30.5430667238001,1.1571377692794e-6,0.00144269123186064,0.502302978785863,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00510,82.3694270833998,1.23282820743189e-6,0.00144268901331229,0.565661122246001,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00515,89.124557774237,-8.59881662799281e-7,0.00144268815665465,0.70012414620291,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00520,57.9622259065362,-2.73036104216634e-7,0.00144268717206057,0.906577045125892,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00525,79.6147214951005,1.40454645814158e-6,0.00144268278704201,0.761495294972506,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00530,19.5140966144226,1.51392631418909e-6,0.00144269182238143,0.353459245357898,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00535,11.0400790353409,3.644351144064e-7,0.00144269222723502,0.802017159022622,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00540,51.6888652228841,-6.01919745479303e-7,0.00144268804869425,0.87591775912789,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00545,4.66393879732173,1.70693125389702e-7,0.00144269377280874,0.862952213755147,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00560,554.203084070338,-9.06359472996502e-6,0.0014426832619994,0.0369620132133923,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00565,438.587906845092,-4.98009950816314e-6,0.00144267564696732,0.228115937351755,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00570,1239.59297823694,-3.19378070733881e-6,0.00144267657471343,0.401973238055383,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00575,6191.49841281687,-2.79177039945366e-6,0.00144267850147498,0.435216160267344,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00580,1048.53617849613,-2.24357606859733e-6,0.00144268391401286,0.444440018930826,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00585,990.954954740604,3.00991303644723e-6,0.00144267123756128,0.483455572563841,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00590,1475.08187545215,-3.51341601802143e-6,0.00144267494675538,0.379141733210135,0.998875337679648
