run,group,biocide_n,biocide_mean,biocide_sd,baseline_n,baseline_mean,baseline_sd,descriptive_net_kill
DDAC,1g+13,3,-0.5742040464156407,0.05265286193488494,6,-0.0944309257287275,0.08579119981102393,0.47977312068691325
DDAC,1g+19.5,3,-0.6124155333601283,0.03189405454583631,6,-0.11457378687489456,0.10742654924623411,0.49784174648523377
DDAC,1g+6.5,3,-0.6413144844768386,0.0807913399995872,6,-0.06394746440097338,0.18096318032841632,0.5773670200758652
DDAC,Ctrl,3,-0.5797603499368216,0.01783026798336364,6,0.02874326877376764,0.06808580874030135,0.6085036187105892
DDAC,SMG,3,-0.5751369629276181,0.026919936210281836,6,-0.01559811627092666,0.0635068035298586,0.5595388466566914
DDAC,SMG+13,3,-0.5728150405828808,0.060068380237380224,6,0.1816340720497586,0.36191253545643715,0.7544491126326394
DDAC,SMG+19.5,3,-0.6923200979226614,0.07694243160725758,6,-0.09623340825755528,0.0448251989651546,0.596086689665106
DDAC,SMG+6.5,3,-0.5306117908736722,0.035048510431275444,6,0.056055261202595096,0.1940885649128824,0.5866670520762672
Gentamicin,1g+13,3,-0.16628352877206765,0.03308289233709006,6,-0.0944309257287275,0.08579119981102393,0.07185260304334015
Gentamicin,1g+19.5,3,-0.22288098893435146,0.010721910622970393,6,-0.11457378687489456,0.10742654924623411,0.1083072020594569
Gentamicin,1g+6.5,3,-0.18934860898745945,0.05078329922018433,6,-0.06394746440097338,0.18096318032841632,0.12540114458648607
Gentamicin,Ctrl,3,-0.18415235898723797,0.037361831243172716,6,0.02874326877376764,0.06808580874030135,0.21289562776100562
Gentamicin,SMG,3,-0.17742276267032758,0.010460389070105729,6,-0.01559811627092666,0.0635068035298586,0.16182464639940092
Gentamicin,SMG+13,3,-0.2129837846342563,0.06667083862420545,6,0.1816340720497586,0.36191253545643715,0.3946178566840149
Gentamicin,SMG+19.5,3,-0.30715131067838763,0.005087346909949953,6,-0.09623340825755528,0.0448251989651546,0.21091790242083236
Gentamicin,SMG+6.5,3,-0.1640813297876645,0.005052615949775114,6,0.056055261202595096,0.1940885649128824,0.2201365909902596
H2O2,1g+13,3,-0.2652222769319013,0.11659123495686098,6,-0.0944309257287275,0.08579119981102393,0.17079135120317382
H2O2,1g+19.5,3,-0.14462666268208457,0.07419594246652537,6,-0.11457378687489456,0.10742654924623411,0.030052875807190016
H2O2,1g+6.5,3,-0.2924594245596898,0.13387873414525553,6,-0.06394746440097338,0.18096318032841632,0.22851196015871644
H2O2,Ctrl,3,-0.40729729718926333,0.10593842153363522,6,0.02874326877376764,0.06808580874030135,0.436040565963031
H2O2,SMG,3,-0.41544455649143913,0.05085582895515177,6,-0.01559811627092666,0.0635068035298586,0.39984644022051247
H2O2,SMG+13,3,-0.3708686308465832,0.09593643349242796,6,0.1816340720497586,0.36191253545643715,0.5525027028963418
H2O2,SMG+19.5,3,-0.13690531186936647,0.09644595071858635,6,-0.09623340825755528,0.0448251989651546,0.040671903611811194
H2O2,SMG+6.5,3,-0.3480050193616157,0.10278727082939564,6,0.056055261202595096,0.1940885649128824,0.4040602805642108
NaHCO3,1g+13,3,-0.06240158246562838,0.009110337131855368,6,-0.0944309257287275,0.08579119981102393,-0.032029343263099114
NaHCO3,1g+19.5,3,-0.04574832264686482,0.024202640457039497,6,-0.11457378687489456,0.10742654924623411,-0.06882546422802974
NaHCO3,1g+6.5,3,-0.06611727792437282,0.02908232140972827,6,-0.06394746440097338,0.18096318032841632,0.0021698135233994414
NaHCO3,Ctrl,3,-0.09434889419039852,0.022211449856412664,6,0.02874326877376764,0.06808580874030135,0.12309216296416615
NaHCO3,SMG,3,-0.10191537733580774,0.01965558812471299,6,-0.01559811627092666,0.0635068035298586,0.08631726106488108
NaHCO3,SMG+13,3,-0.04574832264686482,0.024202640457039497,6,0.1816340720497586,0.36191253545643715,0.2273823946966234
NaHCO3,SMG+19.5,3,-0.028062617490950292,0.003973385317563772,6,-0.09623340825755528,0.0448251989651546,-0.06817079076660498
NaHCO3,SMG+6.5,3,-0.10308595623312493,0.023762233453634173,6,0.056055261202595096,0.1940885649128824,0.15914121743572002
