treatment,group,time,mean_rel,sd_rel,time_h
Baseline,1g+13,0,0,0,0
Baseline,1g+13,20,0.01715399502628142,0.04957446908409519,0.3333333333333333
Baseline,1g+13,40,0.019018365743364952,0.07071950210697499,0.6666666666666666
Baseline,1g+13,60,0.03567772481429947,0.0865683585547978,1
Baseline,1g+13,80,0.001384334272578411,0.0751387281726332,1.3333333333333333
Baseline,1g+13,100,0.05956445842176273,0.14604724349007178,1.6666666666666667
Baseline,1g+13,120,0.008976321422967615,0.13893430418444946,2
Baseline,1g+13,140,-0.045027219867304694,0.12002689148300362,2.3333333333333335
Baseline,1g+13,160,-0.06851909935999502,0.14752899122128282,2.6666666666666665
Baseline,1g+13,180,-0.0916046265337095,0.14912859101768006,3
Baseline,1g+13,200,-0.11334968979817006,0.1473631917297293,3.3333333333333335
Baseline,1g+13,220,-0.1513290564454714,0.12388610053269623,3.6666666666666665
Baseline,1g+13,240,-0.19891427657975402,0.0850660936470982,4
Baseline,1g+13,260,-0.22257511449499875,0.08654810820029936,4.333333333333333
Baseline,1g+13,280,-0.23670976158246812,0.09275038833212607,4.666666666666667
Baseline,1g+13,300,-0.25531545967931946,0.10090651388189154,5
Baseline,1g+13,320,-0.2675982225401294,0.11104499704487453,5.333333333333333
Baseline,1g+13,340,-0.2717189321681502,0.11139620299209375,5.666666666666667
Baseline,1g+13,360,-0.2781747965231158,0.11574604255785303,6
Baseline,1g+13,380,-0.27248586514647544,0.11433196836465837,6.333333333333333
Baseline,1g+13,400,-0.28520898125502997,0.11895637119462327,6.666666666666667
Baseline,1g+13,420,-0.2917226107610673,0.11934118163567155,7
Baseline,1g+13,440,-0.29683619627253477,0.12665437706803054,7.333333333333333
Baseline,1g+13,460,-0.2875506182182162,0.12148926831181703,7.666666666666667
Baseline,1g+13,480,-0.3000037131794057,0.1381963573493072,8
Baseline,1g+13,500,-0.27960235745726986,0.13722035934325397,8.333333333333334
Baseline,1g+13,520,-0.26058277176618694,0.14128326832200394,8.666666666666666
Baseline,1g+13,540,-0.26147264057695807,0.15727132568102856,9
Baseline,1g+13,560,-0.2572331942877589,0.16268547263492797,9.333333333333334
Baseline,1g+13,580,-0.23385117948744183,0.16684375899621695,9.666666666666666
Baseline,1g+13,600,-0.22291471172232383,0.1538154988031437,10
Baseline,1g+13,620,-0.20739381359843348,0.13870195196802038,10.333333333333334
Baseline,1g+13,640,-0.18460438739504956,0.12184848074148125,10.666666666666666
Baseline,1g+13,660,-0.146706115727042,0.11752592834124787,11
Baseline,1g+13,680,-0.1445082181909254,0.10424313250599099,11.333333333333334
Baseline,1g+13,700,-0.1389448856347531,0.10451327941433076,11.666666666666666
Baseline,1g+13,720,-0.1156303167867949,0.1000315915536384,12
Baseline,1g+13,740,-0.09860475740680522,0.09899171145968037,12.333333333333334
Baseline,1g+13,760,-0.0763594354833198,0.09800091672232106,12.666666666666666
Baseline,1g+13,780,-0.055461046371903716,0.11455944556842663,13
Baseline,1g+13,800,-0.032664811701889715,0.14151114467361228,13.333333333333334
Baseline,1g+13,820,-0.04004047047780275,0.10531320188338916,13.666666666666666
Baseline,1g+13,840,-0.022747388181793015,0.12655795294724995,14
Baseline,1g+13,860,-0.016657452038056617,0.11580768785994824,14.333333333333334
Baseline,1g+13,880,-0.009521653812865058,0.12667170058735727,14.666666666666666
Baseline,1g+13,900,-1.254395163877616e-5,0.13168552577781625,15
Baseline,1g+13,920,0.010071232077628252,0.120631957214791,15.333333333333334
Baseline,1g+13,940,0.025122114325201957,0.1384386200535645,15.666666666666666
Baseline,1g+13,960,0.03320745060474868,0.15226069445541054,16
Baseline,1g+13,980,0.04248646532360593,0.15916965451576484,16.333333333333332
Baseline,1g+13,1000,0.04466884033934535,0.16936761038139242,16.666666666666668
Baseline,1g+13,1020,0.038683026670144366,0.1689175298799415,17
Baseline,1g+13,1040,0.04996913466218298,0.18534120130274592,17.333333333333332
Baseline,1g+13,1060,0.04851374224437931,0.18247983235280354,17.666666666666668
Baseline,1g+13,1080,0.050740817747201794,0.18077879280173034,18
Baseline,1g+13,1100,0.04480930662153103,0.18446852303887445,18.333333333333332
Baseline,1g+13,1120,0.049946805781659775,0.1897039588461349,18.666666666666668
Baseline,1g+13,1140,0.06439476619478637,0.2007883921052031,19
Baseline,1g+13,1160,0.0849811803397307,0.2212712929206312,19.333333333333332
Baseline,1g+13,1180,0.09115275769121131,0.20399558605661158,19.666666666666668
Baseline,1g+13,1200,0.10250902561760294,0.20800767733566927,20
Baseline,1g+13,1220,0.11368011413546983,0.21498632977426974,20.333333333333332
Baseline,1g+19.5,0,0,0,0
Baseline,1g+19.5,20,0.002278219939227885,0.027036475772443093,0.3333333333333333
Baseline,1g+19.5,40,-0.02405845135759263,0.05239166294661517,0.6666666666666666
Baseline,1g+19.5,60,-0.043871937260488415,0.06509060008580606,1
Baseline,1g+19.5,80,-0.0601111327915301,0.0645241500508729,1.3333333333333333
Baseline,1g+19.5,100,-0.08067306951054533,0.06250055697858446,1.6666666666666667
Baseline,1g+19.5,120,-0.09790519395757208,0.08303609946080966,2
Baseline,1g+19.5,140,-0.12161269285351707,0.09117797289618057,2.3333333333333335
Baseline,1g+19.5,160,-0.1447434658609129,0.09257711989898873,2.6666666666666665
Baseline,1g+19.5,180,-0.15621231637654281,0.09652195829803849,3
Baseline,1g+19.5,200,-0.16762445700780065,0.10090676709589091,3.3333333333333335
Baseline,1g+19.5,220,-0.178634255273005,0.10437811120954235,3.6666666666666665
Baseline,1g+19.5,240,-0.18794815106271529,0.10665839376093668,4
Baseline,1g+19.5,260,-0.19531438310152896,0.1077036245157436,4.333333333333333
Baseline,1g+19.5,280,-0.2031251635983952,0.10876023020305456,4.666666666666667
Baseline,1g+19.5,300,-0.20736873289131,0.11008616136391615,5
Baseline,1g+19.5,320,-0.2179035596477847,0.1119437272510227,5.333333333333333
Baseline,1g+19.5,340,-0.22715662455270452,0.11516796041251723,5.666666666666667
Baseline,1g+19.5,360,-0.23720812844162734,0.1187403582907479,6
Baseline,1g+19.5,380,-0.2445048083543855,0.12444175412071647,6.333333333333333
Baseline,1g+19.5,400,-0.2513069251825055,0.1305320691496882,6.666666666666667
Baseline,1g+19.5,420,-0.2551828793255727,0.13331223699368908,7
Baseline,1g+19.5,440,-0.2576497895019063,0.13686572064572264,7.333333333333333
Baseline,1g+19.5,460,-0.2558396519970438,0.15076727521791025,7.666666666666667
Baseline,1g+19.5,480,-0.2531156131843495,0.15786377027943502,8
Baseline,1g+19.5,500,-0.247861093473021,0.16547778595574517,8.333333333333334
Baseline,1g+19.5,520,-0.23441214483551015,0.18179203795730198,8.666666666666666
Baseline,1g+19.5,540,-0.21731090338164138,0.19198255641664336,9
Baseline,1g+19.5,560,-0.2061832142713375,0.18999459041305147,9.333333333333334
Baseline,1g+19.5,580,-0.18745216419292365,0.20619502038535134,9.666666666666666
Baseline,1g+19.5,600,-0.17064476892132444,0.2124260168344639,10
Baseline,1g+19.5,620,-0.1593952960492354,0.21100037915093867,10.333333333333334
Baseline,1g+19.5,640,-0.14478235859877875,0.2150493968133122,10.666666666666666
Baseline,1g+19.5,660,-0.12694215207171916,0.21429539123752195,11
Baseline,1g+19.5,680,-0.12105172793098673,0.2093094966856538,11.333333333333334
Baseline,1g+19.5,700,-0.1103948968342424,0.20312903384134132,11.666666666666666
Baseline,1g+19.5,720,-0.10262984328161706,0.20438270572886127,12
Baseline,1g+19.5,740,-0.10520798569225705,0.19144321429329206,12.333333333333334
Baseline,1g+19.5,760,-0.10257765643573333,0.18001895427066458,12.666666666666666
Baseline,1g+19.5,780,-0.09456144889757244,0.18043459770816708,13
Baseline,1g+19.5,800,-0.08609773497992633,0.17653526748826026,13.333333333333334
Baseline,1g+19.5,820,-0.08019309437011511,0.1662405440800194,13.666666666666666
Baseline,1g+19.5,840,-0.07106170409922537,0.1623878546023055,14
Baseline,1g+19.5,860,-0.05806299309084109,0.15429603075345955,14.333333333333334
Baseline,1g+19.5,880,-0.046176023862347815,0.15296991247164002,14.666666666666666
Baseline,1g+19.5,900,-0.04569300112903542,0.14444981676382457,15
Baseline,1g+19.5,920,-0.037365781237053766,0.14413660317368612,15.333333333333334
Baseline,1g+19.5,940,-0.03350304931515395,0.13801831766724346,15.666666666666666
Baseline,1g+19.5,960,-0.026953839969757275,0.13186234007699157,16
Baseline,1g+19.5,980,-0.010285050481245495,0.1302175415266626,16.333333333333332
Baseline,1g+19.5,1000,-0.013644704310760074,0.11055394113327227,16.666666666666668
Baseline,1g+19.5,1020,-0.021531989578295795,0.09010505758697125,17
Baseline,1g+19.5,1040,-0.029422213768581694,0.07062564811760949,17.333333333333332
Baseline,1g+19.5,1060,-0.024842888035552728,0.06690556352390303,17.666666666666668
Baseline,1g+19.5,1080,-0.022789043365776786,0.07162243625330265,18
Baseline,1g+19.5,1100,-0.011313782992501834,0.07398836929936715,18.333333333333332
Baseline,1g+19.5,1120,-0.008869817377479699,0.07578639582269617,18.666666666666668
Baseline,1g+19.5,1140,-0.0016229348432306005,0.07637682185343139,19
Baseline,1g+19.5,1160,0.0031990505735134426,0.07840114561738346,19.333333333333332
Baseline,1g+19.5,1180,0.01082956549227079,0.08373503785041625,19.666666666666668
Baseline,1g+19.5,1200,0.0157213047848938,0.0824561264948033,20
Baseline,1g+19.5,1220,0.0177590892152861,0.08500330765238323,20.333333333333332
Baseline,1g+6.5,0,0,0,0
Baseline,1g+6.5,20,0.01065106416242812,0.008162719061024764,0.3333333333333333
Baseline,1g+6.5,40,-0.006009737454159298,0.015589419705762875,0.6666666666666666
Baseline,1g+6.5,60,-0.003946240683781576,0.032932336756226324,1
Baseline,1g+6.5,80,0.005180070666761158,0.04318691090586526,1.3333333333333333
Baseline,1g+6.5,100,0.009293360426987867,0.06492538464969476,1.6666666666666667
Baseline,1g+6.5,120,0.0018539596305173743,0.0848901912389626,2
Baseline,1g+6.5,140,-0.025715402859325352,0.09990572061878815,2.3333333333333335
Baseline,1g+6.5,160,-0.06352031629051372,0.11069170903026845,2.6666666666666665
Baseline,1g+6.5,180,-0.09752932168718419,0.12538854114881867,3
Baseline,1g+6.5,200,-0.13048501221665748,0.13968217730835356,3.3333333333333335
Baseline,1g+6.5,220,-0.15808357603072234,0.15488533985549455,3.6666666666666665
Baseline,1g+6.5,240,-0.17745907464161118,0.1679516591321095,4
Baseline,1g+6.5,260,-0.19279937678686543,0.17773033997281068,4.333333333333333
Baseline,1g+6.5,280,-0.2079821614070327,0.18673402636485234,4.666666666666667
Baseline,1g+6.5,300,-0.2168125876527062,0.1851810034300198,5
Baseline,1g+6.5,320,-0.22752309200133097,0.18618926768683342,5.333333333333333
Baseline,1g+6.5,340,-0.23546917280350058,0.18906237823549393,5.666666666666667
Baseline,1g+6.5,360,-0.23958989619455595,0.1908179297717796,6
Baseline,1g+6.5,380,-0.24154396192468575,0.1989166430008568,6.333333333333333
Baseline,1g+6.5,400,-0.23909149306002234,0.20914640719112076,6.666666666666667
Baseline,1g+6.5,420,-0.23580042076678298,0.22236360017802578,7
Baseline,1g+6.5,440,-0.22760455148985667,0.2417762887729921,7.333333333333333
Baseline,1g+6.5,460,-0.2259149981816746,0.2533808998321147,7.666666666666667
Baseline,1g+6.5,480,-0.20909359053191526,0.28039974396697825,8
Baseline,1g+6.5,500,-0.19369070737616512,0.30996401633042475,8.333333333333334
Baseline,1g+6.5,520,-0.1718214171890562,0.3451305710178271,8.666666666666666
