endpoint,Dose_f,contrast,p_nominal,p_holm,p_bh,sig_nominal,sig_holm,sig_bh,estimate,SE,df,t.ratio,p.value,star
mu_max,0,1g - SMG,0.78115430870003,1,0.902607009346538,FALSE,FALSE,FALSE,-0.0393757796179359,0.139365157768217,16,-0.282536756306215,0.78115430870003,NA
mu_max,6.5,1g - SMG,0.00175402454892049,0.00701609819568196,0.00701609819568196,TRUE,TRUE,TRUE,0.522383162404782,0.139365157768217,16,3.74830532085772,0.00175402454892049,**
mu_max,13,1g - SMG,0.356016342192812,1,0.712032684385624,FALSE,FALSE,FALSE,0.132460924363894,0.139365157768217,16,0.950459400937171,0.356016342192812,NA
mu_max,19.5,1g - SMG,0.902607009346538,1,0.902607009346538,FALSE,FALSE,FALSE,-0.0173264810011668,0.139365157768217,16,-0.124324338153322,0.902607009346538,NA
lag_time,0,1g - SMG,0.37652387842681,1,0.57287005673814,FALSE,FALSE,FALSE,-0.103771474488262,0.114082627130849,16,-0.909616802295759,0.37652387842681,NA
lag_time,6.5,1g - SMG,0.429652542553605,1,0.57287005673814,FALSE,FALSE,FALSE,0.0924417971746428,0.114082627130849,16,0.8103056486297,0.429652542553605,NA
lag_time,13,1g - SMG,0.593743660119523,1,0.593743660119523,FALSE,FALSE,FALSE,-0.0620945767468244,0.114082627130849,16,-0.544294765193336,0.593743660119523,NA
lag_time,19.5,1g - SMG,0.0930237429880046,0.3720949719520184,0.3720949719520184,FALSE,FALSE,FALSE,-0.203778146784496,0.114082627130849,16,-1.78623294281932,0.0930237429880046,NA
