gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS12690,-1.07672355471499,0.0173195240421622,K03705,hrcA; heat-inducible transcriptional repressor,3 h,SMG,13,SMG_13
HC660_RS12785,1.03465440592958,0.0068042878963157,K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25],3 h,SMG,13,SMG_13
HC660_RS21105,-2.37173851378245,0.00500469429528363,NA,,3 h,SMG,13,SMG_13
HC660_RS12980,-2.54424469095365,5.85584856171369e-5,NA,,3 h,SMG,13,SMG_13
HC660_RS13490,-1.07037384418486,0.0356079241402741,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],3 h,SMG,13,SMG_13
HC660_RS14320,-1.16021792641267,0.017562424644288602,K03671,"TXN, trxA; thioredoxin",3 h,SMG,13,SMG_13
HC660_RS14945,-1.17920426191086,0.017562424644288602,NA,,3 h,SMG,13,SMG_13
HC660_RS15030,-2.22760764224658,0.0019030295176712,NA,,3 h,SMG,13,SMG_13
HC660_RS15235,1.13039080296258,0.025276839566234,K16921,ytrB; acetoin utilization transport system ATP-binding protein,3 h,SMG,13,SMG_13
HC660_RS15335,-1.30132698690292,0.0356079241402741,K04047,dps; starvation-inducible DNA-binding protein,3 h,SMG,13,SMG_13
HC660_RS15365,-1.56324795363163,0.0126119401930779,K02909,"RP-L31, rpmE; large subunit ribosomal protein L31",3 h,SMG,13,SMG_13
HC660_RS15740,-1.23537740045377,0.0310743142074696,NA,,3 h,SMG,13,SMG_13
HC660_RS15790,-1.18271376960438,0.025276839566234,NA,,3 h,SMG,13,SMG_13
HC660_RS16085,-1.30603669532436,0.0173195240421622,NA,,3 h,SMG,13,SMG_13
HC660_RS16145,-1.26723092935371,0.0108940783985216,K09775,K09775; uncharacterized protein,3 h,SMG,13,SMG_13
HC660_RS16725,-1.52449973979025,0.017562424644288602,K01053,"gnl, RGN; gluconolactonase [EC:3.1.1.17]",3 h,SMG,13,SMG_13
HC660_RS16865,-1.07165000039402,0.0395701740835373,NA,,3 h,SMG,13,SMG_13
HC660_RS16895,-1.0144586439994,0.019495915619071,K07213,"ATOX1, ATX1, copZ, golB; copper chaperone",3 h,SMG,13,SMG_13
HC660_RS17690,-1.56009088086773,0.00722703933192905,NA,,3 h,SMG,13,SMG_13
HC660_RS17750,-1.44837044597863,0.0181634106019648,NA,,3 h,SMG,13,SMG_13
HC660_RS17815,-1.46756924410071,0.017562424644288602,K05808,hpf; ribosome hibernation promoting factor,3 h,SMG,13,SMG_13
HC660_RS18120,-1.56255906496294,0.00722703933192905,K06609,"iolT; MFS transporter, SP family, major inositol transporter",3 h,SMG,13,SMG_13
HC660_RS18190,-2.16061735143114,0.00336539058338449,NA,,3 h,SMG,13,SMG_13
HC660_RS18245,-1.26899181872322,0.0126119401930779,NA,,3 h,SMG,13,SMG_13
HC660_RS18320,-1.04560542769167,0.00199109481180209,NA,,3 h,SMG,13,SMG_13
