biocide,group,n,auc_base,auc_biocide,net_kill_sd,net_kill
DDAC,1g+13,3,-0.0944309257287275,-0.5742040464156407,0.05265286193488494,0.47977312068691325
DDAC,1g+19.5,3,-0.11457378687489453,-0.6124155333601283,0.03189405454583631,0.4978417464852338
DDAC,1g+6.5,3,-0.06394746440097329,-0.6413144844768386,0.0807913399995872,0.5773670200758653
DDAC,Ctrl,3,0.028743268773767632,-0.5797603499368216,0.01783026798336364,0.6085036187105892
DDAC,SMG,3,-0.015598116270926646,-0.5751369629276181,0.026919936210281836,0.5595388466566914
DDAC,SMG+13,3,0.18163407204975865,-0.5728150405828808,0.060068380237380224,0.7544491126326395
DDAC,SMG+19.5,3,-0.09623340825755525,-0.6923200979226614,0.07694243160725758,0.5960866896651061
DDAC,SMG+6.5,3,0.056055261202595116,-0.5306117908736722,0.035048510431275444,0.5866670520762672
Gentamicin,1g+13,3,-0.0944309257287275,-0.16628352877206765,0.03308289233709006,0.07185260304334017
Gentamicin,1g+19.5,3,-0.11457378687489453,-0.22288098893435146,0.010721910622970393,0.10830720205945693
Gentamicin,1g+6.5,3,-0.06394746440097329,-0.18934860898745945,0.05078329922018433,0.12540114458648616
Gentamicin,Ctrl,3,0.028743268773767632,-0.18415235898723797,0.037361831243172716,0.2128956277610056
Gentamicin,SMG,3,-0.015598116270926646,-0.17742276267032758,0.010460389070105729,0.16182464639940095
Gentamicin,SMG+13,3,0.18163407204975865,-0.2129837846342563,0.06667083862420545,0.3946178566840149
Gentamicin,SMG+19.5,3,-0.09623340825755525,-0.30715131067838763,0.005087346909949953,0.21091790242083236
Gentamicin,SMG+6.5,3,0.056055261202595116,-0.1640813297876645,0.005052615949775111,0.22013659099025962
H2O2,1g+13,3,-0.0944309257287275,-0.2652222769319013,0.11659123495686098,0.17079135120317382
H2O2,1g+19.5,3,-0.11457378687489453,-0.14462666268208457,0.07419594246652537,0.030052875807190058
H2O2,1g+6.5,3,-0.06394746440097329,-0.2924594245596898,0.13387873414525553,0.22851196015871653
H2O2,Ctrl,3,0.028743268773767632,-0.40729729718926333,0.10593842153363522,0.436040565963031
H2O2,SMG,3,-0.015598116270926646,-0.41544455649143913,0.05085582895515177,0.39984644022051247
H2O2,SMG+13,3,0.18163407204975865,-0.3708686308465832,0.09593643349242799,0.5525027028963418
H2O2,SMG+19.5,3,-0.09623340825755525,-0.13690531186936647,0.09644595071858633,0.040671903611811236
H2O2,SMG+6.5,3,0.056055261202595116,-0.3480050193616157,0.1027872708293956,0.4040602805642108
NaHCO3,1g+13,3,-0.0944309257287275,-0.06240158246562838,0.009110337131855368,-0.032029343263099114
NaHCO3,1g+19.5,3,-0.11457378687489453,-0.04574832264686482,0.0242026404570395,-0.06882546422802971
NaHCO3,1g+6.5,3,-0.06394746440097329,-0.06611727792437282,0.02908232140972827,0.0021698135233995256
NaHCO3,Ctrl,3,0.028743268773767632,-0.09434889419039852,0.022211449856412664,0.12309216296416615
NaHCO3,SMG,3,-0.015598116270926646,-0.10191537733580774,0.01965558812471299,0.08631726106488109
NaHCO3,SMG+13,3,0.18163407204975865,-0.04574832264686482,0.0242026404570395,0.22738239469662347
NaHCO3,SMG+19.5,3,-0.09623340825755525,-0.028062617490950292,0.003973385317563776,-0.06817079076660496
NaHCO3,SMG+6.5,3,0.056055261202595116,-0.10308595623312493,0.02376223345363418,0.15914121743572004
