"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1851.97716152126,0.23024595903268,0.216142843749817,0.0502263989988877,0.44415330187858
"HC660_RS00010",1672.66819261855,0.0616415366331539,0.167053519833786,0.365489002925289,0.857418940246383
"HC660_RS00015",106.331023338209,-0.0121536100546834,0.163354877217948,0.787819089439561,0.987719288057624
"HC660_RS00020",1100.34837293307,-0.0509168094130285,0.171577040959287,0.318219111982339,0.834677498339985
"HC660_RS00025",264.950959100892,-0.0292876402738027,0.16589817038794,0.528095187530213,0.923746580845115
"HC660_RS00030",3812.72410378226,0.00768755264838508,0.156399248688196,0.907705611953469,0.989888354406638
"HC660_RS00035",5672.37643096597,0.0427412548502861,0.15777058112686,0.539545894302843,0.926840362491299
"HC660_RS00040",29.5411648250525,-0.0329024781938079,0.162428494889807,0.565880505557314,0.932125627388896
"HC660_RS00055",35.3681331040183,0.0216579016190634,0.166155112362707,0.602385418112784,0.944632867187059
"HC660_RS00065",31.8355169356966,0.0259845702244323,0.166878138517372,0.536423442504227,0.926840362491299
"HC660_RS00070",2489.06869934394,0.00332812838276265,0.158123218357438,0.957612354630201,0.995460951027745
"HC660_RS00075",2017.30020464876,0.14388914938207,0.227913800218523,0.0784429323344749,0.522944072519547
"HC660_RS00080",1692.09513211665,-0.0308065528025712,0.152026670665994,0.666248419997855,0.963914030613143
"HC660_RS00085",3062.55514817102,0.0326325334460363,0.138623537803974,0.67363201136023,0.967370529752249
"HC660_RS00090",1017.71259500528,0.0845334893855037,0.169101875393147,0.287645615553455,0.80525181806699
"HC660_RS00095",12.894351671055,0.0283551169337229,0.170017307088053,0.368091677828701,NA
"HC660_RS00100",253.749897681093,0.0884345168746008,0.182307030906988,0.205818511160423,0.733540887945749
"HC660_RS00105",100.85554627596,-0.050062005987151,0.158071214609962,0.487045888049591,0.91052060800125
"HC660_RS00110",438.668688670991,-0.0707801567199042,0.1728725408255,0.287567680685667,0.80525181806699
"HC660_RS00115",167.522107374668,-0.0612919973239419,0.164334244255813,0.37812241977022,0.865436764304219
"HC660_RS00120",9.38182217809548,-0.0122161649030082,0.166275764447449,0.731902676141278,NA
"HC660_RS00125",21188.4251570088,0.012482391215306,0.168732201434941,0.598671447675622,0.944632867187059
"HC660_RS00130",771.938609410875,0.0203093097403584,0.148108560353211,0.786412185245272,0.987719288057624
"HC660_RS00135",549.294203188165,0.16086305326196,0.176346444691796,0.115941587155559,0.610022034966175
"HC660_RS00140",572.305823591011,0.332826362042721,0.332438546776888,0.02163299619898,0.307186934210506
"HC660_RS00145",297.376120390644,0.0589882061308325,0.166672951424123,0.37469243906467,0.860268973942965
"HC660_RS00150",33.1330542712914,0.0697539344269421,0.171821085230693,0.301138973226661,0.819756957653254
"HC660_RS00155",90.8661686232368,-0.0280819430073151,0.161967031354646,0.61241059971083,0.944632867187059
"HC660_RS00170",14.7407876492023,0.0550058469704814,0.172667658797914,0.29733790188351,NA
"HC660_RS00180",4.39723239453596,-0.00101674103402354,0.167787889673325,0.963284590608793,NA
"HC660_RS00185",202.032393545838,-0.00394628310639701,0.156383773588982,0.867778910229601,0.989888354406638
"HC660_RS00190",583.854301702342,0.078003551834255,0.147382967127223,0.372131267844142,0.860268973942965
"HC660_RS00195",434.608402970769,0.0266264376624243,0.160647942437414,0.645202591718178,0.954000982251257
"HC660_RS00200",269.215487813312,0.0338973163580475,0.159527048192402,0.592904789385703,0.944632867187059
"HC660_RS00205",290.407696609327,0.0290158098903712,0.152220411449184,0.685632167177986,0.969931123447213
"HC660_RS00210",587.060524650732,0.0193749411779526,0.148476329460501,0.792832809128489,0.987719288057624
"HC660_RS00215",917.588059752621,0.00157441284169974,0.154247589074085,0.979989777795544,0.99854997362145
"HC660_RS00220",1031.91029252597,0.0697572385844298,0.153268349714519,0.411700443340297,0.879903223387298
"HC660_RS00225",799.475228921171,0.114622157797282,0.147279446902046,0.221958766559406,0.743015677030131
"HC660_RS00230",150.015194585548,0.0422736065844169,0.15860541100974,0.535757083739673,0.926840362491299
"HC660_RS00235",40.3137172852925,0.020606131104897,0.161193430138783,0.706024588892367,0.971064095776453
"HC660_RS00240",328.497286256416,0.112520950248346,0.188625582582748,0.161128264762758,0.674804789425084
"HC660_RS00245",3021.57520919144,-0.0577733225358604,0.178899313609079,0.153019802007413,0.664151247193811
"HC660_RS00250",1982.10457862976,0.0544465836435441,0.158727130480479,0.459749589661006,0.900789380815253
"HC660_RS00255",393.950532928396,0.0550252611077261,0.143520956972638,0.51263236014006,0.920149605343083
"HC660_RS00260",487.461939787507,-0.013467363311087,0.15235690986679,0.840471894900214,0.989888354406638
"HC660_RS00265",80.4868456502922,0.0197830768493547,0.150406441965128,0.785222061584799,0.987719288057624
"HC660_RS00270",430.758582352724,0.10094870951553,0.186442016304779,0.184086647624239,0.704146698736297
"HC660_RS00275",16.4387255780258,0.0554703536750434,0.17084527433478,0.33129459022656,NA
"HC660_RS00280",3364.11461012649,-0.0391657736297413,0.170195892492449,0.334770186718,0.845184696058603
"HC660_RS00285",66.5712847316141,0.0124423951422402,0.161100999142412,0.813641549823578,0.989888354406638
"HC660_RS00290",446.042142274558,-0.029671805215305,0.147480916530267,0.697262563149983,0.970522965877102
"HC660_RS00295",1253.07777756291,0.0611184576861048,0.138173449213124,0.480034575059876,0.909307547744838
"HC660_RS00300",731.790806186662,0.10934699553741,0.155802531928278,0.235805566223672,0.75943903631271
"HC660_RS00305",1563.04368517005,0.00664566715608897,0.163208197463718,0.889335375601757,0.989888354406638
"HC660_RS00310",1278.63641094835,0.0649514029021765,0.172519473734857,0.301334213269501,0.819756957653254
"HC660_RS00315",1355.13731480805,0.0452768887200583,0.167032244350162,0.417565236172814,0.888150080233048
"HC660_RS00320",17015.8423122912,0.312466016728875,0.423622171321325,0.0312102599039689,0.359763718314252
"HC660_RS00325",289.92063335239,0.135295846291013,0.197462806241581,0.13535336858443,0.636241154331777
"HC660_RS00330",153.935468151589,0.164402072285969,0.193209572051932,0.10734653105665,0.593381944758114
"HC660_RS00335",2652.58264999466,0.0525895375561414,0.159876650965508,0.469227183384478,0.900789380815253
"HC660_RS00340",322.912664736609,0.0787628535681581,0.165483480050391,0.328998935275403,0.841760730195035
"HC660_RS00345",171.919152723061,0.0385471669254919,0.155940206418026,0.582483569795559,0.941639649491171
"HC660_RS00350",600.997817195096,-0.0188404827287082,0.15934740410579,0.739643677247726,0.975023528777676
"HC660_RS00355",219.470619784942,-0.00660828253067504,0.156556547527911,0.909294758720042,0.989888354406638
"HC660_RS00360",260.840192108161,0.00670808269060694,0.154256260002761,0.917998057100114,0.989888354406638
"HC660_RS00365",288.130475646424,-0.039159665692804,0.16117735421354,0.530910133027031,0.924320506882454
"HC660_RS00370",457.943269382885,-0.1057883515501,0.176274592813733,0.216283846817583,0.738855246450205
"HC660_RS00375",1320.33435941445,0.0070082140606552,0.155640396660841,0.910507916934236,0.989888354406638
